Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	867	55	3614	1068	19966	44555	1598	8252	12148	19808	420	4988	676	589	164	649	479	450
Khulna	845	381	2463	1149	22577	41261	3109	11954	16927	41532	428	5077	301	702	190	377	351	717
Barisal	196	18	847	587	19285	17636	1993	5684	8741	15390	772	2461	381	451	56	188	228	481
Dhaka	2673	627	4301	2705	44401	72645	2375	12190	22871	27091	4224	7665	2785	1883	866	1636	1534	1801
Chittagong	1981	567	1658	2012	23831	61944	3724	11841	18648	33600	922	3789	2549	1566	413	841	843	1132
Sylhet	252	6	2635	203	12226	45263	589	8701	12612	23837	848	3051	640	1262	298	718	453	655
Rangpur	837	312	1610	524	22349	38574	1849	6045	9163	13450	385	4361	603	684	187	429	367	346
Mymensingh	398	165	788	539	8989	21027	903	5277	6810	14380	2845	2737	155	398	228	390	437	461
