Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	1327	624	3938	968	20871	50397	1214	7599	11537	18763	547	5015	718	764	948	776	594	478
Khulna	786	247	1803	810	19914	39654	3435	12281	17165	41074	351	4220	526	851	204	473	418	770
Barisal	206	46	974	474	18178	22605	1245	5835	8188	13473	288	2599	278	353	39	141	171	293
Dhaka	3060	562	4720	1235	40658	64410	1950	12351	16074	25245	2979	24121	3619	2307	491	1986	1875	2173
Chittagong	2088	276	2752	796	23276	62016	4333	11351	17407	31253	1176	7586	2173	1422	510	979	948	1129
Sylhet	469	80	2562	188	9955	37551	745	8914	12522	22433	826	2028	650	1426	323	673	459	637
Rangpur	1157	520	1429	551	20414	41507	1057	5741	8358	12072	361	3201	641	633	158	421	408	470
Mymensingh	411	177	793	546	11156	20508	886	6197	6722	13718	18	2326	147	529	370	424	489	475
