Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	1315	595	2500	994	21705	46446	1151	7750	12289	20194	1331	4893	498	618	563	802	534	458
Khulna	425	207	1610	1374	21369	43558	1998	12002	17200	38812	2622	4506	152	796	116	458	439	781
Barisal	872	10	1034	447	18579	18924	2571	5825	8594	14447	713	20339	398	485	64	172	230	332
Dhaka	2520	648	4709	1378	43118	74527	1229	11550	16906	27905	2469	6493	3499	2060	383	1763	1736	1886
Chittagong	4432	587	1559	804	23896	64412	3474	11803	18033	34351	1361	13127	1071	1426	496	682	613	825
Sylhet	825	94	2639	176	11369	39998	282	8632	13276	27929	309	3120	590	1244	262	619	444	678
Rangpur	1251	438	1531	547	23626	43278	2263	5975	8503	13525	533	4337	403	867	98	402	317	414
Mymensingh	414	224	1005	558	11261	19067	577	5161	6713	17160	78	3219	219	440	646	397	427	470
