ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
55,57.0,XX.0,XXX,XX,02,  Magura Sadar Upazila,98355,9.0,10.7,11.4,9.2,9.3,9.5,27.3,6.7,2.6,4.3,00110
50,XX.0,XX.0,XXX,XX,02, Kushtia Zila,187050,7.7,9.2,9.9,10.2,10.4,9.9,28.3,7.4,2.8,4.3,00110
50,15.0,XX.0,XXX,XX,02,  Bheramara Upazila,22124,8.2,9.7,10.0,8.6,8.8,10.0,29.3,7.5,3.0,4.9,00110
50,63.0,XX.0,XXX,XX,02,  Khoksa Upazila,17607,9.1,11.1,11.6,8.0,8.5,9.5,26.5,7.3,3.1,5.3,00110
50,71.0,XX.0,XXX,XX,02,  Kumarkhali Upazila,21914,8.6,10.2,10.1,8.3,8.6,9.8,28.4,7.8,3.0,5.2,00110
50,79.0,XX.0,XXX,XX,02,  Kushtia Sadar Upazila,102988,7.0,8.3,9.5,11.6,11.6,9.7,28.3,7.4,2.6,3.9,00110
50,94.0,XX.0,XXX,XX,02,  Mirpur Upazila,22417,8.3,10.1,10.3,8.6,9.7,10.8,28.4,7.1,2.7,3.9,00110
57,XX.0,XX.0,XXX,XX,02, Meherpur Zila,68633,8.1,9.5,10.4,9.0,8.7,10.1,30.2,7.1,2.6,4.3,00110
57,47.0,XX.0,XXX,XX,02,  Gangni Upazila,25500,8.4,10.1,10.6,8.8,8.2,10.0,30.7,6.5,2.6,4.2,00110
57,87.0,XX.0,XXX,XX,02,  Meherpur Sadar Upazila,43133,8.0,9.2,10.3,9.0,9.1,10.1,29.8,7.4,2.6,4.4,00110
87,XX.0,XX.0,XXX,XX,02, Satkhira Zila,140572,8.1,9.7,10.5,10.3,10.5,9.8,27.9,6.6,2.4,4.4,00110
87,43.0,XX.0,XXX,XX,02,  Kalaroa Upazila,27250,8.1,9.6,10.3,10.7,9.8,9.6,28.0,6.7,2.6,4.7,00110
87,82.0,XX.0,XXX,XX,02,  Satkhira Sadar Upazila,113322,8.1,9.7,10.5,10.2,10.6,9.8,27.9,6.6,2.4,4.3,00110
42,XX.0,XX.0,XXX,XX,02, Jhalokati Zila,84834,8.6,11.5,12.2,9.7,8.5,9.2,26.0,6.7,2.8,4.9,00110
42,40.0,XX.0,XXX,XX,02,  Jhalokati Sadar Upazila,54029,8.2,11.2,11.7,10.0,8.8,9.6,27.2,6.5,2.6,4.1,00110
42,73.0,XX.0,XXX,XX,02,  Nalchity Upazila,30805,9.1,12.0,13.0,9.1,7.9,8.4,24.0,7.0,3.2,6.2,00110
78,XX.0,XX.0,XXX,XX,02, Patuakhali Zila,124144,8.3,10.0,11.2,9.9,9.2,10.0,27.6,6.9,2.6,4.3,00110
78,38.0,XX.0,XXX,XX,02,  Bauphal Upazila,11435,8.5,11.2,11.5,8.0,8.5,9.2,27.1,7.9,2.9,5.1,00110
78,38.0,XX.0,XXX,XX,02,Bauphal Paurashava,11435,8.5,11.2,11.5,8.0,8.5,9.2,27.1,7.9,2.9,5.1,00110
78,57.0,XX.0,XXX,XX,02,  Galachipa Upazila,21200,8.4,10.5,11.3,9.4,8.0,9.7,28.5,7.1,2.6,4.4,00110
78,57.0,XX.0,XXX,XX,02,Galachipa  Paurashava,21200,8.4,10.5,11.3,9.4,8.0,9.7,28.5,7.1,2.6,4.4,00110
78,66.0,XX.0,XXX,XX,02,  Kala Para Upazila,26509,9.0,10.6,11.4,8.5,8.9,10.9,27.7,6.3,2.5,4.2,00110
78,95.0,XX.0,XXX,XX,02,  Patuakhali Sadar Upazila,65000,8.0,9.5,11.0,11.0,9.8,9.8,27.3,6.8,2.7,4.1,00110
78,95.0,XX.0,XXX,XX,02,Patuakhali Paurashava,65000,8.0,9.5,11.0,11.0,9.8,9.8,27.3,6.8,2.7,4.1,00110
06,XX.0,XX.0,XXX,XX,02, Barisal Zila,447057,8.7,10.5,11.7,10.1,10.2,9.5,25.7,6.4,2.7,4.5,00110
06,7.0,XX.0,XXX,XX,02,  Bakerganj Upazila,15418,9.1,11.8,12.3,9.1,7.9,8.4,26.7,7.0,2.9,4.9,00110
06,7.0,XX.0,XXX,XX,02,Bakerganj  Paurashava,15418,9.1,11.8,12.3,9.1,7.9,8.4,26.7,7.0,2.9,4.9,00110
06,10.0,XX.0,XXX,XX,02,  Banari Para Upazila,10366,9.1,10.3,10.7,8.3,9.0,10.1,27.5,7.1,2.8,5.0,00110
06,10.0,XX.0,XXX,XX,02,Banari Para  Paurashava,10366,9.1,10.3,10.7,8.3,9.0,10.1,27.5,7.1,2.8,5.0,00110
06,32.0,XX.0,XXX,XX,02,  Gaurnadi Upazila,42438,8.8,11.6,13.0,9.4,8.9,8.6,24.7,6.7,3.0,5.2,00110
06,32.0,XX.0,XXX,XX,02,Gaurnadi  Paurashava,42438,8.8,11.6,13.0,9.4,8.9,8.6,24.7,6.7,3.0,5.2,00110
06,51.0,XX.0,XXX,XX,02,  Barisal Sadar Upazila,328278,8.4,10.0,11.2,10.5,10.8,9.9,26.2,6.3,2.6,4.2,00110
06,51.0,XX.0,XXX,XX,02,  Barisal City Corporation,328278,8.4,10.0,11.2,10.5,10.8,9.9,26.2,6.3,2.6,4.2,00110
06,62.0,XX.0,XXX,XX,02,  Mehendiganj Upazila,30067,9.8,12.6,13.2,9.5,8.5,8.1,22.4,6.9,3.4,5.5,00110
06,62.0,XX.0,XXX,XX,02,Mhendiganj  Paurashava,30067,9.8,12.6,13.2,9.5,8.5,8.1,22.4,6.9,3.4,5.5,00110
