ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
47.0,XX.0,XX.0,XXX,XX,03, Khulna Zila,19091,16.8,28.3,51.7,3.2,46.3,35.6,15.4,2.7,00110
47.0,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,1902,13.0,17.9,67.5,1.5,87.5,8.7,1.8,2.1,00110
47.0,12.0,35.0,XXX,XX,03,  Batiaghata Union,1902,13.0,17.9,67.5,1.5,87.5,8.7,1.8,2.1,00110
47.0,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,4472,17.6,20.5,60.2,1.8,45.9,34.3,18.7,1.1,00110
47.0,30.0,27.0,XXX,XX,03,  Dumuria Union,4472,17.6,20.5,60.2,1.8,45.9,34.3,18.7,1.1,00110
47.0,53.0,XX.0,XXX,XX,03,  Koyra Upazila,2671,6.4,6.9,75.3,11.4,24.7,37.6,26.5,11.2,00110
47.0,53.0,55.0,XXX,XX,03,  Koyra Union,2671,6.4,6.9,75.3,11.4,24.7,37.6,26.5,11.2,00110
47.0,69.0,XX.0,XXX,XX,03,  Phultala Upazila,7370,24.6,45.7,27.3,2.3,42.7,41.9,14.4,1.0,00110
47.0,69.0,38.0,XXX,XX,03,  Damodar Union,6625,24.4,47.4,25.7,2.5,43.2,42.2,13.5,1.1,00110
47.0,69.0,76.0,XXX,XX,03,  Phultala Union,745,26.7,30.9,41.5,0.9,38.4,39.5,22.1,0.0,00110
47.0,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,2676,6.7,22.5,69.9,1.0,49.3,37.2,11.2,2.3,00110
47.0,94.0,27.0,XXX,XX,03,  Barasat Union,1130,4.2,21.8,73.7,0.3,59.6,24.8,15.7,0.0,00110
47.0,94.0,81.0,XXX,XX,03,  Terokhada Union,1546,8.5,23.0,67.1,1.5,41.8,46.3,7.9,4.0,00110
18.0,XX.0,XX.0,XXX,XX,03, Chuadanga Zila,31395,26.3,32.4,39.0,2.3,25.3,26.4,43.2,5.0,00110
18.0,7.0,XX.0,XXX,XX,03,  Alamdanga Upazila,11267,22.9,33.1,42.6,1.5,21.1,24.9,48.2,5.8,00110
18.0,7.0,15.0,XXX,XX,03,  Baradi Union,276,28.6,39.1,32.2,0.0,25.4,36.6,34.8,3.3,00110
18.0,7.0,23.0,XXX,XX,03,  Bhangabaria Union,903,23.4,36.2,40.3,0.1,36.0,14.6,42.9,6.5,00110
18.0,7.0,27.0,XXX,XX,03,  Chithla Union,913,36.6,28.8,34.0,0.7,18.0,29.6,51.4,1.1,00110
18.0,7.0,47.0,XXX,XX,03,  Hardi Union,3040,17.0,31.9,49.3,1.8,18.8,15.6,57.3,8.3,00110
18.0,7.0,55.0,XXX,XX,03,  Jamjami Union,1430,4.3,47.6,46.8,1.4,4.3,33.8,52.8,9.0,00110
18.0,7.0,63.0,XXX,XX,03,  Jehala Union,2464,49.4,14.5,35.8,0.3,30.2,23.2,41.4,5.2,00110
18.0,7.0,79.0,XXX,XX,03,  Khaskara Union,224,4.0,38.8,57.1,0.0,18.3,24.1,57.1,0.4,00110
