ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
47.0,XX.0,XX.0,XXX,XX,01, Khulna Zila,618392,35.5,63.5,0.8,0.2,619796,21.3,67.9,9.4,1.4,00110
47.0,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,66958,34.8,64.0,1.0,0.2,65879,20.2,68.8,9.7,1.3,00110
47.0,12.0,35.0,XXX,XX,01,  Batiaghata Union,5067,32.4,65.8,1.7,0.1,5122,16.9,67.6,14.0,1.5,00110
47.0,17.0,XX.0,XXX,XX,01,  Dacope Upazila,57124,34.8,64.0,1.1,0.1,57159,21.4,65.6,11.2,1.9,00110
47.0,21.0,XX.0,XXX,XX,01,  Daulatpur Thana,5020,37.7,61.7,0.5,0.1,4898,22.5,69.6,7.1,0.7,00110
47.0,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,115414,33.1,65.9,0.9,0.2,116180,18.8,69.2,10.5,1.5,00110
47.0,30.0,27.0,XXX,XX,01,  Dumuria Union,3663,32.6,66.7,0.4,0.2,3739,17.6,69.5,10.9,2.1,00110
47.0,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,47347,39.2,60.0,0.8,0.1,44886,24.8,65.5,8.7,0.9,00110
47.0,48.0,XX.0,XXX,XX,01,  Khan Jahan Ali Thana,31541,41.3,58.1,0.5,0.2,29305,24.9,66.8,7.3,1.1,00110
47.0,53.0,XX.0,XXX,XX,01,  Koyra Upazila,69786,34.3,64.9,0.6,0.1,73901,21.7,68.0,8.7,1.6,00110
47.0,53.0,55.0,XXX,XX,01,  Koyra Union,8308,35.4,64.1,0.3,0.2,8777,24.2,66.2,8.1,1.5,00110
47.0,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,93703,33.6,65.6,0.7,0.1,95171,19.9,70.2,8.7,1.3,00110
47.0,69.0,XX.0,XXX,XX,01,  Phultala Upazila,20715,34.7,64.5,0.7,0.1,21282,20.7,69.2,8.4,1.6,00110
47.0,69.0,38.0,XXX,XX,01,  Damodar Union,3347,36.4,62.5,0.9,0.3,3424,21.7,66.6,9.5,2.2,00110
47.0,69.0,76.0,XXX,XX,01,  Phultala Union,9931,35.0,64.2,0.7,0.1,10131,20.9,69.4,8.4,1.3,00110
47.0,75.0,XX.0,XXX,XX,01,  Rupsa Upazila,72123,38.1,60.8,0.8,0.3,71813,23.7,65.8,8.9,1.5,00110
47.0,94.0,XX.0,XXX,XX,01,  Terokhada Upazila,38661,37.7,61.4,0.8,0.2,39322,23.0,66.5,9.5,1.0,00110
47.0,94.0,27.0,XXX,XX,01,  Barasat Union,6079,37.2,61.7,0.9,0.2,6501,23.9,64.6,10.8,0.7,00110
47.0,94.0,81.0,XXX,XX,01,  Terokhada Union,5444,35.9,63.5,0.6,0.0,5508,21.2,68.4,9.7,0.7,00110
18.0,XX.0,XX.0,XXX,XX,01, Chuadanga Zila,328599,31.8,67.4,0.5,0.2,330234,18.9,71.7,8.2,1.2,00110
18.0,7.0,XX.0,XXX,XX,01,  Alamdanga Upazila,107451,30.4,69.0,0.5,0.2,107710,17.6,73.3,8.2,0.9,00110
18.0,7.0,15.0,XXX,XX,01,  Baradi Union,7322,29.5,70.0,0.4,0.2,7314,17.6,73.8,7.4,1.1,00110
18.0,7.0,23.0,XXX,XX,01,  Bhangabaria Union,9636,30.9,68.6,0.4,0.1,9543,17.8,74.1,7.3,0.8,00110
18.0,7.0,27.0,XXX,XX,01,  Chithla Union,7558,31.6,68.0,0.3,0.1,7557,18.4,72.0,8.3,1.4,00110
18.0,7.0,47.0,XXX,XX,01,  Hardi Union,6920,32.0,67.3,0.5,0.2,6805,18.5,72.8,8.0,0.8,00110
18.0,7.0,55.0,XXX,XX,01,  Jamjami Union,5027,29.6,69.6,0.5,0.2,5088,16.4,72.8,9.8,1.0,00110
18.0,7.0,63.0,XXX,XX,01,  Jehala Union,4765,31.0,68.2,0.7,0.2,4750,17.8,72.4,9.0,0.8,00110
18.0,7.0,79.0,XXX,XX,01,  Khaskara Union,8792,30.0,69.2,0.6,0.2,8918,18.0,73.9,7.4,0.7,00110
18.0,7.0,87.0,XXX,XX,01,  Kumari Union,4154,31.2,67.7,0.7,0.3,4071,16.7,73.5,8.8,1.0,00110
18.0,23.0,XX.0,XXX,XX,01,  Chuadanga Sadar Upazila,73606,31.6,67.8,0.5,0.2,74576,18.4,71.5,8.8,1.3,00110
18.0,23.0,11.0,XXX,XX,01,  Alokdia Union,1021,31.0,68.8,0.3,0.0,1026,17.0,73.8,8.5,0.8,00110
18.0,23.0,47.0,XXX,XX,01,  Kutubpur Union,12593,31.7,67.8,0.4,0.2,12789,17.4,72.8,8.4,1.4,00110
18.0,23.0,59.0,XXX,XX,01,  Mominpur Union,3804,31.4,67.9,0.6,0.1,3870,18.6,71.9,8.4,1.1,00110
18.0,23.0,71.0,XXX,XX,01,  Shankar Chandra Union,16826,31.0,68.4,0.4,0.2,16914,18.5,72.0,8.4,1.1,00110
18.0,23.0,83.0,XXX,XX,01,  Titudaha Union,14809,31.7,67.6,0.6,0.2,15074,18.1,71.1,9.3,1.5,00110
18.0,31.0,XX.0,XXX,XX,01,  Damurhuda Upazila,91206,32.8,66.3,0.6,0.2,91188,19.8,71.2,7.8,1.3,00110
18.0,31.0,11.0,XXX,XX,01,  Damurhuda Union,10887,33.4,66.2,0.3,0.1,10653,19.7,72.4,6.7,1.2,00110
18.0,31.0,35.0,XXX,XX,01,  Howli Union,10644,33.5,65.8,0.5,0.3,10717,21.3,70.7,6.9,1.2,00110
18.0,55.0,XX.0,XXX,XX,01,  Jiban Nagar Upazila,56336,33.4,65.8,0.5,0.2,56760,20.9,69.6,8.1,1.4,00110
18.0,55.0,38.0,XXX,XX,01,  Banka Union,16984,33.1,66.2,0.5,0.2,17135,20.7,70.1,8.1,1.1,00110
18.0,55.0,76.0,XXX,XX,01,  Uthali Union,16752,33.5,65.5,0.6,0.4,16911,21.1,69.2,8.3,1.4,00110
65.0,XX.0,XX.0,XXX,XX,01, Narail Zila,224222,37.1,62.1,0.6,0.2,241393,22.4,66.5,10.2,1.0,00110
65.0,28.0,XX.0,XXX,XX,01,  Kalia Upazila,67512,39.3,59.9,0.6,0.1,70726,23.8,65.8,9.6,0.8,00110
65.0,28.0,14.0,XXX,XX,01,  Boranal Eliasabad Union,1425,37.3,62.0,0.6,0.1,1448,20.4,69.2,9.5,0.9,00110
65.0,28.0,71.0,XXX,XX,01,  Mauli Union,5744,37.0,62.2,0.7,0.1,6053,21.4,67.8,10.0,0.8,00110
65.0,28.0,87.0,XXX,XX,01,  Peruli Union,7680,37.9,60.9,1.0,0.2,8202,23.4,64.3,11.2,1.1,00110
65.0,28.0,95.0,XXX,XX,01,  Salamabad Union,2329,41.1,57.6,1.2,0.1,2343,24.2,65.5,9.4,0.9,00110
65.0,52.0,XX.0,XXX,XX,01,  Lohagara Upazila,72006,37.5,61.7,0.6,0.2,81490,22.7,66.1,10.3,0.9,00110
65.0,76.0,XX.0,XXX,XX,01,  Narail Sadar Upazila,84704,35.0,64.2,0.7,0.2,89177,21.0,67.3,10.6,1.1,00110
44.0,XX.0,XX.0,XXX,XX,01, Jhenaidah Zila,591601,33.6,65.8,0.5,0.1,596587,20.5,70.5,8.1,0.9,00110
44.0,14.0,XX.0,XXX,XX,01,  Harinakundu Upazila,67874,31.8,67.5,0.5,0.1,67549,19.2,72.0,8.1,0.7,00110
44.0,14.0,31.0,XXX,XX,01,  Daulatpur Union,6908,30.1,69.2,0.5,0.2,7102,17.7,72.8,8.5,0.9,00110
44.0,19.0,XX.0,XXX,XX,01,  Jhenaidah Sadar Upazila,136437,32.9,66.5,0.5,0.1,138997,19.9,71.2,8.1,0.9,00110
44.0,19.0,73.0,XXX,XX,01,  Paglakanai Union,6107,33.2,66.1,0.4,0.2,6107,19.8,70.3,8.9,1.0,00110
44.0,33.0,XX.0,XXX,XX,01,  Kaliganj Upazila,94094,33.2,66.2,0.4,0.1,95002,20.0,71.6,7.5,0.9,00110
44.0,42.0,XX.0,XXX,XX,01,  Kotchandpur Upazila,43113,32.5,66.8,0.6,0.2,43300,19.7,71.3,7.8,1.2,00110
44.0,71.0,XX.0,XXX,XX,01,  Maheshpur Upazila,121134,34.9,64.4,0.5,0.1,122113,21.8,69.1,7.8,1.3,00110
44.0,80.0,XX.0,XXX,XX,01,  Shailkupa Upazila,128949,34.4,65.0,0.5,0.1,129626,21.0,69.4,8.9,0.7,00110
41.0,XX.0,XX.0,XXX,XX,01, Jessore Zila,893521,34.3,64.9,0.6,0.2,910078,20.9,69.6,8.0,1.4,00110
41.0,4.0,XX.0,XXX,XX,01,  Abhaynagar Upazila,70547,34.1,64.5,1.0,0.3,71159,20.4,68.1,9.7,1.9,00110
41.0,9.0,XX.0,XXX,XX,01,  Bagherpara Upazila,81989,34.9,64.3,0.6,0.2,84423,21.4,68.7,8.7,1.3,00110
41.0,11.0,XX.0,XXX,XX,01,  Chaugachha Upazila,83409,33.8,65.4,0.6,0.2,84050,20.1,70.4,8.0,1.6,00110
41.0,23.0,XX.0,XXX,XX,01,  Jhikargachha Upazila,100553,33.9,65.3,0.6,0.2,105624,20.9,70.5,7.3,1.3,00110
41.0,23.0,25.0,XXX,XX,01,  Bankra Union,7566,34.7,64.9,0.3,0.1,8239,22.7,71.9,4.9,0.5,00110
41.0,23.0,35.0,XXX,XX,01,  Gadkhali Union,9297,34.4,64.9,0.6,0.1,9584,21.3,70.3,6.9,1.5,00110
41.0,23.0,47.0,XXX,XX,01,  Jhikargachha Union,10394,35.3,64.0,0.5,0.3,10286,21.3,70.7,6.9,1.1,00110
41.0,23.0,71.0,XXX,XX,01,  Panisara Union,7993,32.8,66.2,0.8,0.2,8352,20.3,70.9,7.6,1.2,00110
41.0,38.0,XX.0,XXX,XX,01,  Keshabpur Upazila,87619,32.8,66.4,0.7,0.1,88701,19.4,70.7,8.6,1.3,00110
41.0,38.0,28.0,XXX,XX,01,  Keshabpur Union,5953,35.0,64.3,0.6,0.1,5882,20.5,70.2,8.2,1.1,00110
41.0,38.0,38.0,XXX,XX,01,  Majidpur Union,8785,33.1,66.5,0.4,0.1,8663,18.2,72.9,7.7,1.3,00110
41.0,47.0,XX.0,XXX,XX,01,  Jessore Sadar Upazila,196782,36.2,63.0,0.6,0.2,195299,22.2,69.1,7.4,1.3,00110
41.0,47.0,23.0,XXX,XX,01,  Chanchra Union,13991,35.6,63.9,0.4,0.1,13680,21.8,70.9,6.6,0.7,00110
41.0,47.0,41.0,XXX,XX,01,  Fathehpur Union,15389,35.1,64.4,0.5,0.1,15208,22.2,69.3,7.3,1.1,00110
41.0,61.0,XX.0,XXX,XX,01,  Manirampur Upazila,153660,33.3,65.8,0.7,0.1,159083,20.7,69.8,8.1,1.4,00110
41.0,90.0,XX.0,XXX,XX,01,  Sharsha Upazila,118962,33.7,65.6,0.6,0.2,121739,20.9,69.8,7.6,1.7,00110
41.0,90.0,86.0,XXX,XX,01,  Sharsha Union,15548,34.0,65.2,0.6,0.2,16244,22.0,69.0,7.3,1.6,00110
1.0,XX.0,XX.0,XXX,XX,01, Bagerhat Zila,505716,35.1,63.8,0.9,0.2,509864,22.3,67.2,9.5,0.9,00110
1.0,8.0,XX.0,XXX,XX,01,  Bagerhat Sadar Upazila,88261,36.0,63.0,0.9,0.2,88266,21.4,67.5,10.2,0.9,00110
1.0,14.0,XX.0,XXX,XX,01,  Chitalmari Upazila,52118,39.2,59.8,1.0,0.1,52919,25.0,64.6,9.8,0.6,00110
1.0,14.0,31.0,XXX,XX,01,  Chitalmari Union,10671,38.4,60.3,1.2,0.0,10219,24.6,65.4,9.6,0.4,00110
1.0,34.0,XX.0,XXX,XX,01,  Fakirhat Upazila,45282,35.8,63.2,0.8,0.1,45016,21.7,67.1,10.1,1.1,00110
1.0,34.0,10.0,XXX,XX,01,  Bahirdia Mansa Union,1785,35.4,64.2,0.3,0.1,1764,20.9,72.1,6.3,0.7,00110
1.0,34.0,31.0,XXX,XX,01,  Fakirhat Union,7230,35.8,63.2,0.8,0.2,7259,21.8,67.7,9.4,1.1,00110
1.0,34.0,52.0,XXX,XX,01,  Mulghar Union,4209,36.7,62.3,1.0,0.0,4101,23.3,64.8,11.6,0.4,00110
1.0,34.0,63.0,XXX,XX,01,  Naldha Maubhog Union,5030,39.1,59.8,1.0,0.1,4772,24.6,64.6,9.8,1.0,00110
1.0,38.0,XX.0,XXX,XX,01,  Kachua Upazila,33957,34.8,63.8,1.2,0.2,35526,21.8,66.5,10.9,0.8,00110
1.0,38.0,57.0,XXX,XX,01,  Kachua Union,1860,30.8,67.5,1.5,0.2,1979,18.4,70.0,11.0,0.6,00110
1.0,56.0,XX.0,XXX,XX,01,  Mollahat Upazila,44345,40.9,58.4,0.6,0.2,45244,25.9,65.1,8.3,0.7,00110
