ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
50,15,40,XXX,XX,01,  Chandgram Union,54,47,374,357,598,606,159,135,378,449,138,42,00110
50,39,33,XXX,XX,01,  Daulatpur Union,128,104,883,808,1239,1220,516,387,943,885,200,112,00110
50,39,61,XXX,XX,01,  Mathurapur Union,65,107,784,815,1253,1292,473,391,957,1035,258,132,00110
50,63,71,XXX,XX,01,  Samaspur Union,17,14,308,304,440,431,118,101,305,295,55,42,00110
50,79,50,XXX,XX,01,  Battail Union,183,172,1137,1045,1917,1839,446,371,1292,1372,407,175,00110
50,94,14,XXX,XX,01,  Amla Union,53,58,670,633,1127,982,296,283,719,724,151,80,00110
50,94,80,XXX,XX,01,  Poradaha Union,102,82,930,839,1321,1435,462,441,969,1054,336,142,00110
57,47,10,XXX,XX,01,  Bamandi Union,50,46,729,689,1035,1033,397,304,763,817,253,89,00110
57,47,69,XXX,XX,01,  Roypur Union,37,39,504,502,793,747,222,216,593,619,131,55,00110
57,60,28,XXX,XX,01,  Bagoan Union,89,98,809,818,1468,1330,305,263,1143,1084,206,65,00110
87,04,17,XXX,XX,01,  Assasuni Union,85,52,398,363,676,664,167,145,508,546,114,37,00110
87,25,15,XXX,XX,01,  Debhata Union,17,20,405,391,604,579,135,111,431,441,82,42,00110
87,43,31,XXX,XX,01,  Helatala Union,62,56,438,429,859,822,188,155,683,695,121,49,00110
87,47,13,XXX,XX,01,  Bhara Simla Union,72,58,546,552,981,911,259,210,677,654,175,72,00110
87,47,55,XXX,XX,01,  Kushlia Union,50,51,449,390,690,645,197,163,558,548,110,61,00110
87,47,63,XXX,XX,01,  Mathureshpur Union,32,37,703,685,1065,993,273,277,803,817,182,95,00110
87,47,94,XXX,XX,01,  Tarali Union,140,170,473,417,1005,996,134,106,640,645,151,65,00110
87,86,94,XXX,XX,01,  Shyamnagar Union,32,15,397,436,715,615,206,172,484,561,121,60,00110
87,90,87,XXX,XX,01,  Tala Union,100,124,618,573,1159,1158,257,201,815,873,154,93,00110
42,40,85,XXX,XX,01,  Ponabalia Union,110,119,426,377,916,934,155,122,563,672,171,133,00110
42,43,63,XXX,XX,01,  Kanthalia Union,24,46,314,266,507,444,109,92,381,371,48,26,00110
42,84,40,XXX,XX,01,  Mathbari Union,89,88,646,592,1084,1134,217,183,825,880,186,115,00110
42,84,54,XXX,XX,01,  Rajapur Union,65,71,717,748,1301,1176,296,262,1035,1007,141,95,00110
78,38,29,XXX,XX,01,  Bauphal Union,86,124,690,661,1207,1123,317,321,824,764,170,117,00110
78,38,35,XXX,XX,01,  Daspara Union,43,49,489,482,929,858,239,242,591,633,126,76,00110
78,52,31,XXX,XX,01,  Banshbaria Union,52,58,509,489,784,737,261,277,508,488,159,85,00110
78,52,52,XXX,XX,01,  Dashmina Union,31,19,499,521,660,694,293,206,388,386,146,104,00110
78,55,93,XXX,XX,01,  Sreerampur Union,64,60,166,185,427,383,37,38,270,255,29,13,00110
78,57,50,XXX,XX,01,  Chiknikandi Union,59,49,477,508,765,760,252,194,590,547,110,103,00110
78,57,67,XXX,XX,01,  Galachipa Union,10,15,635,603,728,731,432,356,488,504,209,149,00110
78,66,83,XXX,XX,01,  Tiakhali Union,11,10,192,203,280,284,107,76,166,166,78,37,00110
78,76,13,XXX,XX,01,  Amragachhia Union,80,80,605,572,1108,1074,158,179,856,815,140,78,00110
78,76,27,XXX,XX,01,  Deuli Subidkhali Union,50,48,330,272,552,504,130,110,455,405,101,50,00110
78,76,81,XXX,XX,01,  Mirzaganj Union,87,88,432,424,849,837,146,155,610,638,81,46,00110
78,95,27,XXX,XX,01,  Jainkati Union,73,79,448,388,811,680,171,170,522,504,99,68,00110
6,02,15,XXX,XX,01,  Bakal Union,188,204,562,501,1273,1269,204,166,870,954,151,73,00110
6,02,47,XXX,XX,01,  Gaila Union,169,203,632,606,1390,1322,192,152,1075,1101,150,77,00110
6,03,81,XXX,XX,01,  Rahmatpur Union,79,55,415,382,859,697,125,116,656,674,93,48,00110
6,07,12,XXX,XX,01,  Bhar Pasha Union,63,61,473,485,922,849,158,154,710,701,121,66,00110
6,07,94,XXX,XX,01,  Rangasree Union,177,149,1032,953,1875,1767,362,305,1432,1545,224,150,00110
6,10,42,XXX,XX,01,  Chakhar Union,75,64,362,369,722,683,131,103,645,641,72,59,00110
6,10,63,XXX,XX,01,  Salia Bakpur Union,35,30,466,472,877,791,169,156,720,740,120,46,00110
6,36,13,XXX,XX,01,  Bara Jalia Union,132,125,630,647,1103,1070,255,199,607,711,333,193,00110
6,51,34,XXX,XX,01,  Char Baria Union,78,87,508,499,964,846,234,205,709,752,206,107,00110
6,51,43,XXX,XX,01,  Char Kowa Union,149,157,636,618,1254,1211,254,211,952,937,218,146,00110
6,62,87,XXX,XX,01,  Mehendiganj Union,31,46,417,379,718,688,216,181,392,544,208,98,00110
6,94,31,XXX,XX,01,  Guthia Union,103,117,639,589,1199,1194,198,181,981,1030,116,83,00110
6,94,84,XXX,XX,01,  Shikarpur Union,85,83,494,500,1017,930,176,148,813,861,145,88,00110
79,14,11,XXX,XX,01,  Bhandaria Union,19,19,150,177,306,270,52,34,232,220,52,14,00110
79,14,71,XXX,XX,01,  Nudmulla Union,60,44,592,648,1150,1023,202,163,805,809,142,82,00110
79,47,15,XXX,XX,01,  Amrajuri Union,15,15,151,145,249,275,70,55,187,188,57,21,00110
79,47,47,XXX,XX,01,  Kawkhali Union,95,81,559,511,1022,961,206,151,737,793,156,65,00110
79,58,60,XXX,XX,01,  Mathbaria Union,42,37,382,373,677,580,162,156,401,443,78,43,00110
79,76,52,XXX,XX,01,  Nazirpur Union,49,36,494,499,824,831,173,166,513,522,151,99,00110
79,87,76,XXX,XX,01,  Sohagdal Union,55,54,494,479,906,854,209,158,819,830,181,67,00110
79,87,85,XXX,XX,01,  Sutiakati Union,57,53,451,421,784,772,204,170,522,645,190,88,00110
79,87,95,XXX,XX,01,  Nesarabad (Swarupkati) Union,42,39,270,294,598,550,89,82,385,458,116,28,00110
79,90,51,XXX,XX,01,  Pattashi Union,110,106,745,736,1384,1346,245,196,879,952,210,81,00110
9,18,12,XXX,XX,01,  Alinagar Union,50,48,573,504,929,833,299,266,715,717,192,92,00110
9,18,14,XXX,XX,01,  Bapta Union,48,44,192,158,336,364,83,49,205,236,67,34,00110
9,18,36,XXX,XX,01,  Dhania Union,72,73,845,841,1380,1354,502,386,983,1060,368,195,00110
9,21,16,XXX,XX,01,  Bara Manika Union,153,158,1092,1051,1603,1688,530,386,1075,1080,414,242,00110
9,21,57,XXX,XX,01,  Kutba Union,57,55,216,179,428,387,102,71,307,328,67,66,00110
9,65,23,XXX,XX,01,  Hajirhat Union,104,102,1017,1005,1431,1395,573,476,736,869,494,226,00110
9,91,57,XXX,XX,01,  Chandpur Union,60,45,843,862,975,846,588,440,692,746,392,196,00110
4,09,13,XXX,XX,01,  Amtali Union,105,127,555,603,1073,1025,224,239,665,638,136,96,00110
4,19,23,XXX,XX,01,  Bamna Union,77,61,359,371,781,657,155,104,409,422,106,40,00110
4,47,11,XXX,XX,01,  Betagi Union,98,114,374,345,760,709,122,119,542,561,82,65,00110
4,85,23,XXX,XX,01,  Kakchira Union,63,79,547,511,895,918,169,134,572,543,147,71,00110
4,85,35,XXX,XX,01,  Kalmegha Union,81,99,577,606,977,967,193,171,632,627,141,69,00110
4,85,71,XXX,XX,01,  Patharghata Union,88,101,935,862,1283,1443,434,312,986,944,299,147,00110
52,02,10,XXX,XX,01,  Bhadai Union,34,29,210,209,360,307,54,47,252,265,34,18,00110
52,33,76,XXX,XX,01,  Shingimari Union,107,129,954,849,1486,1430,277,194,962,981,186,94,00110
52,39,95,XXX,XX,01,  Tushbhandar Union,77,75,1114,974,1489,1520,535,437,1081,1102,242,126,00110
77,04,67,XXX,XX,01,  Radhanagar Union,14,13,440,490,665,653,122,104,511,487,68,38,00110
77,04,81,XXX,XX,01,  Taria Union,29,32,723,741,1073,1046,244,198,817,826,120,67,00110
77,25,73,XXX,XX,01,  Maidan Dighi Union,69,61,797,723,1103,1017,207,143,705,771,190,110,00110
77,34,47,XXX,XX,01,  Debiganj Union,69,54,563,508,791,722,215,169,425,487,145,74,00110
77,73,36,XXX,XX,01,  Dhakkamara Union,59,52,884,836,1438,1361,272,223,894,1117,206,109,00110
77,90,81,XXX,XX,01,  Tentulia Union,21,21,578,502,718,671,165,116,516,563,129,53,00110
85,27,31,XXX,XX,01,  Gangachara Union,40,37,987,928,1344,1280,440,334,938,982,162,73,00110
85,58,49,XXX,XX,01,  Durgapur Union,113,129,1411,1308,2114,1883,706,532,1448,1531,388,168,00110
85,73,76,XXX,XX,01,  Pirgachha Union,99,68,975,930,1552,1432,365,339,1185,1168,239,86,00110
85,76,69,XXX,XX,01,  Pirganj Union,63,50,763,716,1234,1167,379,326,708,739,203,104,00110
85,76,75,XXX,XX,01,  Roypur Union,50,60,678,582,994,901,441,343,641,665,173,86,00110
85,92,71,XXX,XX,01,  Kursha Union,59,56,811,825,1119,1075,377,312,716,788,219,134,00110
49,06,19,XXX,XX,01,  Bhurungamari Union,59,65,618,507,843,771,256,247,586,574,174,96,00110
49,08,19,XXX,XX,01,  Char Rajibpur Union,32,33,856,790,1213,1228,396,326,788,762,151,60,00110
49,09,83,XXX,XX,01,  Thanahat Union,44,39,790,819,1159,1154,366,323,884,852,132,81,00110
49,18,40,XXX,XX,01,  Phulbari Union,26,29,642,570,863,933,289,312,689,666,118,65,00110
49,52,17,XXX,XX,01,  Belgachha Union,33,27,758,692,1020,1001,335,280,862,840,145,95,00110
49,77,21,XXX,XX,01,  Chakirpashar Union,35,40,712,708,1121,1028,271,270,918,883,119,78,00110
49,77,73,XXX,XX,01,  Rajarhat Union,125,99,844,870,1477,1466,272,285,1152,1173,155,81,00110
49,79,71,XXX,XX,01,  Raumari Union,24,27,835,847,1170,1170,401,368,804,804,212,116,00110
32,21,47,XXX,XX,01,  Gazaria Union,26,25,622,574,685,632,314,314,347,314,212,134,00110
32,24,14,XXX,XX,01,  Ballamjhar Union,83,77,1581,1395,2037,2009,777,711,1177,1271,414,254,00110
32,24,21,XXX,XX,01,  Boali Union,46,47,1380,1422,1831,1800,646,633,1164,1177,301,192,00110
32,24,58,XXX,XX,01,  Kholahati Union,44,41,987,988,1287,1259,592,515,770,854,299,145,00110
32,24,85,XXX,XX,01,  Mollar Char Union,16,19,294,261,405,428,123,105,215,245,71,45,00110
32,67,85,XXX,XX,01,  Palashbari Union,29,42,474,435,757,690,242,210,470,467,113,73,00110
32,82,13,XXX,XX,01,  Banagram Union,43,35,707,664,927,947,376,321,573,650,155,86,00110
32,82,60,XXX,XX,01,  Jamalpur Union,68,68,972,956,1391,1303,481,465,925,838,263,152,00110
32,88,19,XXX,XX,01,  Bonar Para Union,50,38,824,829,1116,1060,475,441,772,727,164,148,00110
32,88,85,XXX,XX,01,  Saghata Union,14,18,612,687,961,774,273,258,623,576,104,53,00110
32,91,31,XXX,XX,01,  Dahabanda Union,42,45,756,674,945,853,410,355,637,625,152,99,00110
