ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
89,90,XX,XXX,XX,01,  Sreebardi Upazila,60098,60042,13,43,235479,116775,118704.0,98.0,01110
68,07,XX,XXX,XX,01,  Belabo Upazila,37816,37732,5,79,169217,82507,86710.0,95.0,01110
68,52,XX,XXX,XX,01,  Manohardi Upazila,58339,58103,43,193,253690,120934,132756.0,91.0,01110
68,60,XX,XXX,XX,01,  Narsingdi Sadar Upazila,97836,97125,71,640,472814,239207,233607.0,102.0,01110
68,63,XX,XXX,XX,01,  Palash Upazila,24736,24611,29,96,112932,56156,56776.0,99.0,01110
68,64,XX,XXX,XX,01,  Roypura Upazila,101202,101008,50,144,491337,237586,253751.0,94.0,01110
68,76,XX,XXX,XX,01,  Shibpur Upazila,59470,59317,58,95,277309,135364,141945.0,95.0,01110
33,30,XX,XXX,XX,01,  Gazipur Sadar Upazila,276589,269078,444,7067,1130963,610140,520823.0,117.0,01110
33,32,XX,XXX,XX,01,  Kaliakair Upazila,73045,72384,41,620,319810,161199,158611.0,102.0,01110
33,34,XX,XXX,XX,01,  Kaliganj Upazila,48052,47958,38,56,219846,108912,110934.0,98.0,01110
33,36,XX,XXX,XX,01,  Kapasia Upazila,76815,76605,64,146,329176,159312,169864.0,94.0,01110
33,86,XX,XXX,XX,01,  Sreepur Upazila,91402,90838,65,499,366543,184138,182405.0,101.0,01110
90,18,XX,XXX,XX,01,  Bishwambarpur Upazila,28739,28712,6,21,153225,76567,76658.0,100.0,01110
90,23,XX,XXX,XX,01,  Chhatak Upazila,57794,57559,16,219,346964,171064,175900.0,97.0,01110
90,27,XX,XXX,XX,01,  Dakshin Sunamganj Upazila,31103,31023,6,74,178700,88370,90330.0,98.0,01110
90,29,XX,XXX,XX,01,  Derai Upazila,38523,38449,1,73,207507,104428,103079.0,101.0,01110
90,32,XX,XXX,XX,01,  Dharampasha Upazila,41602,41537,9,56,211399,106047,105352.0,101.0,01110
90,33,XX,XXX,XX,01,  Dowarabazar Upazila,39844,39781,5,58,213666,104753,108913.0,96.0,01110
90,47,XX,XXX,XX,01,  Jagannathpur Upazila,35834,35659,13,162,218791,109038,109753.0,99.0,01110
90,50,XX,XXX,XX,01,  Jamalganj Upazila,28103,28077,1,25,157127,79444,77683.0,102.0,01110
90,86,XX,XXX,XX,01,  Sulla Upazila,19510,19498,0,12,109829,55297,54532.0,101.0,01110
90,89,XX,XXX,XX,01,  Sunamganj Sadar Upazila,36815,36764,9,42,208893,103646,105247.0,98.0,01110
90,92,XX,XXX,XX,01,  Tahirpur Upazila,36246,36144,7,95,205750,105592,100158.0,105.0,01110
36,02,XX,XXX,XX,01,  Ajmiriganj Upazila,18210,18125,4,81,99365,49242,50123.0,98.0,01110
36,05,XX,XXX,XX,01,  Bahubal Upazila,36564,36469,12,83,193952,96077,97875.0,98.0,01110
36,11,XX,XXX,XX,01,  Baniachong Upazila,54338,54233,10,95,304024,149925,154099.0,97.0,01110
36,26,XX,XXX,XX,01,  Chunarughat Upazila,57243,57164,16,63,282459,137354,145105.0,95.0,01110
36,44,XX,XXX,XX,01,  Habiganj Sadar Upazila,41705,41615,18,72,222392,110055,112337.0,98.0,01110
36,68,XX,XXX,XX,01,  Lakhai Upazila,24486,24471,2,13,131576,62411,69165.0,90.0,01110
36,71,XX,XXX,XX,01,  Madhabpur Upazila,57690,57607,20,63,294601,143489,151112.0,95.0,01110
36,77,XX,XXX,XX,01,  Nabiganj Upazila,56376,56176,17,183,315666,154907,160759.0,96.0,01110
91,08,XX,XXX,XX,01,  Balaganj Upazila,52841,52654,46,141,312416,154074,158342.0,97.0,01110
91,17,XX,XXX,XX,01,  Beani Bazar Upazila,34410,34276,22,112,211586,102907,108679.0,95.0,01110
91,20,XX,XXX,XX,01,  Bishwanath Upazila,34201,34096,27,78,211514,104889,106625.0,98.0,01110
91,27,XX,XXX,XX,01,  Companiganj Upazila,25334,25212,7,115,155994,79873,76121.0,105.0,01110
91,31,XX,XXX,XX,01,  Dakshin Surma Upazila,39885,39784,33,68,236324,117465,118859.0,99.0,01110
91,35,XX,XXX,XX,01,  Fenchuganj Upazila,14870,14786,16,68,82900,40106,42794.0,94.0,01110
91,38,XX,XXX,XX,01,  Golapganj Upazila,44026,43952,18,56,278692,135279,143413.0,94.0,01110
91,41,XX,XXX,XX,01,  Gowainghat Upazila,46984,46851,10,123,281443,140827,140616.0,100.0,01110
91,53,XX,XXX,XX,01,  Jaintiapur Upazila,26216,26176,10,30,153857,76852,77005.0,100.0,01110
91,59,XX,XXX,XX,01,  Kanaighat Upazila,41476,41368,0,108,236891,115767,121124.0,96.0,01110
91,62,XX,XXX,XX,01,  Sylhet Sadar Upazila,52609,52222,62,325,302691,155199,147492.0,105.0,01110
91,94,XX,XXX,XX,01,  Zakiganj Upazila,37020,36896,15,109,216331,106857,109474.0,98.0,01110
58,14,XX,XXX,XX,01,  Barlekha Upazila,39291,39123,16,152,230948,111104,119844.0,93.0,01110
58,35,XX,XXX,XX,01,  Juri Upazila,25116,25054,4,58,135667,66642,69025.0,97.0,01110
58,56,XX,XXX,XX,01,  Kamalganj Upazila,45909,45824,12,73,228933,112771,116162.0,97.0,01110
58,65,XX,XXX,XX,01,  Kulaura Upazila,61249,61140,29,80,332704,162118,170586.0,95.0,01110
58,74,XX,XXX,XX,01,  Maulvibazar Sadar Upazila,52041,51828,25,188,285931,142063,143868.0,99.0,01110
58,80,XX,XXX,XX,01,  Rajnagar Upazila,40439,40360,3,76,218532,106145,112387.0,94.0,01110
58,83,XX,XXX,XX,01,  Sreemangal Upazila,56877,56720,23,134,278268,138470,139798.0,99.0,01110
