ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,35,XXX,XX,03,  Batiaghata Union,1908,7675,7675,0,00110
47,30,27,XXX,XX,03,  Dumuria Union,4510,19828,19810,18,00110
47,53,55,XXX,XX,03,  Koyra Union,2687,11594,11594,0,00110
47,69,38,XXX,XX,03,  Damodar Union,6634,28451,28383,68,00110
47,69,76,XXX,XX,03,  Phultala Union,756,3130,3116,14,00110
47,94,27,XXX,XX,03,  Barasat Union,1132,5038,5038,0,00110
47,94,81,XXX,XX,03,  Terokhada Union,1561,6939,6939,0,00110
18,07,15,XXX,XX,03,  Baradi Union,276,1106,1106,0,00110
18,07,23,XXX,XX,03,  Bhangabaria Union,907,3879,3879,0,00110
18,07,27,XXX,XX,03,  Chithla Union,917,3722,3722,0,00110
18,07,47,XXX,XX,03,  Hardi Union,3050,12445,12415,30,00110
18,07,55,XXX,XX,03,  Jamjami Union,1432,5764,5764,0,00110
18,07,63,XXX,XX,03,  Jehala Union,2468,10455,10445,10,00110
18,07,79,XXX,XX,03,  Khaskara Union,224,902,902,0,00110
18,07,87,XXX,XX,03,  Kumari Union,2018,8051,8051,0,00110
18,23,11,XXX,XX,03,  Alokdia Union,6268,26296,26296,0,00110
18,23,47,XXX,XX,03,  Kutubpur Union,500,1952,1952,0,00110
18,23,59,XXX,XX,03,  Mominpur Union,1510,6016,6011,5,00110
18,23,71,XXX,XX,03,  Shankar Chandra Union,1271,5192,5192,0,00110
18,23,83,XXX,XX,03,  Titudaha Union,906,3623,3623,0,00110
18,31,11,XXX,XX,03,  Damurhuda Union,3448,14331,14331,0,00110
18,31,35,XXX,XX,03,  Howli Union,3197,13041,13041,0,00110
18,55,38,XXX,XX,03,  Banka Union,1376,5575,5575,0,00110
18,55,76,XXX,XX,03,  Uthali Union,1738,7059,7058,1,00110
65,28,14,XXX,XX,03,  Boranal Eliasabad Union,531,2252,2252,0,00110
65,28,71,XXX,XX,03,  Mauli Union,113,555,555,0,00110
65,28,87,XXX,XX,03,  Peruli Union,1444,7002,7001,1,00110
65,28,95,XXX,XX,03,  Salamabad Union,1341,6257,6257,0,00110
65,76,61,XXX,XX,03,  Mulia Union,2052,9019,9019,0,00110
44,14,31,XXX,XX,03,  Daulatpur Union,1540,6264,6264,0,00110
44,19,73,XXX,XX,03,  Paglakanai Union,677,2707,2707,0,00110
41,23,25,XXX,XX,03,  Bankra Union,605,2329,2329,0,00110
41,23,35,XXX,XX,03,  Gadkhali Union,823,3350,3350,0,00110
41,23,47,XXX,XX,03,  Jhikargachha Union,407,1567,1567,0,00110
41,23,71,XXX,XX,03,  Panisara Union,348,1419,1419,0,00110
41,38,28,XXX,XX,03,  Keshabpur Union,1432,5839,5839,0,00110
41,38,38,XXX,XX,03,  Majidpur Union,449,1712,1711,1,00110
41,47,23,XXX,XX,03,  Chanchra Union,2196,9791,9791,0,00110
41,47,41,XXX,XX,03,  Fathehpur Union,2326,9345,9345,0,00110
41,90,86,XXX,XX,03,  Sharsha Union,1237,5084,5080,4,00110
1,14,31,XXX,XX,03,  Chitalmari Union,333,1272,1272,0,00110
1,34,10,XXX,XX,03,  Bahirdia Mansa Union,2463,10299,10299,0,00110
1,34,31,XXX,XX,03,  Fakirhat Union,1830,7387,7385,2,00110
1,34,52,XXX,XX,03,  Mulghar Union,1155,4924,4924,0,00110
1,34,63,XXX,XX,03,  Naldha Maubhog Union,1026,4371,4371,0,00110
1,38,57,XXX,XX,03,  Kachua Union,2296,9473,9473,0,00110
1,56,95,XXX,XX,03,  Udaypur Union,2657,12874,12840,34,00110
1,60,23,XXX,XX,03,  Baraikhali Union,1416,5389,5389,0,00110
1,73,83,XXX,XX,03,  Rampal Union,453,1720,1712,8,00110
1,77,38,XXX,XX,03,  Khontakata Union,2788,11628,11628,0,00110
1,77,57,XXX,XX,03,  Royenda Union,3630,15343,15341,2,00110
55,66,52,XXX,XX,03,  Mohammadpur Union,2240,10010,10010,0,00110
55,85,11,XXX,XX,03,  Arpara Union,1568,6878,6878,0,00110
55,85,59,XXX,XX,03,  Shalikha Union,80,277,277,0,00110
55,95,84,XXX,XX,03,  Sreepur Union,1123,4894,4894,0,00110
50,15,27,XXX,XX,03,  Bahir Char Union,1079,4537,4537,0,00110
50,15,40,XXX,XX,03,  Chandgram Union,1023,4086,4086,0,00110
50,39,33,XXX,XX,03,  Daulatpur Union,1965,7638,7638,0,00110
50,39,61,XXX,XX,03,  Mathurapur Union,3031,11808,11808,0,00110
