ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,11,11,162,188,278,272,59,71,244,242,41,26,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,76,60,524,531,962,844,196,182,797,753,167,77,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,39,33,338,330,582,530,119,116,533,543,128,57,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,136,115,786,764,1418,1379,327,279,1304,1112,237,120,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,48,28,446,421,691,592,240,231,470,437,147,88,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,101,97,1208,1105,2121,1999,533,491,1590,1645,324,114,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,100,102,1232,1144,1914,1925,487,428,1500,1660,479,182,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,73,88,773,762,1206,1237,355,333,901,951,271,122,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,21,20,370,370,485,487,218,194,472,454,144,71,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,57,40,622,532,994,959,359,289,597,613,207,120,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,28,17,208,215,399,405,75,66,341,287,38,21,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,23,22,192,165,316,299,68,71,219,239,49,15,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,11,10,85,71,109,118,46,50,86,94,39,14,01110
