ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,XX,XX,XXX,XX,XX,Khulna Zila Total,178917,154335,24582,89334,5872,17842,4715,47159,13995,11111
18,XX,XX,XXX,XX,XX,Chuadanga Zila Total,156246,149556,6690,122780,2186,5023,892,21753,3612,11111
65,XX,XX,XXX,XX,XX,Narail Zila Total,70424,67183,3241,55213,1211,2738,374,9232,1656,11111
44,XX,XX,XXX,XX,XX,Jhenaidah Zila Total,233138,224118,9020,183835,2530,10484,1373,29799,5117,11111
41,XX,XX,XXX,XX,XX,Jessore Zila Total,259854,240322,19532,176434,5154,15968,4333,47920,10045,11111
1,XX,XX,XXX,XX,XX,Bagerhat Zila Total,102723,95840,6883,65585,2329,3420,567,26835,3987,11111
55,XX,XX,XXX,XX,XX,Magura Zila Total,106043,102156,3887,84249,979,3731,600,14176,2308,11111
50,XX,XX,XXX,XX,XX,Kushtia Zila Total,295561,281898,13663,210807,3503,18757,2840,52334,7320,11111
57,XX,XX,XXX,XX,XX,Meherpur Zila Total,101502,98340,3162,84404,1512,1380,121,12556,1529,11111
87,XX,XX,XXX,XX,XX,Satkhira Zila Total,191434,173638,17796,140475,10559,6244,886,26919,6351,11111
42,XX,XX,XXX,XX,XX,Jhalokati Zila Total,29057,27299,1758,17982,432,2153,302,7164,1024,11111
78,XX,XX,XXX,XX,XX,Patuakhali Zila Total,114678,106113,8565,82478,3876,5818,688,17817,4001,11111
6,XX,XX,XXX,XX,XX,Barisal Zila Total,153678,143565,10113,107383,3737,8840,993,27342,5383,11111
79,XX,XX,XXX,XX,XX,Pirojpur Zila Total,45247,42146,3101,29584,1055,2767,325,9795,1721,11111
9,XX,XX,XXX,XX,XX,Bhola Zila Total,217079,207925,9154,171094,5549,8811,680,28020,2925,11111
4,XX,XX,XXX,XX,XX,Barguna Zila Total,44389,41515,2874,33494,1370,1844,214,6177,1290,11111
52,XX,XX,XXX,XX,XX,Lalmonirhat Zila Total,162294,149828,12466,127263,7487,4329,547,18236,4432,11111
77,XX,XX,XXX,XX,XX,Panchagarh Zila Total,112545,101560,10985,77610,5476,6392,1162,17558,4347,11111
85,XX,XX,XXX,XX,XX,Rangpur Zila Total,396839,367313,29526,287300,13042,19382,3257,60631,13227,11111
49,XX,XX,XXX,XX,XX,Kurigram Zila Total,303586,285296,18290,249358,10345,6703,959,29235,6986,11111
32,XX,XX,XXX,XX,XX,Gaibandha Zila Total,354015,336569,17446,283740,9008,10441,1022,42388,7416,11111
73,XX,XX,XXX,XX,XX,Nilphamari Zila Total,258516,241845,16671,197323,8240,9495,1058,35027,7373,11111
94,XX,XX,XXX,XX,XX,Thakurgaon Zila Total,154765,141698,13067,115580,7317,3023,440,23095,5310,11111
27,XX,XX,XXX,XX,XX,Dinajpur Zila Total,331636,302511,29125,232760,14110,10513,1820,59238,13195,11111
10,XX,XX,XXX,XX,XX,Bogra Zila Total,438347,412342,26005,320892,7704,30555,4448,60895,13853,11111
88,XX,XX,XXX,XX,XX,Sirajganj Zila Total,453698,431048,22650,290870,6582,78479,7301,61699,8767,11111
81,XX,XX,XXX,XX,XX,Rajshahi Zila Total,298300,277540,20760,224641,8240,10444,1455,42455,11065,11111
64,XX,XX,XXX,XX,XX,Naogaon Zila Total,333745,312987,20758,265087,10003,9460,1900,38440,8855,11111
76,XX,XX,XXX,XX,XX,Pabna Zila Total,371043,351555,19488,264018,6004,29180,3544,58357,9940,11111
70,XX,XX,XXX,XX,XX,Chapai Nawabganj Zila Total,232745,223399,9346,176291,3732,8603,1397,38505,4217,11111
69,XX,XX,XXX,XX,XX,Natore Zila Total,235682,224788,10894,191986,5257,6122,1027,26680,4610,11111
38,XX,XX,XXX,XX,XX,Joypurhat Zila Total,102067,96176,5891,79054,2925,2848,373,14274,2593,11111
13,XX,XX,XXX,XX,XX,Chandpur Zila Total,165956,158405,7551,112026,2707,11180,777,35199,4067,11111
3,XX,XX,XXX,XX,XX,Bandarban Zila Total,81161,59182,21979,51371,20431,2890,297,4921,1251,11111
19,XX,XX,XXX,XX,XX,Comilla Zila Total,450389,422365,28024,278442,7419,28856,4105,115067,16500,11111
12,XX,XX,XXX,XX,XX,Brahmanbaria Zila Total,293252,272020,21232,192082,8330,18132,2822,61806,10080,11111
51,XX,XX,XXX,XX,XX,Lakshmipur Zila Total,144334,136473,7861,101684,3680,8180,758,26609,3423,11111
46,XX,XX,XXX,XX,XX,Khagrachhari Zila Total,77909,63167,14742,53998,12979,1675,192,7494,1571,11111
22,XX,XX,XXX,XX,XX,Cox's Bazar Zila Total,293505,272678,20827,181055,8429,14566,1279,77057,11119,11111
15,XX,XX,XXX,XX,XX,Chittagong Zila Total,575590,478977,96613,188033,10294,69862,36073,221082,50246,11111
84,XX,XX,XXX,XX,XX,Rangamati Zila Total,77532,57781,19751,49798,17347,2306,248,5677,2156,11111
30,XX,XX,XXX,XX,XX,Feni Zila Total,81506,76880,4626,38002,856,6916,718,31962,3052,11111
75,XX,XX,XXX,XX,XX,Noakhali Zila Total,229628,214953,14675,145462,7232,11400,1270,58091,6173,11111
29,XX,XX,XXX,XX,XX,Faridpur Zila Total,224488,212963,11525,167687,3152,11679,2374,33597,5999,11111
72,XX,XX,XXX,XX,XX,Netrakona Zila Total,336489,315820,20669,277816,9948,8655,1818,29349,8903,11111
39,XX,XX,XXX,XX,XX,Jamalpur Zila Total,393889,369692,24197,312082,11698,10959,2200,46651,10299,11111
59,XX,XX,XXX,XX,XX,Munshiganj Zila Total,147819,133756,14063,79189,4501,15978,2870,38589,6692,11111
35,XX,XX,XXX,XX,XX,Gopalganj Zila Total,88577,83818,4759,69501,2209,2823,356,11494,2194,11111
82,XX,XX,XXX,XX,XX,Rajbari Zila Total,144762,138416,6346,109025,1752,6175,611,23216,3983,11111
61,XX,XX,XXX,XX,XX,Mymensingh Zila Total,694418,652745,41673,493383,13030,36896,8800,122466,19843,11111
67,XX,XX,XXX,XX,XX,Narayanganj Zila Total,325273,254095,71178,54278,1987,83773,41164,116044,28027,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,351516,258899,92617,99107,3725,78989,65479,80803,23413,11111
56,XX,XX,XXX,XX,XX,Manikganj Zila Total,176013,167508,8505,135238,3280,8563,1623,23707,3602,11111
26,XX,XX,XXX,XX,XX,Dhaka Zila Total,1126309,805865,320444,109595,4999,174498,105486,521772,209959,11111
86,XX,XX,XXX,XX,XX,Shariatpur Zila Total,126877,119598,7279,96238,3366,5363,575,17997,3338,11111
54,XX,XX,XXX,XX,XX,Madaripur Zila Total,126095,115652,10443,90512,3352,7528,574,17612,6517,11111
93,XX,XX,XXX,XX,XX,Tangail Zila Total,488418,462557,25861,342522,7526,35499,7431,84536,10904,11111
48,XX,XX,XXX,XX,XX,Kishoreganj Zila Total,383209,361199,22010,271754,8400,22028,2482,67417,11128,11111
89,XX,XX,XXX,XX,XX,Sherpur Zila Total,222829,206803,16026,170742,6711,9063,1734,26998,7581,11111
68,XX,XX,XXX,XX,XX,Narsingdi Zila Total,245879,225922,19957,117969,2782,41075,7026,66878,10149,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,351516,258899,92617,99107,3725,78989,65479,80803,23413,11111
90,XX,XX,XXX,XX,XX,Sunamganj Zila Total,346243,323216,23027,273237,12012,9280,1145,40699,9870,11111
36,XX,XX,XXX,XX,XX,Habiganj Zila Total,262103,234288,27815,184885,16150,10192,3190,39211,8475,11111
91,XX,XX,XXX,XX,XX,Sylhet Zila Total,311450,279240,32210,162212,7653,32949,6100,84079,18457,11111
58,XX,XX,XXX,XX,XX,Maulvibazar Zila Total,204692,164474,40218,105855,17636,14562,9494,44057,13088,11111
