ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
61,XX,XX,XXX,XX,XX,Mymensingh Zila Total,88104,80856,117900,113838,24717,16590,148589,226124,5313,2405,184814,232385,11111
67,XX,XX,XXX,XX,XX,Narayanganj Zila Total,46503,46132,97066,104660,14514,9036,136217,171606,3158,1306,161876,161876,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,55511,47098,96870,123470,19033,10046,191889,236816,4426,1482,235391,203083,11111
56,XX,XX,XXX,XX,XX,Manikganj Zila Total,28116,22023,24833,30679,7454,3923,38717,65080,1664,637,48898,70191,11111
26,XX,XX,XXX,XX,XX,Dhaka Zila Total,259682,211151,378094,383830,198223,107967,604850,652916,50503,18546,795196,667779,11111
86,XX,XX,XXX,XX,XX,Shariatpur Zila Total,17846,21388,30423,32515,2619,2008,33200,50316,512,242,36783,50978,11111
54,XX,XX,XXX,XX,XX,Madaripur Zila Total,22290,21588,28733,28993,4647,2878,34088,50149,924,447,38260,52793,11111
93,XX,XX,XXX,XX,XX,Tangail Zila Total,76002,55561,65794,78713,19889,11241,102754,175879,3987,1608,132551,185961,11111
48,XX,XX,XXX,XX,XX,Kishoreganj Zila Total,43383,46494,73843,66843,9468,7033,82867,124993,1830,890,97943,132926,11111
89,XX,XX,XXX,XX,XX,Sherpur Zila Total,23836,19014,27488,27759,4771,2826,36811,62722,886,458,51882,65342,11111
68,XX,XX,XXX,XX,XX,Narsingdi Zila Total,40538,43285,61274,54967,9322,6577,75354,105697,1688,832,83429,105370,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,55511,47098,96870,123470,19033,10046,191889,236816,4426,1482,235391,203083,11111
90,XX,XX,XXX,XX,XX,Sunamganj Zila Total,27986,26664,80161,74213,4906,3206,84805,102041,832,373,86591,105012,11111
36,XX,XX,XXX,XX,XX,Habiganj Zila Total,27208,27559,66129,67602,5876,3838,68726,93043,999,468,72069,93091,11111
91,XX,XX,XXX,XX,XX,Sylhet Zila Total,67134,65531,118533,115642,20980,12563,133278,150825,4040,1391,133114,150916,11111
58,XX,XX,XXX,XX,XX,Maulvibazar Zila Total,31492,35410,63978,62477,6321,4982,67352,85811,1167,630,68857,89488,11111
