ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,51,29,XXX,XX,XX,  Ward No-29 Total,17763,15595,1554,614,0,0,00111
47,51,30,XXX,XX,XX,  Ward No-30 Total,33283,30206,1842,1231,4,0,00111
47,51,31,XXX,XX,XX,  Ward No-31 Total,33844,32905,516,421,0,2,00111
47,53,10,XXX,XX,XX,  Amadi Union Total,33184,22509,10506,169,0,0,00111
47,53,11,XXX,XX,XX,  Bagali Union Total,34477,28671,5760,46,0,0,00111
47,53,22,XXX,XX,XX,  Dakshin Bedkashi Union Total,16755,13840,2913,0,0,2,00111
47,53,55,XXX,XX,XX,Koyra Union Total,33230,29597,3344,47,0,242,00111
47,53,72,XXX,XX,XX,  Maharajpur Union Total,31068,28281,2755,15,0,17,00111
47,53,78,XXX,XX,XX,  Maheshwaripur Union Total,29992,19893,9886,196,0,17,00111
47,53,94,XXX,XX,XX,  Uttar Bedkashi Union Total,15225,10189,5033,3,0,0,00111
47,64,01,XXX,XX,XX,  Ward No-01 Total,1099,1099,0,0,0,0,00111
47,64,02,XXX,XX,XX,  Ward No-02 Total,1060,975,85,0,0,0,00111
47,64,03,XXX,XX,XX,  Ward No-03 Total,1290,1272,18,0,0,0,00111
47,64,04,XXX,XX,XX,  Ward No-04 Total,2661,970,1691,0,0,0,00111
47,64,05,XXX,XX,XX,  Ward No-05 Total,2856,1861,995,0,0,0,00111
47,64,06,XXX,XX,XX,  Ward No-06 Total,1989,1633,353,3,0,0,00111
47,64,07,XXX,XX,XX,  Ward No-07 Total,1796,1237,244,315,0,0,00111
47,64,08,XXX,XX,XX,  Ward No-08 Total,1134,860,274,0,0,0,00111
47,64,09,XXX,XX,XX,  Ward No-09 Total,2132,1211,920,1,0,0,00111
47,64,16,XXX,XX,XX,  Chandkhali Union Total,37734,32315,5299,120,0,0,00111
47,64,27,XXX,XX,XX,  Deluti Union Total,15554,4362,11178,14,0,0,00111
47,64,33,XXX,XX,XX,  Gadaipur Union Total,19669,16457,3152,60,0,0,00111
47,64,39,XXX,XX,XX,  Garuikhali Union Total,22805,12119,10437,249,0,0,00111
47,64,44,XXX,XX,XX,  Haridhali Union Total,23415,17703,5630,82,0,0,00111
47,64,50,XXX,XX,XX,  Kapilmuni Union Total,33011,25341,7599,71,0,0,00111
47,64,61,XXX,XX,XX,  Laskar Union Total,20463,12818,7544,101,0,0,00111
47,64,67,XXX,XX,XX,  Lata Union Total,10856,2881,7970,5,0,0,00111
47,64,83,XXX,XX,XX,  Raruli Union Total,26152,18592,7544,16,0,0,00111
47,64,89,XXX,XX,XX,  Sholadana Union Total,22307,12858,9399,50,0,0,00111
47,69,38,XXX,XX,XX,Damodar Union Total,36742,32453,4282,5,0,2,00111
47,69,57,XXX,XX,XX,  Jamira Union Total,19138,16729,2403,6,0,0,00111
47,69,76,XXX,XX,XX,Phultala Union Total,28001,25089,2910,2,0,0,00111
47,75,13,XXX,XX,XX,  Aijganti Union Total,44318,40575,3743,0,0,0,00111
47,75,27,XXX,XX,XX,  Ghatbhogh Union Total,33786,19245,14525,15,0,1,00111
47,75,54,XXX,XX,XX,  Naihati Union Total,58299,55165,2973,124,0,37,00111
47,75,67,XXX,XX,XX,  Sreefaltala Union Total,25242,23648,1594,0,0,0,00111
47,75,81,XXX,XX,XX,  T. S. Bahirdia Union Total,17874,14008,3659,206,0,1,00111
47,85,16,XXX,XX,XX,  Ward No-16 Total,29213,26574,2376,252,11,0,00111
47,85,17,XXX,XX,XX,  Ward No-17 Total,33163,28099,4318,694,13,39,00111
47,85,18,XXX,XX,XX,  Ward No-18 Total,27896,25881,1005,989,0,21,00111
47,85,19,XXX,XX,XX,  Ward No-19 Total,18558,17095,1449,12,2,0,00111
47,85,20,XXX,XX,XX,  Ward No-20 Total,16624,15505,1115,3,0,1,00111
47,85,25,XXX,XX,XX,  Ward No-25 Total,21274,18731,2324,217,2,0,00111
47,85,26,XXX,XX,XX,  Ward No-26 Total,21011,20135,857,9,0,10,00111
47,94,13,XXX,XX,XX,  Ajugara Union Total,14709,8705,6004,0,0,0,00111
47,94,27,XXX,XX,XX,Barasat Union Total,22099,18644,3452,3,0,0,00111
47,94,40,XXX,XX,XX,  Madhupur Union Total,20254,19110,1143,1,0,0,00111
47,94,54,XXX,XX,XX,  Sachiadah Union Total,17596,9627,7961,8,0,0,00111
47,94,67,XXX,XX,XX,  Sagladah Union Total,20126,19112,1014,0,0,0,00111
47,94,81,XXX,XX,XX,Terokhada Union Total,21925,19279,2646,0,0,0,00111
18,07,01,XXX,XX,XX,  Ward No-01 Total,3971,3523,448,0,0,0,00111
18,07,02,XXX,XX,XX,  Ward No-02 Total,4055,3846,209,0,0,0,00111
18,07,03,XXX,XX,XX,  Ward No-03 Total,3049,1595,1437,0,0,17,00111
18,07,04,XXX,XX,XX,  Ward No-04 Total,4431,3733,698,0,0,0,00111
18,07,05,XXX,XX,XX,  Ward No-05 Total,4027,4025,2,0,0,0,00111
18,07,06,XXX,XX,XX,  Ward No-06 Total,3992,3746,246,0,0,0,00111
18,07,07,XXX,XX,XX,  Ward No-07 Total,3185,2771,408,0,0,6,00111
18,07,08,XXX,XX,XX,  Ward No-08 Total,2536,2455,81,0,0,0,00111
18,07,09,XXX,XX,XX,  Ward No-09 Total,2802,2696,106,0,0,0,00111
18,07,13,XXX,XX,XX,  Belgachhi Union Total,14426,14243,183,0,0,0,00111
18,07,15,XXX,XX,XX,Baradi Union Total,19583,19303,262,0,0,18,00111
18,07,23,XXX,XX,XX,Bhangabaria Union Total,27714,27305,380,0,0,29,00111
18,07,27,XXX,XX,XX,Chithla Union Total,22613,22392,221,0,0,0,00111
18,07,31,XXX,XX,XX,  Dauki Union Total,18731,18431,300,0,0,0,00111
18,07,39,XXX,XX,XX,  Gangni Union Total,24042,23466,556,0,0,20,00111
18,07,47,XXX,XX,XX,Hardi Union Total,29542,29288,245,0,0,9,00111
18,07,51,XXX,XX,XX,  Kalidashpur Union Total,23305,23021,259,0,0,25,00111
18,07,55,XXX,XX,XX,Jamjami Union Total,18498,18065,433,0,0,0,00111
18,07,63,XXX,XX,XX,Jehala Union Total,22286,20963,1323,0,0,0,00111
18,07,71,XXX,XX,XX,  Khadimpur Union Total,19855,19705,148,0,0,2,00111
18,07,79,XXX,XX,XX,Khaskara Union Total,22865,22403,434,0,0,28,00111
18,07,87,XXX,XX,XX,Kumari Union Total,18246,18059,185,0,0,2,00111
18,07,94,XXX,XX,XX,  Nagdaha Union Total,32168,31681,486,0,0,1,00111
18,23,01,XXX,XX,XX,  Ward No-01 Total,10804,10293,502,9,0,0,00111
18,23,02,XXX,XX,XX,  Ward No-02 Total,10812,10745,63,4,0,0,00111
18,23,03,XXX,XX,XX,  Ward No-03 Total,7963,7537,426,0,0,0,00111
18,23,04,XXX,XX,XX,  Ward No-04 Total,6771,6062,703,6,0,0,00111
18,23,05,XXX,XX,XX,  Ward No-05 Total,8948,8571,377,0,0,0,00111
18,23,06,XXX,XX,XX,  Ward No-06 Total,10682,10380,302,0,0,0,00111
18,23,07,XXX,XX,XX,  Ward No-07 Total,10877,10643,234,0,0,0,00111
18,23,08,XXX,XX,XX,  Ward No-08 Total,9605,9292,303,3,0,7,00111
18,23,09,XXX,XX,XX,  Ward No-09 Total,9324,9154,165,0,5,0,00111
18,23,11,XXX,XX,XX,Alokdia Union Total,28840,28073,767,0,0,0,00111
18,23,23,XXX,XX,XX,  Begampur Union Total,41758,41009,664,61,0,24,00111
18,23,47,XXX,XX,XX,Kutubpur Union Total,33231,32371,856,3,0,1,00111
18,23,59,XXX,XX,XX,Mominpur Union Total,15651,15203,448,0,0,0,00111
18,23,62,XXX,XX,XX,  Padmabila Union Total,20214,19667,485,50,10,2,00111
