ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,XX,XX,XXX,XX,XX,Khulna Zila Total,2318527,1776749,525727,15239,97,715,11111
18,XX,XX,XXX,XX,XX,Chuadanga Zila Total,1129015,1100330,26514,1593,22,556,11111
65,XX,XX,XXX,XX,XX,Narail Zila Total,721668,586588,134594,258,6,222,11111
44,XX,XX,XXX,XX,XX,Jhenaidah Zila Total,1771304,1601086,167880,975,28,1335,11111
41,XX,XX,XXX,XX,XX,Jessore Zila Total,2764547,2446162,310184,5556,112,2533,11111
1,XX,XX,XXX,XX,XX,Bagerhat Zila Total,1476090,1198593,270874,6115,43,465,11111
55,XX,XX,XXX,XX,XX,Magura Zila Total,918419,753199,164578,393,6,243,11111
50,XX,XX,XXX,XX,XX,Kushtia Zila Total,1946838,1888744,56792,225,71,1006,11111
57,XX,XX,XXX,XX,XX,Meherpur Zila Total,655392,640751,7870,6627,14,130,11111
87,XX,XX,XXX,XX,XX,Satkhira Zila Total,1985959,1625782,351551,6178,18,2430,11111
42,XX,XX,XXX,XX,XX,Jhalokati Zila Total,682669,613750,68572,105,195,47,11111
78,XX,XX,XXX,XX,XX,Patuakhali Zila Total,1535854,1428601,105496,345,1355,57,11111
6,XX,XX,XXX,XX,XX,Barisal Zila Total,2324310,2040088,271706,12227,225,64,11111
79,XX,XX,XXX,XX,XX,Pirojpur Zila Total,1113257,925895,186865,216,210,71,11111
9,XX,XX,XXX,XX,XX,Bhola Zila Total,1776795,1715497,61162,71,35,30,11111
4,XX,XX,XXX,XX,XX,Barguna Zila Total,892781,822652,68678,283,1097,71,11111
52,XX,XX,XXX,XX,XX,Lalmonirhat Zila Total,1256099,1080512,174558,622,5,402,11111
77,XX,XX,XXX,XX,XX,Panchagarh Zila Total,987644,820629,163404,2513,21,1077,11111
85,XX,XX,XXX,XX,XX,Rangpur Zila Total,2881086,2604263,258684,6594,1863,9682,11111
49,XX,XX,XXX,XX,XX,Kurigram Zila Total,2069273,1932779,135484,103,48,859,11111
32,XX,XX,XXX,XX,XX,Gaibandha Zila Total,2379255,2205539,167897,2920,50,2849,11111
73,XX,XX,XXX,XX,XX,Nilphamari Zila Total,1834231,1538916,293385,1108,53,769,11111
94,XX,XX,XXX,XX,XX,Thakurgaon Zila Total,1390042,1066176,309423,7897,263,6283,11111
27,XX,XX,XXX,XX,XX,Dinajpur Zila Total,2990128,2333253,583313,37488,473,35601,11111
10,XX,XX,XXX,XX,XX,Bogra Zila Total,3400874,3192728,205333,863,115,1835,11111
88,XX,XX,XXX,XX,XX,Sirajganj Zila Total,3097489,2948505,147514,380,24,1066,11111
81,XX,XX,XXX,XX,XX,Rajshahi Zila Total,2595197,2430194,122394,27830,134,14645,11111
64,XX,XX,XXX,XX,XX,Naogaon Zila Total,2600157,2250427,287919,18590,102,43119,11111
76,XX,XX,XXX,XX,XX,Pabna Zila Total,2523179,2445702,73487,3074,43,873,11111
70,XX,XX,XXX,XX,XX,Chapai Nawabganj Zila Total,1647521,1571151,66602,5725,7,4036,11111
69,XX,XX,XXX,XX,XX,Natore Zila Total,1706673,1590919,103747,8054,7,3946,11111
38,XX,XX,XXX,XX,XX,Joypurhat Zila Total,913768,819235,80696,4822,127,8888,11111
13,XX,XX,XXX,XX,XX,Chandpur Zila Total,2416018,2269246,145551,423,110,688,11111
3,XX,XX,XXX,XX,XX,Bandarban Zila Total,388335,197087,13137,39333,123052,15726,11111
19,XX,XX,XXX,XX,XX,Comilla Zila Total,5387288,5123410,258105,444,4934,395,11111
12,XX,XX,XXX,XX,XX,Brahmanbaria Zila Total,2840498,2627810,211899,389,118,282,11111
51,XX,XX,XXX,XX,XX,Lakshmipur Zila Total,1729188,1669495,59417,106,120,50,11111
46,XX,XX,XXX,XX,XX,Khagrachhari Zila Total,613917,274258,103195,4070,231309,1085,11111
22,XX,XX,XXX,XX,XX,Cox's Bazar Zila Total,2289990,2151958,97648,1503,37822,1059,11111
15,XX,XX,XXX,XX,XX,Chittagong Zila Total,7616352,6618657,861494,7484,121169,7548,11111
84,XX,XX,XXX,XX,XX,Rangamati Zila Total,595979,209465,30244,8663,347038,569,11111
30,XX,XX,XXX,XX,XX,Feni Zila Total,1437371,1352866,83773,182,408,142,11111
75,XX,XX,XXX,XX,XX,Noakhali Zila Total,3108083,2965950,140541,934,558,100,11111
29,XX,XX,XXX,XX,XX,Faridpur Zila Total,1912969,1731133,180366,930,51,489,11111
72,XX,XX,XXX,XX,XX,Netrakona Zila Total,2229642,2001732,207430,18200,54,2226,11111
39,XX,XX,XXX,XX,XX,Jamalpur Zila Total,2292674,2252181,38832,985,15,661,11111
59,XX,XX,XXX,XX,XX,Munshiganj Zila Total,1445660,1328838,114655,2039,71,57,11111
35,XX,XX,XXX,XX,XX,Gopalganj Zila Total,1172415,805115,353794,12951,80,475,11111
82,XX,XX,XXX,XX,XX,Rajbari Zila Total,1049778,942527,106974,189,4,84,11111
61,XX,XX,XXX,XX,XX,Mymensingh Zila Total,5110272,4895267,183026,28446,116,3417,11111
67,XX,XX,XXX,XX,XX,Narayanganj Zila Total,2948217,2802567,144105,963,378,204,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,3403912,3200383,176582,23843,701,2403,11111
56,XX,XX,XXX,XX,XX,Manikganj Zila Total,1392867,1262215,130095,447,4,106,11111
26,XX,XX,XXX,XX,XX,Dhaka Zila Total,12043977,11400096,566368,62064,13267,2182,11111
86,XX,XX,XXX,XX,XX,Shariatpur Zila Total,1155824,1114301,41330,114,23,56,11111
54,XX,XX,XXX,XX,XX,Madaripur Zila Total,1165952,1023702,141097,1091,36,26,11111
93,XX,XX,XXX,XX,XX,Tangail Zila Total,3605083,3342596,246237,14125,100,2025,11111
48,XX,XX,XXX,XX,XX,Kishoreganj Zila Total,2911907,2752007,158538,269,19,1074,11111
89,XX,XX,XXX,XX,XX,Sherpur Zila Total,1358325,1313519,34944,8686,34,1142,11111
68,XX,XX,XXX,XX,XX,Narsingdi Zila Total,2224944,2098829,125769,151,65,130,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,3403912,3200383,176582,23843,701,2403,11111
90,XX,XX,XXX,XX,XX,Sunamganj Zila Total,2467968,2144535,319376,2845,71,1141,11111
36,XX,XX,XXX,XX,XX,Habiganj Zila Total,2089001,1731168,352407,2354,253,2819,11111
91,XX,XX,XXX,XX,XX,Sylhet Zila Total,3434188,3180766,248154,2447,647,2174,11111
58,XX,XX,XXX,XX,XX,Maulvibazar Zila Total,1919062,1425786,471974,15350,225,5727,11111
