ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
47.0,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,952612,37.5,61.6,0.7,0.2,929346,23.2,66.8,8.7,1.3,00111
47.0,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,70169,34.7,64.1,1.0,0.2,69157,20.2,68.7,9.8,1.3,00111
47.0,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,6468,35.3,63.9,0.6,0.1,6313,19.5,68.9,10.1,1.5,00111
47.0,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,6624,34.9,64.2,0.5,0.3,6645,20.8,70.7,7.5,1.0,00111
47.0,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,8278,32.5,65.9,1.4,0.1,8400,18.3,67.6,12.8,1.3,00111
47.0,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,6315,33.3,65.5,1.1,0.2,6352,19.3,69.6,9.9,1.3,00111
47.0,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,7519,30.9,66.9,2.1,0.1,7802,18.3,67.1,12.9,1.7,00111
47.0,12.0,71.0,XXX,XX,XX,  Jalma Union Total,24748,38.3,60.7,0.8,0.2,22910,23.0,68.4,7.6,1.0,00111
47.0,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,10217,30.9,67.7,1.0,0.3,10735,17.8,69.5,11.1,1.6,00111
47.0,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,63107,35.1,63.7,1.1,0.1,63117,21.7,65.4,11.1,1.9,00111
1.9,47.0,17.0,XXX,XX,XX,Chalna Paurashava,5983,37.4,61.5,0.9,0.2,5958,24.6,63.3,10.1,1.9,00111
47.0,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,423,34.5,64.1,1.4,0.0,409,20.3,65.0,13.2,1.5,00111
47.0,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,539,31.9,67.5,0.6,0.0,578,18.5,71.5,8.5,1.6,00111
47.0,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,659,44.8,53.6,1.4,0.3,746,33.8,54.6,9.9,1.7,00111
47.0,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,483,39.1,60.9,0.0,0.0,483,24.4,61.5,10.1,3.9,00111
47.0,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,583,32.9,64.8,2.1,0.2,605,23.5,63.5,11.7,1.3,00111
47.0,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,479,34.7,64.3,0.4,0.6,407,22.6,66.6,8.4,2.5,00111
47.0,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,824,39.0,60.2,0.8,0.0,787,22.5,65.9,11.2,0.4,00111
47.0,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,1157,38.6,60.6,0.5,0.3,1129,28.5,60.2,9.2,2.0,00111
47.0,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,836,36.7,61.8,1.3,0.1,814,21.0,66.0,10.0,3.1,00111
47.0,17.0,10.0,XXX,XX,XX,  Bajua Union Total,6572,34.7,63.6,1.6,0.2,6541,20.3,66.8,11.8,1.1,00111
47.0,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,5976,35.6,63.4,1.0,0.1,6072,23.3,62.8,11.0,2.8,00111
47.0,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,3806,37.4,62.0,0.5,0.1,3887,24.3,64.9,10.0,0.8,00111
47.0,17.0,42.0,XXX,XX,XX,  Dacope Union Total,3001,34.5,64.4,1.1,0.0,3065,20.3,65.1,13.4,1.2,00111
47.0,17.0,52.0,XXX,XX,XX,  Kailasganj Union Total,6109,34.9,63.4,1.5,0.2,6221,20.6,65.6,12.8,1.0,00111
47.0,17.0,63.0,XXX,XX,XX,  Kamarkhola Union Total,5819,34.0,65.2,0.7,0.1,5652,20.7,67.1,10.1,2.2,00111
47.0,17.0,69.0,XXX,XX,XX,  Pankhali Union Total,6238,32.8,66.0,1.0,0.2,6474,19.0,67.8,11.0,2.2,00111
47.0,17.0,73.0,XXX,XX,XX,  Sutarkhali Union Total,12298,37.9,61.0,1.0,0.1,12003,23.9,63.5,10.1,2.5,00111
47.0,17.0,84.0,XXX,XX,XX,  Tildanga Union Total,6860,31.7,66.9,1.3,0.1,7239,19.0,67.6,11.7,1.6,00111
47.0,17.0,97.0,XXX,XX,XX,  Khulna Range Union Total,445,8.1,91.9,0.0,0.0,5,20.0,80.0,0.0,0.0,00111
47.0,21.0,XX.0,XXX,XX,XX,Daulatpur Thana Total,48559,43.2,56.0,0.7,0.1,44995,27.3,64.4,7.5,0.8,00111
47.0,21.0,1.0,XXX,XX,XX,  Ward No-01 Total,7733,40.5,58.5,0.9,0.2,7767,26.2,65.0,8.2,0.5,00111
47.0,21.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,3508,37.6,61.6,0.7,0.1,3223,25.7,67.6,6.3,0.4,00111
47.0,21.0,3.0,XXX,XX,XX,  Ward No-03 Total,9050,37.2,61.7,1.0,0.1,8812,25.4,65.2,8.5,1.0,00111
47.0,21.0,4.0,XXX,XX,XX,  Ward No-04 Total,6992,45.7,53.6,0.6,0.1,6106,24.9,66.1,7.9,1.1,00111
47.0,21.0,5.0,XXX,XX,XX,  Ward No-05 Total,6941,50.3,48.8,0.6,0.3,5818,31.0,60.3,7.6,1.2,00111
47.0,21.0,6.0,XXX,XX,XX,  Ward No-06 Total,9315,49.5,50.2,0.3,0.0,8371,33.1,60.4,5.9,0.5,00111
47.0,21.0,10.0,XXX,XX,XX,  Aranghata Union Total,5020,37.7,61.7,0.5,0.1,4898,22.5,69.6,7.1,0.7,00111
47.0,30.0,XX.0,XXX,XX,XX,Dumuria Upazila Total,123438,33.3,65.7,0.8,0.1,124114,19.0,69.1,10.4,1.5,00111
47.0,30.0,11.0,XXX,XX,XX,  Atlia Union Total,13343,33.4,65.9,0.6,0.1,12744,19.4,71.2,8.3,1.1,00111
47.0,30.0,13.0,XXX,XX,XX,  Bhandar Para Union Total,6877,30.8,67.7,1.4,0.2,6924,17.5,69.7,10.8,2.0,00111
47.0,30.0,20.0,XXX,XX,XX,  Dhamalia Union Total,8674,33.5,65.0,1.2,0.3,9070,19.3,67.7,11.2,1.9,00111
47.0,30.0,27.0,XXX,XX,XX,Dumuria Union Total,11687,35.6,63.9,0.4,0.1,11673,20.4,68.6,9.5,1.5,00111
47.0,30.0,33.0,XXX,XX,XX,  Gutudia Union Total,10800,33.6,65.4,0.8,0.1,10442,19.0,69.1,10.7,1.2,00111
47.0,30.0,40.0,XXX,XX,XX,  Kharnia Union Total,8188,33.0,66.2,0.6,0.1,8266,19.1,70.3,9.2,1.4,00111
47.0,30.0,47.0,XXX,XX,XX,  Magurkhali Union Total,5783,30.5,67.9,1.5,0.1,5875,17.1,69.4,11.8,1.7,00111
47.0,30.0,54.0,XXX,XX,XX,  Maguraghona Union Total,9134,34.1,64.9,0.8,0.1,9149,19.4,70.5,8.9,1.3,00111
47.0,30.0,61.0,XXX,XX,XX,  Raghunathpur Union Total,10433,33.7,65.5,0.7,0.1,10699,19.2,68.0,11.3,1.4,00111
47.0,30.0,67.0,XXX,XX,XX,  Rangpur Union Total,7637,33.6,64.9,1.2,0.3,7583,18.3,67.2,12.6,1.9,00111
47.0,30.0,74.0,XXX,XX,XX,  Rudaghara Union Total,9164,34.4,64.8,0.7,0.1,9436,19.8,67.3,10.9,2.0,00111
47.0,30.0,81.0,XXX,XX,XX,  Sahas Union Total,7353,33.3,65.5,1.0,0.2,7487,18.8,68.6,10.6,2.0,00111
47.0,30.0,88.0,XXX,XX,XX,  Sarappur Union Total,6338,31.5,67.6,0.7,0.2,6582,17.7,69.2,11.9,1.2,00111
47.0,30.0,94.0,XXX,XX,XX,  Sovna Union Total,8027,32.5,66.6,0.8,0.1,8184,18.2,70.7,10.2,0.9,00111
