ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
50.0,XX.0,XX.0,XXX,XX,02, Kushtia Zila,187050,1.4,0.2,0.3,0.1,0.6,0.2,0.1,00110
50.0,15.0,XX.0,XXX,XX,02,  Bheramara Upazila,22124,1.0,0.1,0.1,0.1,0.4,0.2,0.1,00110
50.0,63.0,XX.0,XXX,XX,02,  Khoksa Upazila,17607,1.5,0.2,0.3,0.1,0.6,0.2,0.1,00110
50.0,71.0,XX.0,XXX,XX,02,  Kumarkhali Upazila,21914,1.5,0.2,0.1,0.1,0.8,0.2,0.0,00110
50.0,79.0,XX.0,XXX,XX,02,  Kushtia Sadar Upazila,102988,1.5,0.2,0.4,0.1,0.5,0.2,0.1,00110
50.0,94.0,XX.0,XXX,XX,02,  Mirpur Upazila,22417,1.2,0.1,0.1,0.1,0.5,0.2,0.1,00110
57.0,XX.0,XX.0,XXX,XX,02, Meherpur Zila,68633,1.5,0.2,0.2,0.1,0.7,0.2,0.1,00110
57.0,47.0,XX.0,XXX,XX,02,  Gangni Upazila,25500,1.5,0.1,0.3,0.1,0.7,0.2,0.1,00110
57.0,87.0,XX.0,XXX,XX,02,  Meherpur Sadar Upazila,43133,1.4,0.2,0.2,0.1,0.7,0.3,0.0,00110
87.0,XX.0,XX.0,XXX,XX,02, Satkhira Zila,140572,1.3,0.2,0.2,0.1,0.6,0.2,0.0,00110
87.0,43.0,XX.0,XXX,XX,02,  Kalaroa Upazila,27250,2.0,0.2,0.5,0.1,1.0,0.2,0.1,00110
87.0,82.0,XX.0,XXX,XX,02,  Satkhira Sadar Upazila,113322,1.2,0.1,0.1,0.1,0.5,0.2,0.0,00110
42.0,XX.0,XX.0,XXX,XX,02, Jhalokati Zila,84834,1.2,0.2,0.2,0.1,0.5,0.1,0.1,00110
42.0,40.0,XX.0,XXX,XX,02,  Jhalokati Sadar Upazila,54029,1.1,0.1,0.1,0.1,0.4,0.1,0.2,00110
42.0,73.0,XX.0,XXX,XX,02,  Nalchity Upazila,30805,1.4,0.2,0.2,0.1,0.6,0.1,0.1,00110
78.0,XX.0,XX.0,XXX,XX,02, Patuakhali Zila,124144,1.2,0.2,0.2,0.1,0.5,0.2,0.1,00110
78.0,38.0,XX.0,XXX,XX,02,  Bauphal Upazila,11435,1.4,0.1,0.2,0.1,0.6,0.2,0.2,00110
