ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,General Households,Percentage of Households comprising-1 person,Percentage of Households comprising-2 persons,Percentage of Households comprising-3 persons,Percentage of Households comprising-4 persons,Percentage of Households comprising-5 persons,Percentage of Households comprising-6 persons,Percentage of Households comprising-7 persons,Percentage of Households comprising-8+ persons,Average size of Household,check_var
47,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,540504,3.4,11.0,22.1,27.2,17.9,9.4,4.4,4.6,4.2,00111
47,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,40659,3.1,11.1,23.0,27.1,17.8,9.5,4.2,4.2,4.2,00111
47,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,3879,2.7,10.5,22.8,27.8,18.8,9.7,4.2,3.7,4.2,00111
47,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,4025,2.7,11.0,21.7,27.5,19.2,10.4,3.8,3.7,4.2,00111
47,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,4702,3.3,11.3,24.8,27.2,16.0,8.8,4.1,4.6,4.1,00111
47,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,3964,3.0,12.1,24.2,27.7,18.4,8.8,3.6,2.2,4.0,00111
47,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,4647,3.7,13.8,26.1,26.1,16.6,8.1,2.7,2.8,3.9,00111
47,12.0,71.0,XXX,XX,XX,  Jalma Union Total,13152,3.1,9.9,21.7,26.6,18.0,10.1,5.1,5.6,4.3,00111
47,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,6290,2.9,11.5,22.6,27.7,17.7,9.8,4.3,3.7,4.1,00111
47,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,36369,3.0,11.4,22.6,28.1,18.2,8.9,4.0,3.8,4.1,00111
WA,47.0,17.0,XXX,XX,XX,Chalna Paurashava,3374,4.8,12.2,24.8,27.6,16.0,7.1,3.8,3.7,4.0,00111
47,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,225,3.6,6.2,21.8,26.2,20.0,14.2,4.4,3.6,4.3,00111
47,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,326,2.8,10.4,27.3,27.0,16.9,7.1,4.0,4.6,4.1,00111
47,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,352,4.8,12.5,25.6,25.0,18.8,6.8,4.0,2.6,3.9,00111
47,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,281,3.9,8.9,26.3,26.0,17.4,8.2,6.0,3.2,4.1,00111
47,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,346,1.7,14.7,26.6,26.6,15.6,5.2,4.0,5.5,4.0,00111
47,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,274,10.6,14.2,24.5,28.1,12.4,4.4,1.8,4.0,3.6,00111
47,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,444,2.7,13.1,21.2,30.6,15.1,8.6,4.3,4.5,4.1,00111
47,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,637,8.5,13.7,25.1,26.2,14.9,6.6,2.7,2.4,3.7,00111
47,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,489,3.3,11.9,25.2,30.9,15.5,5.5,3.9,3.9,4.0,00111
47,17.0,10.0,XXX,XX,XX,  Bajua Union Total,3556,3.5,10.2,20.8,25.9,18.3,10.2,4.7,6.5,4.4,00111
47,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,3371,3.5,9.8,19.0,27.4,20.6,10.2,4.4,5.2,4.3,00111
47,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,2035,2.1,8.9,20.1,27.5,18.1,11.0,5.5,6.9,4.5,00111
47,17.0,42.0,XXX,XX,XX,  Dacope Union Total,1816,4.7,13.2,24.7,27.6,16.8,7.3,3.3,2.4,3.9,00111
47,17.0,52.0,XXX,XX,XX,  Kailasganj Union Total,3435,3.0,10.7,21.3,28.1,19.2,8.6,4.9,4.2,4.2,00111
47,17.0,63.0,XXX,XX,XX,  Kamarkhola Union Total,3540,2.1,13.4,25.3,29.4,18.3,7.9,2.2,1.3,3.9,00111
47,17.0,69.0,XXX,XX,XX,  Pankhali Union Total,3729,2.8,11.7,23.1,27.2,16.6,9.9,4.6,4.2,4.2,00111
47,17.0,73.0,XXX,XX,XX,  Sutarkhali Union Total,7439,2.0,11.4,23.0,30.1,19.7,8.9,3.2,1.7,4.0,00111
47,17.0,84.0,XXX,XX,XX,  Tildanga Union Total,4074,3.4,12.0,23.4,27.5,16.4,8.2,4.4,4.7,4.1,00111
47,17.0,97.0,XXX,XX,XX,  Khulna Range Union Total,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00111
47,21.0,XX.0,XXX,XX,XX,Daulatpur Thana Total,25839,3.8,11.7,23.2,27.0,16.9,8.7,4.1,4.7,4.1,00111
47,21.0,1.0,XXX,XX,XX,  Ward No-01 Total,4471,3.5,11.4,23.1,26.2,18.5,8.6,4.4,4.3,4.2,00111
47,21.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,2225,7.1,18.2,25.5,24.4,14.4,6.3,2.5,1.7,3.6,00111
47,21.0,3.0,XXX,XX,XX,  Ward No-03 Total,4977,3.3,10.3,22.0,27.3,17.0,9.6,4.6,6.0,4.3,00111
47,21.0,4.0,XXX,XX,XX,  Ward No-04 Total,3668,2.7,10.5,23.3,29.3,16.9,9.2,4.3,3.8,4.1,00111
47,21.0,5.0,XXX,XX,XX,  Ward No-05 Total,3325,5.1,13.4,24.4,27.2,15.3,7.8,3.2,3.5,3.9,00111
47,21.0,6.0,XXX,XX,XX,  Ward No-06 Total,4274,3.4,10.3,22.0,27.5,16.6,9.4,4.2,6.6,4.3,00111
47,21.0,10.0,XXX,XX,XX,  Aranghata Union Total,2899,3.0,11.4,24.1,25.9,18.1,8.1,4.4,4.9,4.2,00111
47,30.0,XX.0,XXX,XX,XX,Dumuria Upazila Total,71682,3.0,10.1,21.6,28.0,19.1,9.5,4.1,4.7,4.2,00111
47,30.0,11.0,XXX,XX,XX,  Atlia Union Total,7571,2.4,9.9,22.2,28.6,19.2,9.4,4.2,4.1,4.2,00111
47,30.0,13.0,XXX,XX,XX,  Bhandar Para Union Total,4072,2.8,11.0,24.9,27.8,18.0,8.6,2.7,4.2,4.1,00111
47,30.0,20.0,XXX,XX,XX,  Dhamalia Union Total,5169,2.8,10.0,19.8,28.4,19.8,10.1,4.1,5.0,4.3,00111
47,30.0,27.0,XXX,XX,XX,Dumuria Union Total,6597,3.2,9.3,20.4,27.8,19.0,9.8,4.9,5.6,4.3,00111
47,30.0,33.0,XXX,XX,XX,  Gutudia Union Total,5952,2.5,8.7,20.6,29.0,18.0,10.4,5.3,5.4,4.4,00111
47,30.0,40.0,XXX,XX,XX,  Kharnia Union Total,4934,3.4,11.2,23.2,27.5,17.6,9.3,3.5,4.3,4.1,00111
47,30.0,47.0,XXX,XX,XX,  Magurkhali Union Total,3201,2.7,10.5,21.3,27.2,18.4,10.0,4.0,6.0,4.3,00111
47,30.0,54.0,XXX,XX,XX,  Maguraghona Union Total,5362,2.2,10.3,20.0,27.7,20.6,10.5,4.3,4.5,4.3,00111
47,30.0,61.0,XXX,XX,XX,  Raghunathpur Union Total,5925,3.7,9.3,20.1,27.0,19.9,9.6,4.7,5.7,4.3,00111
47,30.0,67.0,XXX,XX,XX,  Rangpur Union Total,4101,3.3,8.1,20.4,27.1,20.3,10.2,5.0,5.6,4.4,00111
47,30.0,74.0,XXX,XX,XX,  Rudaghara Union Total,5383,3.0,9.9,20.3,28.2,20.5,9.5,4.0,4.7,4.3,00111
47,30.0,81.0,XXX,XX,XX,  Sahas Union Total,4496,3.0,10.8,21.8,29.0,18.9,8.9,4.0,3.6,4.1,00111
47,30.0,88.0,XXX,XX,XX,  Sarappur Union Total,4118,4.3,12.7,23.5,28.9,18.1,7.7,2.3,2.5,3.9,00111
47,30.0,94.0,XXX,XX,XX,  Sovna Union Total,4801,2.8,10.8,24.9,28.1,17.8,8.2,3.7,3.7,4.1,00111
47,40.0,XX.0,XXX,XX,XX,Dighalia Upazila Total,26601,4.2,10.5,19.2,25.5,18.6,11.0,5.5,5.4,4.3,00111
47,40.0,17.0,XXX,XX,XX,  Barakpur Union Total,4804,2.2,7.7,15.9,24.1,20.6,13.5,7.8,8.3,4.8,00111
47,40.0,57.0,XXX,XX,XX,  Dighalia Union Total,6613,3.0,9.0,18.5,27.4,18.9,11.6,5.5,5.9,4.4,00111
47,40.0,66.0,XXX,XX,XX,  Gazir Hat Union Total,4369,2.1,9.8,19.3,25.4,20.5,12.1,5.6,5.2,4.4,00111
47,40.0,85.0,XXX,XX,XX,  Senhati Union Total,10815,6.7,12.8,21.1,25.1,16.8,9.1,4.4,3.9,4.0,00111
47,45.0,XX.0,XXX,XX,XX,Khalishpur Thana Total,37557,4.7,12.3,22.8,26.6,16.5,8.5,4.0,4.5,4.1,00111
47,45.0,7.0,XXX,XX,XX,  Ward No-07 Total,2496,6.2,13.4,22.4,23.7,16.3,8.6,3.9,5.5,4.1,00111
47,45.0,8.0,XXX,XX,XX,  Ward No-08 Total,1973,6.6,11.3,18.1,25.0,19.5,10.5,4.5,4.4,4.1,00111
47,45.0,9.0,XXX,XX,XX,  Ward No-09 Total,7310,4.6,11.8,22.9,27.6,16.3,8.3,3.9,4.6,4.1,00111
47,45.0,10.0,XXX,XX,XX,  Ward No-10 Total,6533,4.5,12.1,21.9,26.2,17.2,9.0,4.4,4.8,4.1,00111
47,45.0,11.0,XXX,XX,XX,  Ward No-11 Total,2590,4.4,11.6,21.3,27.5,19.7,8.4,3.6,3.5,4.1,00111
47,45.0,12.0,XXX,XX,XX,  Ward No-12 Total,5091,3.4,13.4,23.8,26.2,15.6,8.8,4.2,4.5,4.1,00111
47,45.0,13.0,XXX,XX,XX,  Ward No-13 Total,2274,8.1,12.7,23.0,27.0,15.0,7.3,3.7,3.2,3.8,00111
47,45.0,14.0,XXX,XX,XX,  Ward No-14 Total,5622,3.6,11.3,23.4,27.0,16.3,8.7,4.3,5.4,4.2,00111
47,45.0,15.0,XXX,XX,XX, Ward No-15 Total,3668,5.3,13.5,25.6,27.6,14.6,7.0,3.2,3.1,3.9,00111
47,48.0,XX.0,XXX,XX,XX,Khan Jahan Ali Thana Total,18293,4.2,10.8,22.0,28.3,17.7,8.8,4.1,4.1,4.1,00111
47,48.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,927,7.2,14.9,24.2,25.0,15.0,8.6,2.7,2.4,3.8,00111
47,48.0,19.0,XXX,XX,XX,  Atra Gilatala Union Total,11273,4.1,9.9,22.0,28.5,17.9,9.0,4.3,4.3,4.2,00111
47,48.0,75.0,XXX,XX,XX,  Jugipole Union Total,5932,4.1,11.8,21.6,28.1,18.0,8.6,3.8,4.0,4.1,00111
47,48.0,98.0,XXX,XX,XX,  Gilatala Cantt. Total,161,1.2,6.2,26.7,39.1,16.1,3.1,3.7,3.7,4.1,00111
47,51.0,XX.0,XXX,XX,XX,Khulna Sadar Thana Total,52334,4.1,11.8,24.1,27.1,16.0,8.5,3.9,4.5,4.1,00111
47,51.0,21.0,XXX,XX,XX,  Ward No-21 Total,4116,5.1,11.0,22.6,24.2,17.3,9.8,4.6,5.5,4.2,00111
47,51.0,22.0,XXX,XX,XX,  Ward No-22 Total,3855,3.8,9.8,21.2,27.2,17.7,9.6,4.8,5.9,4.3,00111
47,51.0,23.0,XXX,XX,XX,  Ward No-23 Total,3118,5.2,12.2,22.7,28.0,15.0,8.1,3.6,5.2,4.1,00111
47,51.0,24.0,XXX,XX,XX,  Ward No-24 Total,9442,4.5,13.7,26.3,27.4,13.6,7.3,3.6,3.6,3.9,00111
47,51.0,27.0,XXX,XX,XX,  Ward No-27 Total,7121,3.7,12.3,24.8,28.0,15.6,8.1,3.6,3.9,4.0,00111
47,51.0,28.0,XXX,XX,XX,  Ward No-28 Total,4802,3.5,13.1,25.2,27.4,15.7,8.0,3.3,3.8,4.0,00111
47,51.0,29.0,XXX,XX,XX,  Ward No-29 Total,4089,3.6,11.5,23.9,28.2,16.7,7.8,3.6,4.5,4.1,00111
47,51.0,30.0,XXX,XX,XX,  Ward No-30 Total,7821,3.6,10.7,24.3,27.7,16.7,8.5,3.9,4.6,4.1,00111
47,51.0,31.0,XXX,XX,XX,  Ward No-31 Total,7970,4.1,10.8,23.1,25.7,17.1,9.8,4.5,4.8,4.2,00111
47,53.0,XX.0,XXX,XX,XX,Koyra Upazila Total,45648,2.6,11.6,21.3,27.1,18.1,9.8,4.8,4.8,4.2,00111
47,53.0,10.0,XXX,XX,XX,  Amadi Union Total,7434,2.3,9.3,19.3,27.6,19.1,10.8,5.6,6.1,4.4,00111
47,53.0,11.0,XXX,XX,XX,  Bagali Union Total,8863,4.2,15.4,23.1,26.2,17.0,8.5,3.4,2.2,3.9,00111
47,53.0,22.0,XXX,XX,XX,  Dakshin Bedkashi Union Total,3875,1.6,10.0,22.1,27.0,18.9,10.3,5.1,4.8,4.3,00111
47,53.0,55.0,XXX,XX,XX,Koyra Union Total,7761,3.4,11.6,21.7,25.0,17.5,10.0,5.3,5.6,4.3,00111
47,53.0,72.0,XXX,XX,XX,  Maharajpur Union Total,7148,1.7,10.6,21.2,27.5,18.1,10.1,5.2,5.5,4.3,00111
47,53.0,78.0,XXX,XX,XX,  Maheshwaripur Union Total,6904,1.5,10.1,20.1,29.4,18.8,10.2,4.8,5.1,4.3,00111
47,53.0,94.0,XXX,XX,XX,  Uttar Bedkashi Union Total,3663,2.8,12.8,22.2,27.8,17.7,8.5,3.7,4.4,4.1,00111
47,64.0,XX.0,XXX,XX,XX,Paikgachha Upazila Total,59689,3.0,11.0,22.8,28.4,17.9,9.0,4.0,3.8,4.1,00111
47,64.0,XX.0,XXX,XX,XX,  Paikgachha Paurashava,3744,3.3,9.5,24.9,28.7,17.1,7.8,4.3,4.4,4.2,00111
47,64.0,1.0,XXX,XX,XX,  Ward No-01 Total,254,1.6,12.2,16.5,30.7,19.3,10.2,5.1,4.3,4.3,00111
47,64.0,2.0,XXX,XX,XX,  Ward No-02 Total,265,3.4,8.3,24.5,33.6,18.5,7.5,1.5,2.6,4.0,00111
47,64.0,3.0,XXX,XX,XX,  Ward No-03 Total,309,4.2,8.7,25.2,30.4,13.9,6.8,4.5,6.1,4.2,00111
47,64.0,4.0,XXX,XX,XX,  Ward No-04 Total,610,3.1,8.2,24.4,26.4,21.8,7.4,4.4,4.3,4.3,00111
47,64.0,5.0,XXX,XX,XX,  Ward No-05 Total,682,1.3,10.0,28.4,29.2,16.4,6.3,4.7,3.7,4.1,00111
47,64.0,6.0,XXX,XX,XX,  Ward No-06 Total,480,3.1,9.2,26.5,30.4,16.0,7.7,4.2,2.9,4.1,00111
47,64.0,7.0,XXX,XX,XX,  Ward No-07 Total,407,2.7,9.3,26.3,26.0,14.3,8.8,5.4,7.1,4.4,00111
47,64.0,8.0,XXX,XX,XX,  Ward No-08 Total,260,8.8,15.0,24.2,23.8,15.4,8.1,2.3,2.3,3.8,00111
47,64.0,9.0,XXX,XX,XX,  Ward No-09 Total,477,4.6,7.5,22.9,29.1,16.4,9.2,4.6,5.7,4.2,00111
47,64.0,16.0,XXX,XX,XX,  Chandkhali Union Total,8939,2.6,10.8,20.9,27.7,19.5,10.1,4.7,3.6,4.2,00111
47,64.0,27.0,XXX,XX,XX,  Deluti Union Total,3799,3.3,12.8,25.8,26.1,14.9,8.9,3.5,4.6,4.1,00111
47,64.0,33.0,XXX,XX,XX,  Gadaipur Union Total,4798,3.1,11.1,23.2,29.0,18.1,8.2,3.9,3.4,4.1,00111
47,64.0,39.0,XXX,XX,XX,  Garuikhali Union Total,5606,3.3,12.8,22.8,28.0,17.1,8.8,3.4,3.7,4.0,00111
47,64.0,44.0,XXX,XX,XX,  Haridhali Union Total,5852,3.9,10.9,24.3,29.4,17.4,8.2,3.1,2.8,4.0,00111
47,64.0,50.0,XXX,XX,XX,  Kapilmuni Union Total,8219,3.2,12.0,24.0,29.6,17.3,7.9,3.1,2.9,4.0,00111
47,64.0,61.0,XXX,XX,XX,  Laskar Union Total,4577,1.8,7.9,19.4,28.9,19.0,11.8,5.6,5.7,4.5,00111
47,64.0,67.0,XXX,XX,XX,  Lata Union Total,2617,3.5,11.2,23.0,27.9,17.8,8.1,4.3,4.2,4.1,00111
47,64.0,83.0,XXX,XX,XX,  Raruli Union Total,6492,3.6,11.8,23.2,29.0,17.8,8.3,3.1,3.2,4.0,00111
47,64.0,89.0,XXX,XX,XX,  Sholadana Union Total,5046,1.7,9.0,21.2,27.3,19.7,10.5,5.2,5.5,4.4,00111
47,69.0,XX.0,XXX,XX,XX,Phultala Upazila Total,19528,3.3,9.5,21.3,28.1,18.9,10.0,4.1,4.8,4.3,00111
47,69.0,38.0,XXX,XX,XX,Damodar Union Total,8484,3.9,9.5,21.2,27.7,18.2,9.8,4.2,5.4,4.3,00111
47,69.0,57.0,XXX,XX,XX,  Jamira Union Total,4415,2.1,8.8,19.8,29.2,20.1,11.1,4.6,4.3,4.3,00111
47,69.0,76.0,XXX,XX,XX,Phultala Union Total,6629,3.3,9.9,22.3,28.0,19.1,9.3,3.8,4.4,4.2,00111
47,75.0,XX.0,XXX,XX,XX,Rupsa Upazila Total,41763,3.3,10.7,21.5,26.4,18.1,9.7,4.9,5.4,4.3,00111
47,75.0,13.0,XXX,XX,XX,  Aijganti Union Total,10345,2.8,9.6,22.0,27.8,18.4,9.6,5.2,4.8,4.3,00111
47,75.0,27.0,XXX,XX,XX,  Ghatbhogh Union Total,7183,2.8,7.9,17.4,24.6,19.7,12.2,7.0,8.4,4.7,00111
47,75.0,54.0,XXX,XX,XX,  Naihati Union Total,14380,4.7,13.4,23.3,25.6,16.4,8.5,3.7,4.5,4.0,00111
47,75.0,67.0,XXX,XX,XX,  Sreefaltala Union Total,5793,1.8,10.6,21.2,26.7,19.1,10.1,5.1,5.2,4.3,00111
47,75.0,81.0,XXX,XX,XX,  T. S. Bahirdia Union Total,4062,3.0,9.3,21.1,28.8,18.8,9.6,4.3,5.1,4.3,00111
47,85.0,XX.0,XXX,XX,XX,Sonadanga Thana Total,38293,3.4,10.9,22.7,27.4,17.0,8.9,4.3,5.4,4.2,00111
47,85.0,16.0,XXX,XX,XX,  Ward No-16 Total,6681,4.3,11.1,23.1,27.5,16.5,8.3,4.0,5.1,4.1,00111
47,85.0,17.0,XXX,XX,XX,  Ward No-17 Total,7608,3.9,11.2,23.0,27.1,16.7,9.2,4.2,4.7,4.2,00111
47,85.0,18.0,XXX,XX,XX,  Ward No-18 Total,6000,2.5,9.7,21.9,27.2,17.6,9.3,5.0,6.8,4.4,00111
47,85.0,19.0,XXX,XX,XX,  Ward No-19 Total,4291,2.4,10.6,21.1,28.4,18.6,9.4,4.5,5.1,4.3,00111
47,85.0,20.0,XXX,XX,XX,  Ward No-20 Total,3648,3.9,8.7,20.4,28.2,16.9,9.7,4.8,7.4,4.4,00111
47,85.0,25.0,XXX,XX,XX,  Ward No-25 Total,4983,3.1,11.5,23.9,27.9,16.0,7.9,4.0,5.6,4.2,00111
47,85.0,26.0,XXX,XX,XX,  Ward No-26 Total,5082,3.7,12.6,24.9,26.2,16.7,8.3,3.7,3.9,4.0,00111
47,94.0,XX.0,XXX,XX,XX,Terokhada Upazila Total,26249,3.1,10.6,18.1,24.2,19.8,12.3,6.4,5.4,4.4,00111
47,94.0,13.0,XXX,XX,XX,  Ajugara Union Total,3407,3.0,10.8,19.5,26.2,18.2,12.6,5.3,4.4,4.3,00111
47,94.0,27.0,XXX,XX,XX,Barasat Union Total,4847,2.3,9.0,17.3,24.8,20.6,13.1,7.0,6.0,4.6,00111
47,94.0,40.0,XXX,XX,XX,  Madhupur Union Total,4116,2.2,7.8,16.7,21.8,20.0,13.9,8.9,8.6,4.8,00111
47,94.0,54.0,XXX,XX,XX,  Sachiadah Union Total,3991,2.5,9.5,18.7,26.5,20.7,11.5,5.7,5.0,4.4,00111
47,94.0,67.0,XXX,XX,XX,  Sagladah Union Total,4486,3.4,9.7,16.9,23.1,21.2,13.6,6.8,5.5,4.5,00111
47,94.0,81.0,XXX,XX,XX,Terokhada Union Total,5402,4.9,15.7,19.8,23.5,18.2,9.7,4.9,3.4,4.0,00111
18,XX.0,XX.0,XXX,XX,XX,Chuadanga Zila Total,276910,2.8,11.6,23.5,29.6,17.8,8.1,3.5,3.2,4.1,00111
18,7.0,XX.0,XXX,XX,XX,Alamdanga Upazila Total,86167,2.8,12.2,24.2,30.0,17.1,7.6,3.2,3.0,4.0,00111
18,7.0,XX.0,XXX,XX,XX,  Alamdanga Paurashava,8008,4.1,13.3,25.4,28.4,14.8,7.8,3.0,3.1,3.9,00111
18,7.0,1.0,XXX,XX,XX,  Ward No-01 Total,990,5.7,14.7,26.6,27.2,13.1,7.6,1.9,3.2,3.8,00111
18,7.0,2.0,XXX,XX,XX,  Ward No-02 Total,1021,2.9,13.4,28.6,29.0,14.6,6.2,2.1,3.2,3.9,00111
18,7.0,3.0,XXX,XX,XX,  Ward No-03 Total,735,5.7,13.5,24.8,26.1,13.1,6.7,4.8,5.4,4.0,00111
18,7.0,4.0,XXX,XX,XX,  Ward No-04 Total,1079,4.8,12.3,26.0,29.9,13.1,6.7,3.3,3.8,3.9,00111
18,7.0,5.0,XXX,XX,XX,  Ward No-05 Total,987,3.3,12.7,21.5,28.7,16.0,10.3,4.4,3.1,4.1,00111
18,7.0,6.0,XXX,XX,XX,  Ward No-06 Total,1027,3.5,13.2,25.9,27.9,17.1,7.1,3.2,1.9,3.9,00111
18,7.0,7.0,XXX,XX,XX,  Ward No-07 Total,810,4.6,13.8,26.3,27.0,14.6,8.6,2.6,2.5,3.8,00111
18,7.0,8.0,XXX,XX,XX,  Ward No-08 Total,662,4.1,14.7,23.7,28.9,16.3,8.6,2.0,1.8,3.8,00111
18,7.0,9.0,XXX,XX,XX,  Ward No-09 Total,697,2.3,11.8,24.2,31.3,15.8,9.0,3.0,2.6,4.0,00111
18,7.0,13.0,XXX,XX,XX,  Belgachhi Union Total,3781,3.4,14.3,26.4,28.9,15.9,6.5,2.6,2.0,3.8,00111
18,7.0,15.0,XXX,XX,XX,Baradi Union Total,4821,2.8,11.4,22.7,30.9,17.8,8.2,3.0,3.2,4.1,00111
18,7.0,23.0,XXX,XX,XX,Bhangabaria Union Total,7022,3.1,13.0,25.4,29.8,16.0,6.6,2.8,3.4,3.9,00111
18,7.0,27.0,XXX,XX,XX,Chithla Union Total,5706,2.4,12.1,25.8,30.0,17.2,7.0,3.0,2.4,3.9,00111
18,7.0,31.0,XXX,XX,XX,  Dauki Union Total,4917,4.1,13.9,25.0,30.2,15.3,6.9,2.7,1.8,3.8,00111
18,7.0,39.0,XXX,XX,XX,  Gangni Union Total,5775,1.7,10.5,24.0,30.1,18.1,7.9,3.9,3.7,4.1,00111
18,7.0,47.0,XXX,XX,XX,Hardi Union Total,7327,3.6,12.0,23.2,29.6,17.4,7.7,3.1,3.4,4.0,00111
18,7.0,51.0,XXX,XX,XX,  Kalidashpur Union Total,5909,3.0,13.2,24.3,30.1,16.4,7.2,3.1,2.7,3.9,00111
18,7.0,55.0,XXX,XX,XX,Jamjami Union Total,4636,1.7,11.8,24.9,31.9,17.6,6.9,2.8,2.4,4.0,00111
18,7.0,63.0,XXX,XX,XX,Jehala Union Total,5346,1.8,11.3,22.8,29.7,18.0,8.4,4.2,3.8,4.2,00111
18,7.0,71.0,XXX,XX,XX,  Khadimpur Union Total,4575,1.3,8.8,21.6,30.5,19.3,9.6,4.4,4.6,4.3,00111
18,7.0,79.0,XXX,XX,XX,Khaskara Union Total,5695,2.5,12.4,22.6,30.2,18.8,8.0,3.1,2.4,4.0,00111
18,7.0,87.0,XXX,XX,XX,Kumari Union Total,4589,2.8,11.3,25.1,29.5,18.4,7.6,3.2,2.2,4.0,00111
18,7.0,94.0,XXX,XX,XX,  Nagdaha Union Total,8060,2.5,12.3,24.3,30.3,16.9,7.8,3.2,2.8,4.0,00111
18,23.0,XX.0,XXX,XX,XX,Chuadanga Sadar Upazila Total,76902,3.1,11.6,23.5,29.7,17.6,8.0,3.5,3.1,4.0,00111
18,23.0,XX.0,XXX,XX,XX,  Chuadanga Paurashava,20311,3.0,11.1,22.8,29.6,17.5,8.4,3.8,3.7,4.1,00111
18,23.0,1.0,XXX,XX,XX,  Ward No-01 Total,2371,2.2,10.1,22.2,28.8,19.3,8.9,3.9,4.6,4.2,00111
18,23.0,2.0,XXX,XX,XX,  Ward No-02 Total,2574,2.3,10.4,22.9,29.9,19.2,8.5,3.5,3.3,4.1,00111
18,23.0,3.0,XXX,XX,XX,  Ward No-03 Total,1901,2.9,10.8,23.7,29.9,16.9,7.6,4.2,3.8,4.1,00111
18,23.0,4.0,XXX,XX,XX,  Ward No-04 Total,1598,2.7,10.4,24.3,31.1,14.1,8.8,3.8,4.8,4.1,00111
18,23.0,5.0,XXX,XX,XX,  Ward No-05 Total,2192,3.4,11.6,23.1,29.0,16.9,9.1,4.1,2.8,4.0,00111
18,23.0,6.0,XXX,XX,XX,  Ward No-06 Total,2570,2.9,9.8,22.1,29.3,19.7,8.8,3.8,3.6,4.2,00111
18,23.0,7.0,XXX,XX,XX,  Ward No-07 Total,2615,2.9,11.1,23.0,30.6,16.7,8.1,3.5,4.1,4.1,00111
18,23.0,8.0,XXX,XX,XX,  Ward No-08 Total,2286,3.1,11.3,21.6,29.3,18.4,8.0,4.7,3.6,4.1,00111
18,23.0,9.0,XXX,XX,XX,  Ward No-09 Total,2204,5.0,14.4,22.9,29.2,14.7,7.5,3.2,3.1,3.9,00111
18,23.0,11.0,XXX,XX,XX,Alokdia Union Total,6871,3.0,11.0,21.4,30.2,18.5,8.2,4.1,3.6,4.1,00111
18,23.0,23.0,XXX,XX,XX,  Begampur Union Total,10264,3.1,11.1,23.5,29.2,18.3,8.3,3.3,3.2,4.1,00111
18,23.0,47.0,XXX,XX,XX,Kutubpur Union Total,8396,2.5,13.4,26.0,29.1,15.8,7.2,3.3,2.7,3.9,00111
18,23.0,59.0,XXX,XX,XX,Mominpur Union Total,3857,3.1,11.0,24.1,28.2,18.1,9.0,3.6,2.9,4.1,00111
18,23.0,62.0,XXX,XX,XX,  Padmabila Union Total,5003,2.1,10.7,23.5,31.8,18.5,8.3,3.1,2.0,4.0,00111
18,23.0,71.0,XXX,XX,XX,Shankar Chandra Union Total,11765,3.0,11.6,23.6,30.3,17.7,8.0,3.3,2.5,4.0,00111
18,23.0,83.0,XXX,XX,XX,Titudaha Union Total,10435,4.1,12.8,23.7,29.2,17.0,7.3,3.1,2.8,3.9,00111
18,31.0,XX.0,XXX,XX,XX,Damurhuda Upazila Total,69737,2.5,10.9,22.7,29.4,18.6,8.6,3.7,3.6,4.1,00111
18,31.0,XX.0,XXX,XX,XX,  Damurhuda  Paurashava,7944,3.6,11.0,22.1,28.1,18.0,8.6,4.1,4.6,4.2,00111
18,31.0,1.0,XXX,XX,XX,  Ward No-01 Total,875,1.0,11.7,23.8,28.2,18.4,9.5,3.8,3.7,4.2,00111
18,31.0,2.0,XXX,XX,XX,  Ward No-02 Total,988,4.6,11.9,19.6,28.4,17.0,8.5,4.5,5.5,4.2,00111
18,31.0,3.0,XXX,XX,XX,  Ward No-03 Total,845,5.4,9.7,21.7,27.9,16.4,7.3,5.3,6.2,4.2,00111
18,31.0,4.0,XXX,XX,XX,  Ward No-04 Total,824,5.8,11.2,20.8,25.0,16.5,10.9,4.6,5.2,4.2,00111
18,31.0,5.0,XXX,XX,XX,  Ward No-05 Total,880,3.9,10.6,21.0,29.2,18.8,8.5,3.4,4.7,4.2,00111
