ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
65.0,76.0,61.0,XXX,XX,03,  Mulia Union,3702,33.7,65.3,1.0,0.1,3773,19.5,66.1,13.7,0.7,00110
44.0,XX.0,XX.0,XXX,XX,03, Jhenaidah Zila,3495,31.9,67.5,0.4,0.1,3604,19.6,70.1,9.2,1.2,00110
44.0,14.0,XX.0,XXX,XX,03,  Harinakundu Upazila,2440,31.8,67.7,0.3,0.2,2507,19.1,70.0,9.8,1.2,00110
44.0,14.0,31.0,XXX,XX,03,  Daulatpur Union,2440,31.8,67.7,0.3,0.2,2507,19.1,70.0,9.8,1.2,00110
44.0,19.0,XX.0,XXX,XX,03,  Jhenaidah Sadar Upazila,1055,32.1,67.2,0.6,0.1,1097,20.8,70.3,7.7,1.2,00110
44.0,19.0,73.0,XXX,XX,03,  Paglakanai Union,1055,32.1,67.2,0.6,0.1,1097,20.8,70.3,7.7,1.2,00110
41.0,XX.0,XX.0,XXX,XX,03, Jessore Zila,23285,37.6,61.7,0.6,0.2,23037,23.3,67.8,7.4,1.4,00110
41.0,23.0,XX.0,XXX,XX,03,  Jhikargachha Upazila,3467,33.6,65.8,0.4,0.2,3550,20.8,71.3,7.0,0.9,00110
41.0,23.0,25.0,XXX,XX,03,  Bankra Union,930,31.9,67.8,0.2,0.0,947,20.4,73.8,5.5,0.3,00110
41.0,23.0,35.0,XXX,XX,03,  Gadkhali Union,1317,34.9,64.3,0.6,0.2,1387,21.6,70.1,7.1,1.2,00110
41.0,23.0,47.0,XXX,XX,03,  Jhikargachha Union,632,31.6,67.4,0.2,0.8,632,20.9,72.0,6.3,0.8,00110
41.0,23.0,71.0,XXX,XX,03,  Panisara Union,588,35.2,64.1,0.7,0.0,584,19.5,69.2,9.9,1.4,00110
41.0,38.0,XX.0,XXX,XX,03,  Keshabpur Upazila,3005,33.6,65.6,0.6,0.2,3003,18.5,70.8,9.6,1.1,00110
41.0,38.0,28.0,XXX,XX,03,  Keshabpur Union,2333,34.1,65.0,0.7,0.2,2295,17.4,71.2,10.1,1.3,00110
41.0,38.0,38.0,XXX,XX,03,  Majidpur Union,672,32.0,67.6,0.3,0.1,708,22.2,69.2,8.2,0.4,00110
41.0,47.0,XX.0,XXX,XX,03,  Jessore Sadar Upazila,14676,39.7,59.5,0.6,0.2,14444,25.0,66.3,7.1,1.6,00110
41.0,47.0,23.0,XXX,XX,03,  Chanchra Union,3988,35.5,63.9,0.5,0.2,3957,24.1,68.8,6.4,0.7,00110
41.0,47.0,41.0,XXX,XX,03,  Fathehpur Union,3739,37.0,62.1,0.6,0.2,3721,22.5,69.2,5.9,2.4,00110
41.0,90.0,XX.0,XXX,XX,03,  Sharsha Upazila,2137,34.7,64.7,0.5,0.1,2040,22.9,67.7,7.5,1.8,00110
41.0,90.0,86.0,XXX,XX,03,  Sharsha Union,2137,34.7,64.7,0.5,0.1,2040,22.9,67.7,7.5,1.8,00110
1.0,XX.0,XX.0,XXX,XX,03, Bagerhat Zila,33010,37.8,61.2,0.8,0.1,33717,23.8,66.3,9.0,0.9,00110
1.0,14.0,XX.0,XXX,XX,03,  Chitalmari Upazila,480,29.8,70.2,0.0,0.0,504,24.6,72.8,2.6,0.0,00110
1.0,14.0,31.0,XXX,XX,03,  Chitalmari Union,480,29.8,70.2,0.0,0.0,504,24.6,72.8,2.6,0.0,00110
1.0,34.0,XX.0,XXX,XX,03,  Fakirhat Upazila,10968,37.6,61.4,0.8,0.2,10830,22.3,66.5,10.0,1.2,00110
1.0,34.0,10.0,XXX,XX,03,  Bahirdia Mansa Union,4063,35.8,63.1,0.9,0.2,4247,21.3,67.2,10.5,1.1,00110
1.0,34.0,31.0,XXX,XX,03,  Fakirhat Union,3052,37.2,62.1,0.6,0.2,2907,22.0,68.4,8.9,0.7,00110
1.0,34.0,52.0,XXX,XX,03,  Mulghar Union,1989,40.0,58.6,1.0,0.5,1956,24.3,63.4,10.5,1.8,00110
1.0,34.0,63.0,XXX,XX,03,  Naldha Maubhog Union,1864,39.7,59.4,0.8,0.1,1720,23.1,65.1,10.3,1.5,00110
1.0,38.0,XX.0,XXX,XX,03,  Kachua Upazila,3698,34.5,63.7,1.6,0.2,3872,22.9,65.8,10.3,1.0,00110
1.0,38.0,57.0,XXX,XX,03,  Kachua Union,3698,34.5,63.7,1.6,0.2,3872,22.9,65.8,10.3,1.0,00110
1.0,56.0,XX.0,XXX,XX,03,  Mollahat Upazila,4902,44.3,55.3,0.3,0.0,4913,29.2,62.8,7.5,0.5,00110
1.0,56.0,95.0,XXX,XX,03,  Udaypur Union,4902,44.3,55.3,0.3,0.0,4913,29.2,62.8,7.5,0.5,00110
1.0,60.0,XX.0,XXX,XX,03,  Morrelganj Upazila,2067,35.1,63.8,1.0,0.1,2163,22.5,69.1,8.0,0.5,00110
1.0,60.0,23.0,XXX,XX,03,  Baraikhali Union,2067,35.1,63.8,1.0,0.1,2163,22.5,69.1,8.0,0.5,00110
1.0,73.0,XX.0,XXX,XX,03,  Rampal Upazila,753,33.3,66.3,0.4,0.0,685,23.6,67.7,8.3,0.3,00110
1.0,73.0,83.0,XXX,XX,03,  Rampal Union,753,33.3,66.3,0.4,0.0,685,23.6,67.7,8.3,0.3,00110
1.0,77.0,XX.0,XXX,XX,03,  Sarankhola Upazila,10142,37.4,61.7,0.8,0.1,10750,23.4,66.8,8.8,1.0,00110
1.0,77.0,38.0,XXX,XX,03,  Khontakata Union,4174,35.7,63.3,0.8,0.1,4715,22.2,68.4,8.8,0.6,00110
1.0,77.0,57.0,XXX,XX,03,  Royenda Union,5968,38.5,60.6,0.8,0.1,6035,24.3,65.5,8.9,1.3,00110
55.0,XX.0,XX.0,XXX,XX,03, Magura Zila,8676,37.8,61.7,0.5,0.0,8703,23.6,68.1,7.4,0.9,00110
55.0,66.0,XX.0,XXX,XX,03,  Mohammadpur Upazila,3818,39.0,60.6,0.4,0.1,3932,25.5,67.3,6.7,0.5,00110
55.0,66.0,52.0,XXX,XX,03,  Mohammadpur Union,3818,39.0,60.6,0.4,0.1,3932,25.5,67.3,6.7,0.5,00110
55.0,85.0,XX.0,XXX,XX,03,  Shalikha Upazila,2963,38.0,61.5,0.4,0.0,2780,22.4,68.4,7.9,1.3,00110
55.0,85.0,11.0,XXX,XX,03,  Arpara Union,2836,38.0,61.6,0.4,0.0,2669,22.7,68.3,7.6,1.4,00110
55.0,85.0,59.0,XXX,XX,03,  Shalikha Union,127,38.6,60.6,0.8,0.0,111,15.3,71.2,13.5,0.0,00110
55.0,95.0,XX.0,XXX,XX,03,  Sreepur Upazila,1895,35.1,64.1,0.7,0.0,1991,21.7,69.1,8.3,0.9,00110
55.0,95.0,84.0,XXX,XX,03,  Sreepur Union,1895,35.1,64.1,0.7,0.0,1991,21.7,69.1,8.3,0.9,00110
50.0,XX.0,XX.0,XXX,XX,03, Kushtia Zila,19345,33.2,66.2,0.5,0.2,19893,20.1,71.1,8.1,0.7,00110
50.0,15.0,XX.0,XXX,XX,03,  Bheramara Upazila,3349,33.4,65.8,0.6,0.1,3548,20.1,70.2,9.2,0.5,00110
50.0,15.0,27.0,XXX,XX,03,  Bahir Char Union,1738,34.6,64.3,0.8,0.3,1897,21.4,67.1,10.7,0.8,00110
50.0,15.0,40.0,XXX,XX,03,  Chandgram Union,1611,32.1,67.5,0.4,0.0,1651,18.7,73.7,7.5,0.2,00110
50.0,39.0,XX.0,XXX,XX,03,  Daulatpur Upazila,7826,33.1,66.4,0.4,0.1,7934,19.0,72.1,8.2,0.8,00110
50.0,39.0,33.0,XXX,XX,03,  Daulatpur Union,3025,30.1,69.2,0.5,0.2,3146,17.8,74.8,6.6,0.8,00110
50.0,39.0,61.0,XXX,XX,03,  Mathurapur Union,4801,35.0,64.7,0.3,0.0,4788,19.8,70.3,9.2,0.8,00110
50.0,63.0,XX.0,XXX,XX,03,  Khoksa Upazila,1760,34.0,65.6,0.3,0.1,1864,20.7,71.7,7.1,0.4,00110
50.0,63.0,71.0,XXX,XX,03,  Samaspur Union,1760,34.0,65.6,0.3,0.1,1864,20.7,71.7,7.1,0.4,00110
50.0,79.0,XX.0,XXX,XX,03,  Kushtia Sadar Upazila,2236,34.1,64.9,0.6,0.4,2240,22.7,69.5,7.1,0.7,00110
50.0,79.0,50.0,XXX,XX,03,  Battail Union,2236,34.1,64.9,0.6,0.4,2240,22.7,69.5,7.1,0.7,00110
50.0,94.0,XX.0,XXX,XX,03,  Mirpur Upazila,4174,32.4,66.8,0.6,0.2,4307,20.4,70.4,8.3,0.9,00110
50.0,94.0,14.0,XXX,XX,03,  Amla Union,1740,31.6,67.8,0.5,0.1,1785,20.7,70.3,8.1,1.0,00110
50.0,94.0,80.0,XXX,XX,03,  Poradaha Union,2434,32.9,66.2,0.6,0.2,2522,20.2,70.6,8.4,0.8,00110
57.0,XX.0,XX.0,XXX,XX,03, Meherpur Zila,5889,31.5,67.6,0.7,0.1,6168,21.6,68.6,8.4,1.4,00110
57.0,47.0,XX.0,XXX,XX,03,  Gangni Upazila,1840,30.5,68.9,0.5,0.2,1973,18.7,72.4,7.0,1.9,00110
57.0,47.0,10.0,XXX,XX,03,  Bamandi Union,948,30.6,69.1,0.3,0.0,1031,17.0,72.2,8.4,2.4,00110
57.0,47.0,69.0,XXX,XX,03,  Roypur Union,892,30.4,68.6,0.7,0.3,942,20.6,72.6,5.4,1.4,00110
57.0,60.0,XX.0,XXX,XX,03,  Mujib Nagar Upazila,4049,32.0,67.1,0.8,0.1,4195,23.0,66.9,9.0,1.1,00110
57.0,60.0,28.0,XXX,XX,03,  Bagoan Union,4049,32.0,67.1,0.8,0.1,4195,23.0,66.9,9.0,1.1,00110
87.0,XX.0,XX.0,XXX,XX,03, Satkhira Zila,23189,36.0,63.3,0.6,0.2,23179,22.9,67.4,8.1,1.5,00110
87.0,4.0,XX.0,XXX,XX,03,  Assasuni Upazila,3498,35.8,63.8,0.4,0.1,3479,23.1,69.7,6.0,1.2,00110
87.0,4.0,17.0,XXX,XX,03,  Assasuni Union,3498,35.8,63.8,0.4,0.1,3479,23.1,69.7,6.0,1.2,00110
87.0,25.0,XX.0,XXX,XX,03,  Debhata Upazila,1126,30.5,68.7,0.8,0.0,1160,20.9,67.7,9.2,2.2,00110
87.0,25.0,15.0,XXX,XX,03,  Debhata Union,1126,30.5,68.7,0.8,0.0,1160,20.9,67.7,9.2,2.2,00110
87.0,43.0,XX.0,XXX,XX,03,  Kalaroa Upazila,794,34.0,65.6,0.1,0.3,851,22.0,66.5,8.7,2.8,00110
87.0,43.0,31.0,XXX,XX,03,  Helatala Union,794,34.0,65.6,0.1,0.3,851,22.0,66.5,8.7,2.8,00110
87.0,47.0,XX.0,XXX,XX,03,  Kaliganj Upazila,6936,37.3,62.1,0.4,0.2,6666,22.2,68.2,8.4,1.2,00110
87.0,47.0,13.0,XXX,XX,03,  Bhara Simla Union,1761,34.1,64.8,0.8,0.2,1755,19.3,68.9,10.9,0.9,00110
87.0,47.0,55.0,XXX,XX,03,  Kushlia Union,2967,41.4,58.1,0.3,0.1,2718,23.9,66.4,8.4,1.3,00110
87.0,47.0,63.0,XXX,XX,03,  Mathureshpur Union,1399,34.6,64.8,0.3,0.3,1433,22.5,68.4,7.2,1.9,00110
87.0,47.0,94.0,XXX,XX,03,  Tarali Union,809,34.0,65.9,0.1,0.0,760,22.5,72.2,4.7,0.5,00110
87.0,86.0,XX.0,XXX,XX,03,  Shyamnagar Upazila,6963,36.2,62.9,0.6,0.2,7062,24.4,65.2,8.4,2.0,00110
87.0,86.0,94.0,XXX,XX,03,  Shyamnagar Union,6963,36.2,62.9,0.6,0.2,7062,24.4,65.2,8.4,2.0,00110
87.0,90.0,XX.0,XXX,XX,03,  Tala Upazila,3872,35.4,63.4,1.0,0.2,3961,22.1,68.0,8.8,1.1,00110
87.0,90.0,87.0,XXX,XX,03,  Tala Union,3872,35.4,63.4,1.0,0.2,3961,22.1,68.0,8.8,1.1,00110
