ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
47.0,XX.0,XX.0,XXX,XX,03, Khulna Zila,82655,1.9,0.1,0.5,0.2,0.7,0.2,0.1,00110
47.0,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,7675,1.2,0.2,0.4,0.2,0.4,0.1,0.0,00110
47.0,12.0,35.0,XXX,XX,03,  Batiaghata Union,7675,1.2,0.2,0.4,0.2,0.4,0.1,0.0,00110
47.0,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,19828,2.0,0.2,0.6,0.3,0.8,0.1,0.1,00110
47.0,30.0,27.0,XXX,XX,03,  Dumuria Union,19828,2.0,0.2,0.6,0.3,0.8,0.1,0.1,00110
47.0,53.0,XX.0,XXX,XX,03,  Koyra Upazila,11594,2.9,0.1,0.5,0.3,1.5,0.3,0.3,00110
47.0,53.0,55.0,XXX,XX,03,  Koyra Union,11594,2.9,0.1,0.5,0.3,1.5,0.3,0.3,00110
47.0,69.0,XX.0,XXX,XX,03,  Phultala Upazila,31581,1.9,0.1,0.7,0.2,0.5,0.2,0.1,00110
47.0,69.0,38.0,XXX,XX,03,  Damodar Union,28451,2.0,0.1,0.7,0.2,0.5,0.2,0.1,00110
47.0,69.0,76.0,XXX,XX,03,  Phultala Union,3130,1.0,0.2,0.2,0.0,0.3,0.2,0.1,00110
47.0,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,11977,0.9,0.1,0.1,0.1,0.4,0.1,0.1,00110
47.0,94.0,27.0,XXX,XX,03,  Barasat Union,5038,0.8,0.1,0.1,0.1,0.3,0.1,0.1,00110
47.0,94.0,81.0,XXX,XX,03,  Terokhada Union,6939,1.0,0.1,0.1,0.1,0.4,0.1,0.1,00110
18.0,XX.0,XX.0,XXX,XX,03, Chuadanga Zila,129409,1.6,0.2,0.3,0.1,0.6,0.2,0.1,00110
18.0,7.0,XX.0,XXX,XX,03,  Alamdanga Upazila,46324,1.6,0.2,0.3,0.1,0.6,0.2,0.1,00110
18.0,7.0,15.0,XXX,XX,03,  Baradi Union,1106,0.5,0.2,0.1,0.0,0.2,0.0,0.0,00110
18.0,7.0,23.0,XXX,XX,03,  Bhangabaria Union,3879,1.0,0.2,0.2,0.1,0.3,0.1,0.1,00110
18.0,7.0,27.0,XXX,XX,03,  Chithla Union,3722,1.0,0.0,0.2,0.1,0.5,0.2,0.0,00110
18.0,7.0,47.0,XXX,XX,03,  Hardi Union,12445,2.0,0.4,0.3,0.1,0.7,0.4,0.1,00110
