ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,35,XXX,XX,01,  Batiaghata Union,2802,11785,11785,0,00110
47,30,27,XXX,XX,01,  Dumuria Union,2125,9414,9414,0,00110
47,53,55,XXX,XX,01,  Koyra Union,5101,21636,21633,3,00110
47,69,38,XXX,XX,01,  Damodar Union,1859,8291,8291,0,00110
47,69,76,XXX,XX,01,  Phultala Union,5890,24871,24870,1,00110
47,94,27,XXX,XX,01,  Barasat Union,3722,17061,17059,2,00110
47,94,81,XXX,XX,01,  Terokhada Union,3869,14986,14986,0,00110
18,07,15,XXX,XX,01,  Baradi Union,4547,18477,18477,0,00110
18,07,23,XXX,XX,01,  Bhangabaria Union,6119,23835,23821,14,00110
18,07,27,XXX,XX,01,  Chithla Union,4796,18891,18891,0,00110
18,07,47,XXX,XX,01,  Hardi Union,4290,17097,17097,0,00110
18,07,55,XXX,XX,01,  Jamjami Union,3206,12734,12734,0,00110
18,07,63,XXX,XX,01,  Jehala Union,2884,11831,11831,0,00110
18,07,79,XXX,XX,01,  Khaskara Union,5476,21963,21963,0,00110
18,07,87,XXX,XX,01,  Kumari Union,2573,10195,10195,0,00110
18,23,11,XXX,XX,01,  Alokdia Union,642,2544,2544,0,00110
18,23,47,XXX,XX,01,  Kutubpur Union,7906,31279,31279,0,00110
18,23,59,XXX,XX,01,  Mominpur Union,2349,9635,9635,0,00110
18,23,71,XXX,XX,01,  Shankar Chandra Union,10500,42123,42123,0,00110
18,23,83,XXX,XX,01,  Titudaha Union,9538,37517,37517,0,00110
18,31,11,XXX,XX,01,  Damurhuda Union,6515,27111,27111,0,00110
18,31,35,XXX,XX,01,  Howli Union,6602,26971,26971,0,00110
18,55,38,XXX,XX,01,  Banka Union,10396,42816,42816,0,00110
18,55,76,XXX,XX,01,  Uthali Union,10106,41948,41948,0,00110
65,28,14,XXX,XX,01,  Boranal Eliasabad Union,958,4129,4129,0,00110
65,28,71,XXX,XX,01,  Mauli Union,3546,15894,15894,0,00110
65,28,87,XXX,XX,01,  Peruli Union,4550,21295,21294,1,00110
65,28,95,XXX,XX,01,  Salamabad Union,1271,6211,6198,13,00110
