ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
33,XX,XX,XXX,XX,03, Gazipur Zila,358,330,540,468,113,99,837,1098,24,16,1017,1136,11110
56,XX,XX,XXX,XX,03, Manikganj Zila,755,707,427,555,247,146,819,1388,55,23,1187,1469,11110
26,XX,XX,XXX,XX,03, Dhaka Zila,36820,31367,61537,61621,20073,10548,91154,110924,4725,1635,121983,110605,11110
86,XX,XX,XXX,XX,03, Shariatpur Zila,265,388,390,377,66,53,442,701,10,3,550,705,11110
54,XX,XX,XXX,XX,03, Madaripur Zila,686,699,690,707,136,109,889,1259,36,17,991,1380,11110
93,XX,XX,XXX,XX,03, Tangail Zila,1363,1122,1424,1672,352,256,2105,3617,80,41,2835,3917,11110
48,XX,XX,XXX,XX,03, Kishoreganj Zila,1049,1296,2249,1821,215,187,2508,3258,44,32,2957,3694,11110
89,XX,XX,XXX,XX,03, Sherpur Zila,155,160,127,87,67,33,148,257,3,6,214,307,11110
68,XX,XX,XXX,XX,03, Narsingdi Zila,1609,1793,2904,2443,355,255,3722,4614,59,29,3997,4430,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,358,330,540,468,113,99,837,1098,24,16,1017,1136,11110
90,XX,XX,XXX,XX,03, Sunamganj Zila,1073,1163,2444,2132,230,217,2763,3288,46,28,3044,3359,11110
36,XX,XX,XXX,XX,03, Habiganj Zila,1030,1126,2288,2366,238,152,2454,3330,44,16,2499,3299,11110
91,XX,XX,XXX,XX,03, Sylhet Zila,3285,3127,5291,5013,935,658,6015,7117,185,71,6742,6944,11110
58,XX,XX,XXX,XX,03, Maulvibazar Zila,1254,1306,1918,1896,267,212,2151,2900,39,32,2380,3093,11110
