ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,539,528,221,261,104,59,431,628,24,12,582,685,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,457,438,345,313,165,97,501,791,46,9,696,870,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,964,694,542,638,318,171,793,1498,64,30,1320,1779,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,2236,2121,1821,2159,797,668,2673,3860,151,77,3668,4494,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,851,750,833,859,200,134,1094,1668,43,31,1440,1703,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,686,624,573,624,159,106,768,1305,39,16,1202,1370,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,449,338,430,474,117,55,626,935,22,9,745,897,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,674,645,392,485,170,150,580,1081,50,24,860,1332,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,1399,1175,572,698,517,413,1058,1732,116,46,1605,2192,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,465,396,442,440,101,67,628,956,24,9,907,1158,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,4030,3249,1730,1972,2153,1374,2760,4363,535,205,4320,5604,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,1374,1142,764,988,401,288,1277,2036,110,43,2008,2460,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,778,813,686,836,216,175,1038,1643,47,28,1371,1738,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,788,684,594,587,187,132,890,1314,47,20,1142,1431,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,926,742,621,663,308,171,975,1631,89,40,1394,1785,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,2040,1984,1755,1870,617,484,2574,4050,200,67,3672,4644,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,221,190,122,160,68,45,218,364,9,12,355,459,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,618,612,421,503,112,134,655,1016,39,17,936,1104,01110
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,724,755,642,751,180,214,973,1607,52,28,1307,1756,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,623,551,515,660,160,121,791,1303,33,18,1102,1487,01110
41,47,XX,XXX,XX,02,  Jessore Sadar Upazila,7767,6392,3999,4180,7090,4381,7550,9184,1617,545,10243,10528,01110
41,61,XX,XXX,XX,02,  Manirampur Upazila,727,655,510,621,304,135,793,1216,62,13,1176,1502,01110
41,90,XX,XXX,XX,02,  Sharsha Upazila,783,729,932,980,190,124,1316,1927,46,10,1737,1989,01110
1,08,XX,XXX,XX,02,  Bagerhat Sadar Upazila,1358,1402,803,1011,835,648,1220,2005,135,78,1888,2533,01110
1,58,XX,XXX,XX,02,  Mongla Upazila,906,1082,998,860,218,180,1562,1525,56,31,2022,1792,01110
1,60,XX,XXX,XX,02,  Morrelganj Upazila,441,427,432,465,99,83,618,960,15,21,798,1100,01110
55,57,XX,XXX,XX,02,  Magura Sadar Upazila,2850,2675,1753,1766,1167,1097,2625,4275,273,111,3954,5024,01110
50,15,XX,XXX,XX,02,  Bheramara Upazila,573,564,332,443,197,146,586,1018,53,35,933,1189,01110
50,63,XX,XXX,XX,02,  Khoksa Upazila,416,356,320,317,94,71,528,800,34,21,742,883,01110
50,71,XX,XXX,XX,02,  Kumarkhali Upazila,510,521,350,429,189,141,541,1003,49,33,882,1185,01110
50,79,XX,XXX,XX,02,  Kushtia Sadar Upazila,4974,3951,1428,1625,3439,2228,2444,3844,889,347,3959,4821,01110
50,94,XX,XXX,XX,02,  Mirpur Upazila,516,444,487,477,181,81,838,1082,44,12,1131,1237,01110
57,47,XX,XXX,XX,02,  Gangni Upazila,728,626,409,493,205,160,658,1057,63,31,1030,1422,01110
57,87,XX,XXX,XX,02,  Meherpur Sadar Upazila,1106,998,833,964,356,246,1328,1986,89,33,1991,2255,01110
87,43,XX,XXX,XX,02,  Kalaroa Upazila,856,775,555,724,245,174,881,1358,44,23,1149,1406,01110
87,82,XX,XXX,XX,02,  Satkhira Sadar Upazila,3388,3173,2159,2822,1857,1228,3389,5580,417,118,4881,5677,01110
42,40,XX,XXX,XX,02,  Jhalokati Sadar Upazila,1877,1525,902,1102,660,391,1410,2284,158,43,2005,2978,01110
42,73,XX,XXX,XX,02,  Nalchity Upazila,755,784,572,678,164,147,770,1364,35,21,1032,1504,01110
78,38,XX,XXX,XX,02,  Bauphal Upazila,283,314,146,172,114,91,271,495,46,9,423,575,01110
78,57,XX,XXX,XX,02,  Galachipa Upazila,564,639,401,391,162,157,571,808,55,27,867,1109,01110
78,66,XX,XXX,XX,02,  Kala Para Upazila,599,556,539,559,162,101,892,1216,37,16,1375,1472,01110
78,95,XX,XXX,XX,02,  Patuakhali Sadar Upazila,2811,2171,983,1159,1447,848,1560,2516,275,116,2660,3335,01110
6,07,XX,XXX,XX,02,  Bakerganj Upazila,381,418,303,294,111,86,384,632,22,7,536,730,01110
6,10,XX,XXX,XX,02,  Banari Para Upazila,274,283,163,140,91,87,318,439,16,16,473,543,01110
6,32,XX,XXX,XX,02,  Gaurnadi Upazila,1011,986,1001,999,287,207,1359,1944,56,27,1508,2066,01110
6,51,XX,XXX,XX,02,  Barisal Sadar Upazila,10556,9596,6860,7343,6855,4519,9792,14326,1300,604,14053,16492,01110
6,62,XX,XXX,XX,02,  Mehendiganj Upazila,534,670,762,901,142,106,894,1416,26,13,1011,1376,01110
6,69,XX,XXX,XX,02,  Muladi Upazila,370,373,452,505,77,68,647,885,21,6,765,988,01110
79,58,XX,XXX,XX,02,  Mathbaria Upazila,372,387,295,367,114,88,428,871,35,16,771,1047,01110
79,80,XX,XXX,XX,02,  Pirojpur Sadar Upazila,1449,1686,1091,1211,682,513,1623,2555,102,51,2322,3038,01110
