ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,XX,XX,XXX,XX,01, Khulna Zila,363436,1540939,1540606,333,11110
18,XX,XX,XXX,XX,01, Chuadanga Zila,202741,822858,822835,23,11110
65,XX,XX,XXX,XX,01, Narail Zila,136777,609316,609200,116,11110
44,XX,XX,XXX,XX,01, Jhenaidah Zila,355670,1491112,1490953,159,11110
41,XX,XX,XXX,XX,01, Jessore Zila,536198,2250995,2250639,356,11110
1,XX,XX,XXX,XX,01, Bagerhat Zila,308197,1280759,1278530,2229,11110
55,XX,XX,XXX,XX,01, Magura Zila,178786,798005,797948,57,11110
50,XX,XX,XXX,XX,01, Kushtia Zila,421907,1711312,1711066,246,11110
57,XX,XX,XXX,XX,01, Meherpur Zila,145744,571999,571903,96,11110
87,XX,XX,XXX,XX,01, Satkhira Zila,423040,1788343,1788133,210,11110
42,XX,XX,XXX,XX,01, Jhalokati Zila,132302,570666,570481,185,11110
78,XX,XX,XXX,XX,01, Patuakhali Zila,301231,1333972,1331443,2529,11110
6,XX,XX,XXX,XX,01, Barisal Zila,399205,1805294,1803947,1347,11110
79,XX,XX,XXX,XX,01, Pirojpur Zila,214911,930626,930389,237,11110
9,XX,XX,XXX,XX,01, Bhola Zila,322594,1533478,1532866,612,11110
4,XX,XX,XXX,XX,01, Barguna Zila,191060,789687,789067,620,11110
52,XX,XX,XXX,XX,01, Lalmonirhat Zila,261427,1126890,1126684,206,11110
77,XX,XX,XXX,XX,01, Panchagarh Zila,206399,892495,892272,223,11110
85,XX,XX,XXX,XX,01, Rangpur Zila,620384,2438373,2437873,500,11110
49,XX,XX,XXX,XX,01, Kurigram Zila,430233,1742779,1742716,63,11110
32,XX,XX,XXX,XX,01, Gaibandha Zila,561601,2168731,2168583,148,11110
73,XX,XX,XXX,XX,01, Nilphamari Zila,358925,1544257,1544220,37,11110
94,XX,XX,XXX,XX,01, Thakurgaon Zila,284009,1228733,1228615,118,11110
27,XX,XX,XXX,XX,01, Dinajpur Zila,610459,2536429,2535803,626,11110
10,XX,XX,XXX,XX,01, Bogra Zila,708018,2730486,2729746,740,11110
88,XX,XX,XXX,XX,01, Sirajganj Zila,615797,2660912,2660127,785,11110
81,XX,XX,XXX,XX,01, Rajshahi Zila,435697,1740578,1740320,258,11110
64,XX,XX,XXX,XX,01, Naogaon Zila,589548,2324590,2324379,211,11110
76,XX,XX,XXX,XX,01, Pabna Zila,501354,2135504,2135236,268,11110
70,XX,XX,XXX,XX,01, Chapai Nawabganj Zila,287895,1327243,1327144,99,11110
69,XX,XX,XXX,XX,01, Natore Zila,368212,1478665,1478293,372,11110
38,XX,XX,XXX,XX,01, Joypurhat Zila,206361,769858,769031,827,11110
13,XX,XX,XXX,XX,01, Chandpur Zila,414600,1980294,1979919,375,11110
3,XX,XX,XXX,XX,01, Bandarban Zila,59352,287912,287805,107,11110
19,XX,XX,XXX,XX,01, Comilla Zila,886900,4546962,4545355,1607,11110
12,XX,XX,XXX,XX,01, Brahmanbaria Zila,451840,2392005,2391677,328,11110
51,XX,XX,XXX,XX,01, Lakshmipur Zila,310138,1466191,1465144,1047,11110
46,XX,XX,XXX,XX,01, Khagrachhari Zila,87522,398109,397964,145,11110
22,XX,XX,XXX,XX,01, Cox's Bazar Zila,323849,1790979,1789997,982,11110
15,XX,XX,XXX,XX,01, Chittagong Zila,863472,4463723,4461777,1946,11110
84,XX,XX,XXX,XX,01, Rangamati Zila,93894,436352,436171,181,11110
30,XX,XX,XXX,XX,01, Feni Zila,219543,1143629,1143305,324,11110
75,XX,XX,XXX,XX,01, Noakhali Zila,500215,2611383,2610729,654,11110
29,XX,XX,XXX,XX,01, Faridpur Zila,359438,1641869,1640742,1127,11110
72,XX,XX,XXX,XX,01, Netrakona Zila,425626,1982459,1981871,588,11110
39,XX,XX,XXX,XX,01, Jamalpur Zila,469131,1904805,1904213,592,11110
59,XX,XX,XXX,XX,01, Munshiganj Zila,272820,1259554,1254467,5087,11110
35,XX,XX,XXX,XX,01, Gopalganj Zila,222134,1043710,1043431,279,11110
82,XX,XX,XXX,XX,01, Rajbari Zila,207592,913736,913570,166,11110
61,XX,XX,XXX,XX,01, Mymensingh Zila,981487,4312145,4311476,669,11110
67,XX,XX,XXX,XX,01, Narayanganj Zila,442903,1959261,1958412,849,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,565903,2366338,2363287,3051,11110
56,XX,XX,XXX,XX,01, Manikganj Zila,294870,1264157,1263294,863,11110
26,XX,XX,XXX,XX,01, Dhaka Zila,648886,2726934,2723328,3606,11110
86,XX,XX,XXX,XX,01, Shariatpur Zila,219280,1024780,1024225,555,11110
54,XX,XX,XXX,XX,01, Madaripur Zila,217360,1008142,1007804,338,11110
93,XX,XX,XXX,XX,01, Tangail Zila,742002,3061298,3060352,946,11110
48,XX,XX,XXX,XX,01, Kishoreganj Zila,522791,2422877,2422169,708,11110
