ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,17,13,079,05,01,  Kakra Bunia,50,47,3,47,0,0,0,0,3,00000
47,17,13,079,06,01,  Purba Amtala,140,124,16,52,0,1,0,71,16,00000
47,17,13,079,07,01,  Paschim Amtala,94,90,4,87,3,2,0,1,1,00000
47,17,13,079,08,01,  Dakshin Banishanta,92,91,1,88,1,2,0,1,0,00000
47,17,13,079,09,01,  Banishanta Bazar,60,55,5,47,0,8,1,0,4,00000
47,17,13,079,10,01,  Purba Banishanta(Pross),171,54,117,0,0,53,2,1,115,00000
47,17,13,079,11,01,  Purba Dangmari,135,106,29,50,1,6,0,50,28,00000
47,17,13,079,12,01,  Purba Bhojankhali,43,35,8,17,0,4,0,14,8,00000
47,17,13,079,13,01,  Paschim Bhojankhali,39,35,4,35,2,0,0,0,2,00000
47,17,13,079,14,01,  Purba Khejuria,124,104,20,92,9,1,2,11,9,00000
47,17,13,079,15,01,  Paschim Khejuria,27,27,0,26,0,0,0,1,0,00000
47,17,13,079,16,01,  Patikhata,16,16,0,16,0,0,0,0,0,00000
47,17,13,079,17,01,  Paschim Dangmari,58,37,21,37,0,0,0,0,21,00000
47,17,21,716,01,01,  Khuthakhali Bazar,80,56,24,1,1,8,1,47,22,00000
47,17,21,716,02,01,  Khuthakhali,91,82,9,66,2,0,0,16,7,00000
47,17,21,716,03,01,  Laudubi Pasharer Dhar,61,48,13,18,0,9,4,21,9,00000
47,17,21,716,04,01,  Laudubi,94,80,14,52,8,2,0,26,6,00000
47,17,21,716,05,01,  Kalikabati,85,80,5,60,0,0,0,20,5,00000
47,17,21,716,06,01,  Barabak,49,49,0,47,0,0,0,2,0,00000
47,17,21,716,07,01,  Burir Dabar,14,13,1,8,0,5,0,0,1,00000
47,17,21,716,08,01,  Harintani,29,28,1,25,0,1,0,2,1,00000
47,17,42,278,01,01,  Dacope-2,12,11,1,10,0,0,0,1,1,00000
47,17,42,278,02,01,  Singjora,7,7,0,7,0,0,0,0,0,00000
47,17,42,278,03,01,  Madia,30,30,0,30,0,0,0,0,0,00000
47,17,42,278,04,01,  Chhota Bunia,22,16,6,13,2,0,0,3,4,00000
47,17,42,278,05,01,  Dakshin Dacope,29,26,3,26,2,0,0,0,1,00000
47,17,42,875,01,01,  Saheberabad,109,96,13,79,8,0,0,17,5,00000
47,17,42,875,02,01,  Odabunia,73,65,8,65,5,0,2,0,1,00000
47,17,42,875,03,01,  Bhadla Bunia,4,4,0,4,0,0,0,0,0,00000
47,17,42,875,04,01,  Kakrabunia,26,22,4,22,3,0,0,0,1,00000
47,17,52,318,01,01,  Dhopadihi,73,72,1,70,0,2,1,0,0,00000
47,17,52,318,02,01,  Ramnagar,85,83,2,82,1,0,0,1,1,00000
47,17,63,915,01,01,  Channir Chak,5,5,0,5,0,0,0,0,0,00000
47,17,63,915,02,01,  Jaliakhali,25,25,0,18,0,1,0,6,0,00000
47,17,63,915,03,01,  Sreenagar,126,113,13,64,2,0,0,49,11,00000
47,17,63,915,04,01,  Satgharia,67,52,15,28,1,0,3,24,11,00000
47,17,63,915,05,01,  Bhitabhanga,87,84,3,56,0,0,0,28,3,00000
47,17,63,915,06,01,  Shibnagar,33,32,1,17,0,0,0,15,1,00000
47,17,63,915,07,01,  Joynagar,128,119,9,117,9,0,0,2,0,00000
47,17,63,915,08,01,  Saharabad,76,73,3,73,2,0,0,0,1,00000
47,17,63,915,09,01,  Rajnagar,2,2,0,2,0,0,0,0,0,00000
47,17,63,915,10,01,  Kalinagar,101,92,9,82,9,9,0,1,0,00000
47,17,63,915,11,01,  Par Joynagar,125,123,2,122,2,0,0,1,0,00000
47,17,63,915,12,01,  Rekhamari,7,7,0,7,0,0,0,0,0,00000
47,17,63,915,13,01,  Fakirdanga,2,2,0,2,0,0,0,0,0,00000
47,17,69,676,01,01,  Kamarabad,51,48,3,19,0,0,0,29,3,00000
47,17,69,676,02,01,  Lakshmikhola,190,181,9,156,1,0,0,25,8,00000
47,17,69,835,01,01,  Pankhali (Part),336,311,25,254,18,8,2,49,5,00000
47,17,69,835,02,01,  Hoglabunia,124,105,19,88,1,1,0,16,18,00000
47,17,69,835,03,01,  Katabunia,95,87,8,49,1,0,0,38,7,00000
47,17,84,159,01,01,  Batbunia,61,52,9,38,1,3,0,11,8,00000
47,17,84,159,02,01,  Badalbunia,20,20,0,20,0,0,0,0,0,00000
47,17,84,159,03,01,  Joynagar,6,6,0,6,0,0,0,0,0,00000
47,17,84,199,01,01,  Kaminibasi,9,9,0,9,0,0,0,0,0,00000
47,17,84,199,02,01,  Raskholarpar,60,56,4,56,3,0,1,0,0,00000
47,17,84,199,03,01,  Nishankhali,15,14,1,12,1,2,0,0,0,00000
47,17,84,199,04,01,  Datta Chak,70,70,0,66,0,3,0,1,0,00000
47,17,84,199,05,01,  Kakrabunia-3,1,1,0,0,0,0,0,1,0,00000
47,17,84,199,06,01,  Arakhali,32,31,1,31,1,0,0,0,0,00000
47,17,84,199,07,01,  Tentultala,22,21,1,20,1,0,0,1,0,00000
47,17,84,199,08,01,  Uder Para,28,27,1,26,1,0,0,1,0,00000
47,17,84,199,09,01,  Chhota Batbunia,11,11,0,7,0,0,0,4,0,00000
47,17,84,358,01,01,  Naldanga,69,68,1,58,0,0,0,10,1,00000
47,17,84,358,02,01,  Andhar Manik,6,6,0,6,0,0,0,0,0,00000
47,17,84,358,03,01,  Humakhali,88,78,10,78,10,0,0,0,0,00000
47,17,84,358,04,01,  Garkhali,39,39,0,39,0,0,0,0,0,00000
47,17,84,358,05,01,  Satyapir,35,35,0,34,0,1,0,0,0,00000
47,17,84,358,06,01,  Sardar Para,32,31,1,31,1,0,0,0,0,00000
47,17,84,358,07,01,  Kakrabunia,149,118,31,87,18,1,0,30,13,00000
47,17,84,358,08,01,  Chhota Balia,116,116,0,116,0,0,0,0,0,00000
47,17,84,995,01,01,  Chardanga,5,4,1,4,0,0,0,0,1,00000
47,17,84,995,02,01,  Mashamari,17,15,2,11,0,0,0,4,2,00000
47,17,84,995,03,01,  Bansh Talardanga,23,22,1,22,0,0,0,0,1,00000
47,17,84,995,04,01,  Majherdanga,2,2,0,2,0,0,0,0,0,00000
47,17,84,995,05,01,  Guchchhagram,7,7,0,2,0,4,0,1,0,00000
47,17,84,995,06,01,  Tildanga,16,12,4,11,1,0,0,1,3,00000
47,21,10,047,01,01,  Aranghata,277,237,40,114,13,24,11,99,16,00000
47,21,10,047,02,01,  Sarderdanga,82,72,10,24,1,13,1,35,8,00000
47,21,10,047,03,01,  Gaikur,296,279,17,78,4,25,2,176,11,00000
47,30,11,201,01,01,  Boyarsinga,27,25,2,25,2,0,0,0,0,00000
47,30,11,201,02,01,  Putimari,14,8,6,8,6,0,0,0,0,00000
47,30,11,201,03,01,  Andhar Manik,14,11,3,11,3,0,0,0,0,00000
47,30,11,201,04,01,  Khalsibunia,2,1,1,1,1,0,0,0,0,00000
47,30,11,201,05,01,  Chhota Murabunia,11,11,0,11,0,0,0,0,0,00000
47,30,11,201,06,01,  Sondar Bunia,12,12,0,12,0,0,0,0,0,00000
47,30,11,201,07,01,  Golapdha,16,16,0,16,0,0,0,0,0,00000
47,30,11,201,08,01,  Durgatuni,1,1,0,1,0,0,0,0,0,00000
47,30,11,201,09,01,  Bara Chanmari,7,7,0,7,0,0,0,0,0,00000
47,30,11,201,10,01,  Bara Murabunia,21,14,7,14,7,0,0,0,0,00000
47,30,11,310,01,01,  Chuknagar,211,186,25,131,13,52,10,3,2,00000
47,30,11,310,02,01,  Putimari,66,61,5,53,2,0,0,8,3,00000
47,30,11,310,03,01,  Dariadanga,141,129,12,125,11,1,0,3,1,00000
47,30,11,635,01,01,  Kulbaria Baratia,120,117,3,116,3,1,0,0,0,00000
47,30,11,635,02,01,  Baratia,321,239,82,78,3,159,79,2,0,00000
47,30,11,635,03,01,  Matbaria,162,154,8,152,8,1,0,1,0,00000
47,30,11,635,04,01,  Gobindakatia,159,138,21,125,20,12,1,1,0,00000
47,30,11,635,05,01,  Nizkhali,22,22,0,21,0,1,0,0,0,00000
47,30,20,714,01,01,  Mandra,45,42,3,38,3,0,0,4,0,00000
47,30,20,714,02,01,  Mainapur,17,17,0,17,0,0,0,0,0,00000
47,30,20,980,01,01,  Tolna,548,501,47,321,20,24,11,156,16,00000
47,30,20,980,02,01,  Mujar Ghuta,15,15,0,15,0,0,0,0,0,00000
47,30,33,197,01,01,  Purba Bil Pabla,79,77,2,66,2,2,0,9,0,00000
47,30,33,197,02,01,  Paschim Bil Pabla,79,76,3,73,1,0,0,3,2,00000
47,30,33,197,03,01,  Line Bil Pabla,227,199,28,179,22,2,1,18,5,00000
47,30,33,197,04,01,  Uttar Bil Pabla,137,136,1,125,1,0,0,11,0,00000
47,30,33,413,01,01,  Gutudia,452,426,26,360,13,3,0,63,13,00000
47,30,33,413,02,01,  Patkelpota,43,28,15,8,0,20,15,0,0,00000
47,30,33,458,01,01,  Jelerdanga,10,9,1,8,0,0,0,1,1,00000
47,30,33,458,02,01,  Baradanga,4,4,0,4,0,0,0,0,0,00000
47,30,33,659,01,01,  Khamar Baria,98,88,10,84,6,1,0,3,4,00000
47,30,33,659,02,01,  Lata,48,41,7,39,4,0,0,2,3,00000
47,30,33,659,03,01,  Paharpur,52,47,5,46,5,1,0,0,0,00000
47,30,40,724,01,01,  Mechhaghuna,53,52,1,43,1,1,0,8,0,00000
47,30,40,724,02,01,  Kartik Danga,32,32,0,21,0,0,0,11,0,00000
47,30,47,004,01,01,  Ahladipur,22,21,1,21,1,0,0,0,0,00000
47,30,47,004,02,01,  Purba Patibunia,2,2,0,1,0,0,0,1,0,00000
47,30,47,004,03,01,  Paschim Patibunia,16,15,1,15,1,0,0,0,0,00000
47,30,47,354,01,01,  Hoglabunia,16,16,0,16,0,0,0,0,0,00000
47,30,47,354,02,01,  Gajalia,18,16,2,16,2,0,0,0,0,00000
47,30,47,615,01,01,  Hatalbunia,32,30,2,28,1,0,0,2,1,00000
47,30,47,615,02,01,  Korakata,9,9,0,8,0,1,0,0,0,00000
47,30,47,615,03,01,  Sokarmari,11,11,0,10,0,1,0,0,0,00000
47,30,47,709,01,01,  Amurbunia,12,12,0,12,0,0,0,0,0,00000
47,30,47,709,02,01,  Shakertak,48,44,4,44,4,0,0,0,0,00000
47,30,47,709,03,01,  Barmarber,6,5,1,5,1,0,0,0,0,00000
47,30,47,709,04,01,  Jharjhria,4,2,2,2,2,0,0,0,0,00000
47,30,61,876,01,01,  Sahapur,381,339,42,183,12,7,5,149,25,00000
47,30,61,876,02,01,  Bil Patiala,11,11,0,10,0,0,0,1,0,00000
47,30,67,852,01,01,  Rangpur,919,845,74,764,62,19,0,62,12,00000
47,30,67,852,02,01,  Sarabhita,27,25,2,25,1,0,0,0,1,00000
47,30,67,852,03,01,  Mujarguta,25,25,0,25,0,0,0,0,0,00000
47,30,67,852,04,01,  Batbera,73,71,2,68,2,0,0,3,0,00000
47,30,67,852,05,01,  Baranashi,25,25,0,25,0,0,0,0,0,00000
47,30,81,881,01,01,  Charabandha,8,8,0,8,0,0,0,0,0,00000
47,30,81,881,02,01,  Dudhir Hula,14,14,0,13,0,0,0,1,0,00000
47,30,81,881,03,01,  Sahas Ghoshgati,151,128,23,126,23,1,0,1,0,00000
47,30,81,881,04,01,  Kumarghata,95,91,4,86,4,0,0,5,0,00000
47,30,81,881,05,01,  Madhyapara,21,16,5,16,5,0,0,0,0,00000
47,30,81,881,06,01,  Rajapur,261,236,25,223,25,0,0,13,0,00000
47,30,81,881,07,01,  Sahas Joykhali,283,269,14,251,13,0,1,18,0,00000
