ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,30.0,XX.0,XXX,XX,XX,Dumuria Upazila Total,305675,8.6,10.4,10.2,7.7,8.6,9.5,27.9,7.5,3.0,6.5,00111
47,30.0,11.0,XXX,XX,XX,  Atlia Union Total,32236,8.9,10.2,10.1,7.9,9.2,10.1,28.7,7.0,2.7,5.2,00111
47,30.0,13.0,XXX,XX,XX,  Bhandar Para Union Total,16749,7.8,9.8,9.6,6.4,8.0,9.2,29.5,8.5,3.4,7.9,00111
47,30.0,20.0,XXX,XX,XX,  Dhamalia Union Total,22240,8.7,11.5,10.9,7.5,8.0,8.6,26.8,7.7,3.3,6.9,00111
47,30.0,27.0,XXX,XX,XX,Dumuria Union Total,29242,9.5,10.6,11.0,8.4,9.2,9.9,26.9,6.7,2.5,5.3,00111
47,30.0,33.0,XXX,XX,XX,  Gutudia Union Total,26143,8.6,10.1,9.8,8.0,9.3,9.7,27.4,7.4,3.1,6.7,00111
47,30.0,40.0,XXX,XX,XX,  Kharnia Union Total,20585,9.2,10.9,10.5,7.5,9.5,9.8,27.0,7.1,3.0,5.6,00111
47,30.0,47.0,XXX,XX,XX,  Magurkhali Union Total,13891,7.2,8.9,8.4,7.3,9.0,10.2,29.5,8.5,3.1,7.9,00111
47,30.0,54.0,XXX,XX,XX,  Maguraghona Union Total,23115,9.6,11.3,10.7,8.1,9.3,9.8,26.3,6.9,2.7,5.4,00111
47,30.0,61.0,XXX,XX,XX,  Raghunathpur Union Total,25817,8.2,9.9,9.9,7.8,8.1,8.9,28.4,8.0,3.3,7.3,00111
47,30.0,67.0,XXX,XX,XX,  Rangpur Union Total,18053,6.9,8.8,9.4,7.9,7.8,8.8,29.3,8.8,3.9,8.3,00111
47,30.0,74.0,XXX,XX,XX,  Rudaghara Union Total,23148,8.5,11.1,10.6,8.1,7.8,8.9,27.1,7.8,3.2,6.9,00111
47,30.0,81.0,XXX,XX,XX,  Sahas Union Total,18647,9.0,11.4,10.4,7.1,7.9,9.4,28.4,7.2,3.1,6.1,00111
47,30.0,88.0,XXX,XX,XX,  Sarappur Union Total,16101,9.0,10.8,9.9,6.8,8.6,9.5,28.1,7.3,2.9,7.1,00111
47,30.0,94.0,XXX,XX,XX,  Sovna Union Total,19708,8.0,9.7,10.3,7.7,8.7,9.4,28.7,7.9,3.0,6.7,00111
47,40.0,XX.0,XXX,XX,XX,Dighalia Upazila Total,115585,9.1,11.1,12.0,9.7,9.4,9.1,25.5,6.7,2.8,4.6,00111
47,40.0,17.0,XXX,XX,XX,  Barakpur Union Total,22907,9.8,12.1,12.7,8.8,8.9,8.8,24.1,6.3,2.9,5.5,00111
