ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,7675,2501,5174,0,0,0,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,19828,15817,3963,44,4,0,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,11594,10871,717,6,0,0,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,31581,28092,3481,6,0,2,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,11977,10378,1596,3,0,0,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,46324,44793,1528,0,0,3,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,43079,41628,1424,26,1,0,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,27372,26530,842,0,0,0,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,12634,12041,592,1,0,0,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,16066,14996,1061,8,0,1,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,9019,242,8745,32,0,0,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,6264,6234,30,0,0,0,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,2707,2602,105,0,0,0,01110
41,23,XX,XXX,XX,03,  Jhikargachha Upazila,8665,8090,575,0,0,0,01110
41,38,XX,XXX,XX,03,  Keshabpur Upazila,7551,5772,1779,0,0,0,01110
41,47,XX,XXX,XX,03,  Jessore Sadar Upazila,35682,33148,2507,13,12,2,01110
41,90,XX,XXX,XX,03,  Sharsha Upazila,5084,4466,617,0,1,0,01110
1,14,XX,XXX,XX,03,  Chitalmari Upazila,1272,825,447,0,0,0,01110
1,34,XX,XXX,XX,03,  Fakirhat Upazila,26981,21944,5032,5,0,0,01110
1,38,XX,XXX,XX,03,  Kachua Upazila,9473,8665,804,4,0,0,01110
1,56,XX,XXX,XX,03,  Mollahat Upazila,12874,11944,930,0,0,0,01110
1,60,XX,XXX,XX,03,  Morrelganj Upazila,5389,5389,0,0,0,0,01110
1,73,XX,XXX,XX,03,  Rampal Upazila,1720,1293,420,7,0,0,01110
1,77,XX,XXX,XX,03,  Sarankhola Upazila,26971,25144,1826,1,0,0,01110
55,66,XX,XXX,XX,03,  Mohammadpur Upazila,10010,8650,1310,0,0,50,01110
55,85,XX,XXX,XX,03,  Shalikha Upazila,7155,5144,2003,8,0,0,01110
55,95,XX,XXX,XX,03,  Sreepur Upazila,4894,3608,1263,23,0,0,01110
50,15,XX,XXX,XX,03,  Bheramara Upazila,8623,8399,224,0,0,0,01110
50,39,XX,XXX,XX,03,  Daulatpur Upazila,19446,19285,161,0,0,0,01110
50,63,XX,XXX,XX,03,  Khoksa Upazila,4587,4206,377,0,0,4,01110
50,79,XX,XXX,XX,03,  Kushtia Sadar Upazila,5435,5284,148,2,0,1,01110
50,94,XX,XXX,XX,03,  Mirpur Upazila,10385,9726,659,0,0,0,01110
57,47,XX,XXX,XX,03,  Gangni Upazila,4739,4739,0,0,0,0,01110
57,60,XX,XXX,XX,03,  Mujib Nagar Upazila,10021,6571,133,3309,8,0,01110
87,04,XX,XXX,XX,03,  Assasuni Upazila,8585,7083,1416,1,0,85,01110
87,25,XX,XXX,XX,03,  Debhata Upazila,2781,2086,695,0,0,0,01110
87,43,XX,XXX,XX,03,  Kalaroa Upazila,2033,1963,58,0,0,12,01110
87,47,XX,XXX,XX,03,  Kaliganj Upazila,16863,14943,1911,9,0,0,01110
87,86,XX,XXX,XX,03,  Shyamnagar Upazila,17254,12405,4843,6,0,0,01110
87,90,XX,XXX,XX,03,  Tala Upazila,9528,8004,1506,17,1,0,01110
42,40,XX,XXX,XX,03,  Jhalokati Sadar Upazila,875,875,0,0,0,0,01110
42,43,XX,XXX,XX,03,  Kanthalia Upazila,10161,8344,1817,0,0,0,01110
42,84,XX,XXX,XX,03,  Rajapur Upazila,16133,15098,1035,0,0,0,01110
78,38,XX,XXX,XX,03,  Bauphal Upazila,5481,5314,167,0,0,0,01110
78,52,XX,XXX,XX,03,  Dashmina Upazila,19252,17324,1928,0,0,0,01110
78,55,XX,XXX,XX,03,  Dumki Upazila,12200,11613,549,28,6,4,01110
78,57,XX,XXX,XX,03,  Galachipa Upazila,4717,3973,744,0,0,0,01110
78,66,XX,XXX,XX,03,  Kala Para Upazila,8845,8243,527,2,73,0,01110
78,76,XX,XXX,XX,03,  Mirzaganj Upazila,22406,19887,2519,0,0,0,01110
78,95,XX,XXX,XX,03,  Patuakhali Sadar Upazila,4837,4253,584,0,0,0,01110
6,02,XX,XXX,XX,03,  Agailjhara Upazila,10857,5631,4535,691,0,0,01110
6,03,XX,XXX,XX,03,  Babuganj Upazila,9847,9177,664,2,0,4,01110
