ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
39,XX,XX,XXX,XX,XX,Jamalpur Zila Total,940081,432739,507342,369692,24197,3286,1255,7811,419938.0,51950,61952,11111
59,XX,XX,XXX,XX,XX,Munshiganj Zila Total,346647,163813,182834,133756,14063,1127,384,2178,135199.0,26752,33188,11111
35,XX,XX,XXX,XX,XX,Gopalganj Zila Total,243355,107702,135653,83818,4759,697,265,1777,101750.0,21410,28879,11111
82,XX,XX,XXX,XX,XX,Rajbari Zila Total,344575,159382,185193,138416,6346,596,285,1363,152217.0,19007,26345,11111
61,XX,XX,XXX,XX,XX,Mymensingh Zila Total,1691872,806160,885712,652745,41673,6676,2524,11401,700523.0,135338,140992,11111
67,XX,XX,XXX,XX,XX,Narayanganj Zila Total,666175,311839,354336,254095,71178,1845,903,2813,216439.0,53086,65816,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,695852,320185,375667,258899,92617,2528,1404,6323,219443.0,52435,62203,11111
56,XX,XX,XXX,XX,XX,Manikganj Zila Total,456156,196283,259873,167508,8505,982,341,2962,217619.0,24831,33408,11111
26,XX,XX,XXX,XX,XX,Dhaka Zila Total,2089797,991805,1097992,805865,320444,6905,3689,11085,565516.0,167950,208343,11111
86,XX,XX,XXX,XX,XX,Shariatpur Zila Total,327120,147298,179822,119598,7279,1095,440,2155,143604.0,24450,28499,11111
54,XX,XX,XXX,XX,XX,Madaripur Zila Total,321536,143375,178161,115652,10443,1240,538,3106,137326.0,23377,29854,11111
93,XX,XX,XXX,XX,XX,Tangail Zila Total,1237633,545367,692266,462557,25861,3416,1051,7311,574227.0,72083,91127,11111
48,XX,XX,XXX,XX,XX,Kishoreganj Zila Total,962961,453007,509954,361199,22010,3738,1237,6348,397311.0,81722,89396,11111
89,XX,XX,XXX,XX,XX,Sherpur Zila Total,535241,250982,284259,206803,16026,2674,1180,8232,229242.0,33273,37811,11111
68,XX,XX,XXX,XX,XX,Narsingdi Zila Total,612954,286273,326681,225922,19957,2061,715,3488,246909.0,54802,59100,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,695852,320185,375667,258899,92617,2528,1404,6323,219443.0,52435,62203,11111
90,XX,XX,XXX,XX,XX,Sunamganj Zila Total,887342,420794,466548,323216,23027,5846,1635,8518,300000.0,83214,99531,11111
36,XX,XX,XXX,XX,XX,Habiganj Zila Total,672736,307065,365671,234288,27815,4461,1361,6662,262571.0,61654,73924,11111
91,XX,XX,XXX,XX,XX,Sylhet Zila Total,871940,391419,480521,279240,32210,8112,2044,17727,336388.0,86340,109879,11111
58,XX,XX,XXX,XX,XX,Maulvibazar Zila Total,505088,223861,281227,164474,40218,4683,1448,7463,177546.0,47241,62015,11111
