ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,1908,1902,3,3,7675,3796,3879.0,98.0,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,4510,4472,8,30,19828,10040,9788.0,103.0,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,2687,2671,0,16,11594,5765,5829.0,99.0,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,7390,7370,9,11,31581,15859,15722.0,101.0,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,2693,2676,4,13,11977,6057,5920.0,102.0,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,11292,11267,6,19,46324,23162,23162.0,100.0,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,10455,10412,5,38,43079,21481,21598.0,99.0,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,6645,6611,0,34,27372,13697,13675.0,100.0,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,3114,3105,5,4,12634,6347,6287.0,101.0,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,3429,3427,0,2,16066,8022,8044.0,100.0,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,2052,2051,0,1,9019,4453,4566.0,98.0,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,1540,1539,1,0,6264,3124,3140.0,99.0,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,677,677,0,0,2707,1342,1365.0,98.0,01110
41,23,XX,XXX,XX,03,  Jhikargachha Upazila,2183,2181,1,1,8665,4326,4339.0,100.0,01110
41,38,XX,XXX,XX,03,  Keshabpur Upazila,1881,1880,1,0,7551,3806,3745.0,102.0,01110
41,47,XX,XXX,XX,03,  Jessore Sadar Upazila,8566,8478,17,71,35682,18084,17598.0,103.0,01110
41,90,XX,XXX,XX,03,  Sharsha Upazila,1237,1207,6,24,5084,2616,2468.0,106.0,01110
1,14,XX,XXX,XX,03,  Chitalmari Upazila,333,331,1,1,1272,630,642.0,98.0,01110
