ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,1387,506,881,293,70,1,0,108,617.0,104,194,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,4524,1935,2589,1576,165,8,4,17,1854.0,334,566,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,2540,1093,1447,847,90,17,2,10,1001.0,219,354,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,5479,2215,3264,1641,583,4,11,18,1804.0,552,866,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,3097,1509,1588,1150,33,51,10,18,1232.0,290,313,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,15312,7151,8161,6317,210,26,14,43,6917.0,765,1020,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,12256,5769,6487,4968,400,8,5,42,5096.0,751,986,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,7323,3480,3843,2881,131,9,8,19,2887.0,571,817,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,4044,1927,2117,1592,80,7,4,12,1589.0,316,444,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,5565,2747,2818,2217,86,25,18,32,2233.0,473,481,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,2042,722,1320,630,39,1,0,4,1093.0,87,188,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,2403,1163,1240,1066,5,4,0,4,1156.0,89,79,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,1207,585,622,482,29,2,2,4,482.0,97,109,01110
41,23,XX,XXX,XX,03,  Jhikargachha Upazila,2119,915,1204,782,11,13,3,4,1014.0,116,176,01110
41,38,XX,XXX,XX,03,  Keshabpur Upazila,1574,619,955,527,57,0,3,3,705.0,89,190,01110
41,47,XX,XXX,XX,03,  Jessore Sadar Upazila,6119,2670,3449,2021,617,2,7,23,1913.0,624,912,01110
41,90,XX,XXX,XX,03,  Sharsha Upazila,828,351,477,281,39,4,1,2,324.0,64,113,01110
1,14,XX,XXX,XX,03,  Chitalmari Upazila,74,36,38,23,2,0,0,4,26.0,9,10,01110
1,34,XX,XXX,XX,03,  Fakirhat Upazila,4622,2120,2502,1653,155,16,5,33,1722.0,418,620,01110
1,38,XX,XXX,XX,03,  Kachua Upazila,1314,633,681,508,45,4,8,7,418.0,114,210,01110
1,56,XX,XXX,XX,03,  Mollahat Upazila,2765,1321,1444,995,55,4,3,13,1026.0,309,360,01110
1,60,XX,XXX,XX,03,  Morrelganj Upazila,583,247,336,189,24,0,1,4,233.0,54,78,01110
1,73,XX,XXX,XX,03,  Rampal Upazila,156,62,94,46,17,0,0,4,61.0,12,16,01110
1,77,XX,XXX,XX,03,  Sarankhola Upazila,2885,1434,1451,1112,82,11,3,23,959.0,288,407,01110
55,66,XX,XXX,XX,03,  Mohammadpur Upazila,2183,992,1191,834,47,3,2,6,926.0,149,216,01110
55,85,XX,XXX,XX,03,  Shalikha Upazila,1511,718,793,529,36,0,0,4,623.0,185,134,01110
55,95,XX,XXX,XX,03,  Sreepur Upazila,861,346,515,289,38,1,2,5,375.0,51,100,01110
50,15,XX,XXX,XX,03,  Bheramara Upazila,2337,1154,1183,978,46,2,0,12,956.0,162,181,01110
50,39,XX,XXX,XX,03,  Daulatpur Upazila,6785,3194,3591,2706,158,13,7,83,2974.0,392,452,01110
50,63,XX,XXX,XX,03,  Khoksa Upazila,1483,669,814,602,81,3,1,7,657.0,57,75,01110
50,79,XX,XXX,XX,03,  Kushtia Sadar Upazila,791,335,456,285,58,2,1,3,316.0,45,81,01110
