0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
0,00,00,00,35,32,Gopalganj Paurashava,0,35,32,1,   ,  ,       ,Ward No-01 Total,00000
0,00,00,00,35,51,Kotalipara Paurashava,0,35,51,1,   ,  ,       ,Ward No-01 Total,00000
0,00,00,00,35,58,Muksudpur Paurashava,0,35,58,1,   ,  ,       ,Ward No-01 Total,00000
0,00,00,00,35,91,Tungipara Paurashava,0,35,91,1,   ,  ,       ,Ward No-01 Total,00000
