ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,XX,XX,XXX,XX,01, Khulna Zila,354843,147936,206907,117927,13404,919,503,1639,148668.0,27451,44332,11110
18,XX,XX,XXX,XX,01, Chuadanga Zila,280599,136447,144152,119894,4121,434,194,767,119968.0,15352,19869,11110
65,XX,XX,XXX,XX,01, Narail Zila,160151,71939,88212,58990,2335,387,150,799,69181.0,11763,16546,11110
44,XX,XX,XXX,XX,01, Jhenaidah Zila,485361,225850,259511,199133,6640,589,396,1820,217551.0,24308,34924,11110
41,XX,XX,XXX,XX,01, Jessore Zila,557762,245535,312227,210596,12210,642,494,2344,246181.0,31953,53342,11110
1,XX,XX,XXX,XX,01, Bagerhat Zila,229116,109177,119939,85702,5408,1157,322,2584,85536.0,19734,28673,11110
55,XX,XX,XXX,XX,01, Magura Zila,240482,108550,131932,93649,2985,312,181,1177,109402.0,13412,19364,11110
50,XX,XX,XXX,XX,01, Kushtia Zila,627086,299148,327938,264705,10939,1194,669,2633,277181.0,30616,39149,11110
57,XX,XX,XXX,XX,01, Meherpur Zila,211904,102347,109557,91261,2632,363,201,632,94669.0,10091,12055,11110
87,XX,XX,XXX,XX,01, Satkhira Zila,470196,194289,275907,162293,15299,899,562,2655,210394.0,28442,49652,11110
42,XX,XX,XXX,XX,01, Jhalokati Zila,73611,32510,41101,23434,1408,393,127,1338,29262.0,7345,10304,11110
78,XX,XX,XXX,XX,01, Patuakhali Zila,279438,124734,154704,96591,7179,1450,457,4279,116795.0,22414,30273,11110
6,XX,XX,XXX,XX,01, Barisal Zila,342205,158438,183767,122328,6159,1475,569,3364,135902.0,31271,41137,11110
79,XX,XX,XXX,XX,01, Pirojpur Zila,112377,53130,59247,37527,2550,625,155,3074,40287.0,11904,16255,11110
9,XX,XX,XXX,XX,01, Bhola Zila,487788,238544,249244,189589,7967,2979,1087,3058,195860.0,42918,44330,11110
4,XX,XX,XXX,XX,01, Barguna Zila,116028,51145,64883,37927,2334,858,252,3233,48195.0,9127,14102,11110
52,XX,XX,XXX,XX,01, Lalmonirhat Zila,362187,162238,199949,139173,10751,1213,583,4059,166480.0,17793,22135,11110
77,XX,XX,XXX,XX,01, Panchagarh Zila,248926,108880,140046,95975,9751,720,297,1420,113221.0,10765,16777,11110
85,XX,XX,XXX,XX,01, Rangpur Zila,847702,390316,457386,334200,21025,2613,1161,7580,381925.0,45923,53275,11110
49,XX,XX,XXX,XX,01, Kurigram Zila,665321,288989,376332,249190,13824,2128,903,5524,320555.0,32147,41050,11110
32,XX,XX,XXX,XX,01, Gaibandha Zila,831237,369732,461505,317677,15192,2311,1014,6725,393064.0,43019,52235,11110
73,XX,XX,XXX,XX,01, Nilphamari Zila,544741,248815,295926,214564,13001,2405,776,3110,249532.0,28736,32617,11110
94,XX,XX,XXX,XX,01, Thakurgaon Zila,358647,153450,205197,130893,10922,994,400,4186,168209.0,17377,25666,11110
27,XX,XX,XXX,XX,01, Dinajpur Zila,694064,309131,384933,271987,21837,1439,641,3718,318363.0,31987,44092,11110
10,XX,XX,XXX,XX,01, Bogra Zila,923011,417398,505613,363233,18070,1869,986,5804,426056.0,46492,60501,11110
88,XX,XX,XXX,XX,01, Sirajganj Zila,980363,452187,528176,389702,18592,1805,805,4455,440082.0,56225,68697,11110
81,XX,XX,XXX,XX,01, Rajshahi Zila,548125,249782,298343,216953,10788,1174,496,4910,250619.0,26745,36440,11110
64,XX,XX,XXX,XX,01, Naogaon Zila,732005,330818,401187,290787,16792,1666,624,4281,335377.0,34084,48394,11110
76,XX,XX,XXX,XX,01, Pabna Zila,763005,369122,393883,318346,15815,1778,759,4676,322995.0,44322,54314,11110
70,XX,XX,XXX,XX,01, Chapai Nawabganj Zila,459342,232688,226654,195296,7175,1127,392,2684,188950.0,33581,30137,11110
69,XX,XX,XXX,XX,01, Natore Zila,503698,235025,268673,205620,8400,873,453,3566,226581.0,24966,33239,11110
38,XX,XX,XXX,XX,01, Joypurhat Zila,221382,98170,123212,86044,4401,418,205,1646,104708.0,10062,13898,11110
13,XX,XX,XXX,XX,01, Chandpur Zila,400939,180275,220664,133246,5550,2081,564,3170,164112.0,41778,50438,11110
3,XX,XX,XXX,XX,01, Bandarban Zila,128460,61417,67043,50501,20199,716,394,2213,37257.0,7987,9193,11110
19,XX,XX,XXX,XX,01, Comilla Zila,1173313,510870,662443,368991,20583,7074,1724,12411,494541.0,122394,145595,11110
12,XX,XX,XXX,XX,01, Brahmanbaria Zila,740792,333946,406846,238379,17106,4566,1215,19301,312219.0,71700,76306,11110
51,XX,XX,XXX,XX,01, Lakshmipur Zila,363641,166845,196796,121666,6657,2397,733,2958,147955.0,39824,41451,11110
46,XX,XX,XXX,XX,01, Khagrachhari Zila,138484,58438,80046,47874,12106,693,284,1313,56494.0,8558,11162,11110
22,XX,XX,XXX,XX,01, Cox's Bazar Zila,609347,294853,314494,218356,15894,7180,1482,12158,237520.0,57159,59598,11110
15,XX,XX,XXX,XX,01, Chittagong Zila,1002757,437315,565442,309731,29804,8440,2037,20043,406331.0,99101,127270,11110
84,XX,XX,XXX,XX,01, Rangamati Zila,147571,61659,85912,47507,17575,546,301,5131,57316.0,8475,10720,11110
30,XX,XX,XXX,XX,01, Feni Zila,213046,84986,128060,61896,2758,1612,341,2527,98416.0,18951,26545,11110
75,XX,XX,XXX,XX,01, Noakhali Zila,617627,276222,341405,188270,11092,6171,1347,7990,250580.0,73791,78386,11110
29,XX,XX,XXX,XX,01, Faridpur Zila,512529,235971,276558,194463,9068,1554,592,3072,221955.0,36882,44943,11110
72,XX,XX,XXX,XX,01, Netrakona Zila,754723,362699,392024,293566,17882,2810,942,8753,307532.0,57570,65668,11110
