ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,12,35,XXX,XX,01,  Batiaghata Union,2802,2800,0,2,11785,5848,5937.0,99.0,00110
47,30,27,XXX,XX,01,  Dumuria Union,2125,2125,0,0,9414,4688,4726.0,99.0,00110
47,53,55,XXX,XX,01,  Koyra Union,5101,5090,2,9,21636,10562,11074.0,95.0,00110
47,69,38,XXX,XX,01,  Damodar Union,1859,1859,0,0,8291,4095,4196.0,98.0,00110
47,69,76,XXX,XX,01,  Phultala Union,5890,5884,2,4,24871,12414,12457.0,100.0,00110
47,94,27,XXX,XX,01,  Barasat Union,3722,3717,1,4,17061,8371,8690.0,96.0,00110
47,94,81,XXX,XX,01,  Terokhada Union,3869,3856,3,10,14986,7471,7515.0,99.0,00110
18,07,15,XXX,XX,01,  Baradi Union,4547,4545,1,1,18477,9258,9219.0,100.0,00110
18,07,23,XXX,XX,01,  Bhangabaria Union,6119,6119,0,0,23835,11992,11843.0,101.0,00110
18,07,27,XXX,XX,01,  Chithla Union,4796,4793,2,1,18891,9494,9397.0,101.0,00110
18,07,47,XXX,XX,01,  Hardi Union,4290,4287,0,3,17097,8620,8477.0,102.0,00110
18,07,55,XXX,XX,01,  Jamjami Union,3206,3206,0,0,12734,6326,6408.0,99.0,00110
18,07,63,XXX,XX,01,  Jehala Union,2884,2882,1,1,11831,5916,5915.0,100.0,00110
18,07,79,XXX,XX,01,  Khaskara Union,5476,5471,1,4,21963,10910,11053.0,99.0,00110
18,07,87,XXX,XX,01,  Kumari Union,2573,2572,0,1,10195,5182,5013.0,103.0,00110
18,23,11,XXX,XX,01,  Alokdia Union,642,641,0,1,2544,1263,1281.0,99.0,00110
18,23,47,XXX,XX,01,  Kutubpur Union,7906,7896,3,7,31279,15619,15660.0,100.0,00110
18,23,59,XXX,XX,01,  Mominpur Union,2349,2347,0,2,9635,4804,4831.0,99.0,00110
18,23,71,XXX,XX,01,  Shankar Chandra Union,10500,10498,1,1,42123,21159,20964.0,101.0,00110
18,23,83,XXX,XX,01,  Titudaha Union,9538,9530,2,6,37517,18674,18843.0,99.0,00110
18,31,11,XXX,XX,01,  Damurhuda Union,6515,6513,2,0,27111,13719,13392.0,102.0,00110
18,31,35,XXX,XX,01,  Howli Union,6602,6602,0,0,26971,13517,13454.0,100.0,00110
18,55,38,XXX,XX,01,  Banka Union,10396,10392,1,3,42816,21390,21426.0,100.0,00110
18,55,76,XXX,XX,01,  Uthali Union,10106,10102,2,2,41948,20873,21075.0,99.0,00110
65,28,14,XXX,XX,01,  Boranal Eliasabad Union,958,952,2,4,4129,2080,2049.0,102.0,00110
65,28,71,XXX,XX,01,  Mauli Union,3546,3543,2,1,15894,7857,8037.0,98.0,00110
65,28,87,XXX,XX,01,  Peruli Union,4550,4549,0,1,21295,10404,10891.0,96.0,00110
65,28,95,XXX,XX,01,  Salamabad Union,1271,1267,1,3,6211,3103,3108.0,100.0,00110
44,14,31,XXX,XX,01,  Daulatpur Union,4481,4480,1,0,17566,8744,8822.0,99.0,00110
44,19,73,XXX,XX,01,  Paglakanai Union,3836,3815,6,15,15172,7623,7549.0,101.0,00110
41,23,25,XXX,XX,01,  Bankra Union,4841,4841,0,0,19436,9456,9980.0,95.0,00110
41,23,35,XXX,XX,01,  Gadkhali Union,5684,5672,2,10,23542,11680,11862.0,98.0,00110
41,23,47,XXX,XX,01,  Jhikargachha Union,6118,6107,6,5,26056,13190,12866.0,103.0,00110
41,23,71,XXX,XX,01,  Panisara Union,4776,4773,0,3,20409,10012,10397.0,96.0,00110
41,38,28,XXX,XX,01,  Keshabpur Union,3510,3508,0,2,14681,7419,7262.0,102.0,00110
41,38,38,XXX,XX,01,  Majidpur Union,5347,5342,1,4,22069,11124,10945.0,102.0,00110
41,47,23,XXX,XX,01,  Chanchra Union,7899,7880,5,14,34448,17444,17004.0,103.0,00110
41,47,41,XXX,XX,01,  Fathehpur Union,8976,8891,30,55,38205,19243,18962.0,101.0,00110
41,90,86,XXX,XX,01,  Sharsha Union,9366,9351,6,9,39721,19598,20123.0,97.0,00110
