ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
47.0,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,1219480,808237,660622,366493,558858,441744,60.1,64.3,55.9,00111
47.0,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,82297,67603,44602,30955,37695,36648,54.9,59.0,50.7,00111
47.0,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,6895,7057,3536,3521,3359,3536,49.4,50.1,48.7,00111
47.0,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,6628,7806,3389,3845,3239,3961,45.9,46.8,45.0,00111
47.0,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,11169,6340,6118,2570,5051,3770,63.8,70.4,57.3,00111
47.0,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,6591,7042,3474,3337,3117,3705,48.3,51.0,45.7,00111
47.0,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,10165,6124,5617,2404,4548,3720,62.4,70.0,55.0,00111
47.0,12.0,71.0,XXX,XX,XX,  Jalma Union Total,29289,22144,16170,10513,13119,11631,56.9,60.6,53.0,00111
47.0,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,11560,11090,6298,4765,5262,6325,51.0,56.9,45.4,00111
47.0,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,75656,59440,42545,25049,33111,34391,56.0,62.9,49.1,00111
47.0,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,503,379,279,163,224,216,57.0,63.1,50.9,00111
47.0,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,633,559,343,232,290,327,53.1,59.7,47.0,00111
47.0,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,1037,433,527,167,510,266,70.5,75.9,65.7,00111
47.0,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,516,532,275,243,241,289,49.2,53.1,45.5,00111
47.0,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,894,364,460,155,434,209,71.1,74.8,67.5,00111
47.0,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,621,310,363,139,258,171,66.7,72.3,60.1,00111
47.0,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,1227,471,697,170,530,301,72.3,80.4,63.8,00111
47.0,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,1763,673,955,275,808,398,72.4,77.6,67.0,00111
47.0,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,992,788,566,327,426,461,55.7,63.4,48.0,00111
