ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
82,XX,XX,XXX,XX,02, Rajbari Zila,20209,8506,11703,6746,711,41,18,96,8632.0,1623,2342,11110
61,XX,XX,XXX,XX,02, Mymensingh Zila,107990,50626,57364,36909,5724,395,175,597,37807.0,12725,13658,11110
67,XX,XX,XXX,XX,02, Narayanganj Zila,179192,82008,97184,66348,25287,465,257,680,52650.0,14515,18990,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,187505,87802,99703,69589,37623,646,425,1232,43487.0,16335,18168,11110
56,XX,XX,XXX,XX,02, Manikganj Zila,19546,8368,11178,6679,876,45,13,90,8412.0,1554,1877,11110
26,XX,XX,XXX,XX,02, Dhaka Zila,1124253,536619,587634,433931,218404,3816,2137,5514,250806.0,93358,116287,11110
86,XX,XX,XXX,XX,02, Shariatpur Zila,22711,9928,12783,7643,401,89,29,99,9714.0,2097,2639,11110
54,XX,XX,XXX,XX,02, Madaripur Zila,20186,8446,11740,6187,859,75,40,305,8242.0,1879,2599,11110
93,XX,XX,XXX,XX,02, Tangail Zila,109618,48381,61237,39802,3985,354,135,610,46816.0,7615,10301,11110
48,XX,XX,XXX,XX,02, Kishoreganj Zila,93509,42999,50510,32391,3772,325,103,662,35299.0,9621,11336,11110
89,XX,XX,XXX,XX,02, Sherpur Zila,54057,25153,28904,20148,2624,248,103,362,21078.0,4395,5099,11110
68,XX,XX,XXX,XX,02, Narsingdi Zila,67510,32089,35421,24454,4344,216,91,275,23035.0,7144,7951,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,187505,87802,99703,69589,37623,646,425,1232,43487.0,16335,18168,11110
90,XX,XX,XXX,XX,02, Sunamganj Zila,43388,20146,23242,14814,2334,293,145,282,14638.0,4757,6125,11110
36,XX,XX,XXX,XX,02, Habiganj Zila,34782,15185,19597,11233,1431,207,85,227,13352.0,3518,4729,11110
91,XX,XX,XXX,XX,02, Sylhet Zila,106545,48006,58539,35675,8576,658,261,1192,34259.0,10481,15443,11110
58,XX,XX,XXX,XX,02, Maulvibazar Zila,26637,12209,14428,9025,1656,151,69,227,9119.0,2806,3584,11110
