ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Source of Drinking Water (%)-Tap,Source of Drinking Water (%)-Tube-Well,Source of Drinking Water (%)-Other,Electricity Connection (%),Housing Tenancy (%)-Owned,Housing Tenancy (%)-Rented,Housing Tenancy (%)-Rent free,check_var
47.0,XX.0,XX.0,XXX,XX,02, Khulna Zila,159330,5.4,92.4,2.2,94.2,35.1,58.8,6.1,00110
47.0,17.0,XX.0,XXX,XX,02,  Dacope Upazila,3374,0.1,41.5,58.4,62.2,73.0,17.3,9.7,00110
47.0,21.0,XX.0,XXX,XX,02,  Daulatpur Thana,22940,2.2,96.9,0.8,95.2,48.6,44.1,7.3,00110
47.0,45.0,XX.0,XXX,XX,02,  Khalishpur Thana,37557,5.7,94.0,0.3,96.1,33.1,62.1,4.8,00110
47.0,48.0,XX.0,XXX,XX,02,  Khan Jahan Ali Thana,1088,23.0,76.8,0.2,93.4,4.7,86.7,8.6,00110
47.0,51.0,XX.0,XXX,XX,02,  Khulna Sadar Thana,52334,5.8,93.6,0.6,94.7,30.0,62.6,7.5,00110
47.0,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,3744,10.1,86.1,3.7,73.6,67.8,29.0,3.2,00110
47.0,85.0,XX.0,XXX,XX,02,  Sonadanga Thana,38293,5.9,92.2,1.9,95.9,30.2,64.9,4.9,00110
18.0,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,42909,16.3,82.1,1.6,74.3,80.0,14.6,5.3,00110
18.0,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,8008,4.3,92.8,3.0,61.5,75.5,15.8,8.7,00110
18.0,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,20311,32.1,66.9,1.0,81.8,79.0,15.8,5.2,00110
18.0,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,7944,1.2,96.9,1.9,67.8,80.4,14.3,5.3,00110
18.0,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,6646,0.6,98.1,1.2,74.8,88.0,10.2,1.7,00110
65.0,XX.0,XX.0,XXX,XX,02, Narail Zila,20218,7.8,91.8,0.4,75.3,75.5,19.4,5.1,00110
65.0,28.0,XX.0,XXX,XX,02,  Kalia Upazila,4481,2.5,96.9,0.6,67.2,87.7,7.1,5.2,00110
65.0,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,5905,2.2,97.2,0.6,69.1,79.5,17.1,3.4,00110
65.0,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,9832,13.5,86.2,0.3,82.7,67.5,26.5,6.1,00110
44.0,XX.0,XX.0,XXX,XX,02, Jhenaidah Zila,63920,14.5,83.6,1.9,81.4,78.1,18.8,3.0,00110
44.0,14.0,XX.0,XXX,XX,02,  Harinakundu Upazila,5366,0.9,94.6,4.5,66.0,90.7,5.8,3.4,00110
44.0,19.0,XX.0,XXX,XX,02,  Jhenaidah Sadar Upazila,24964,25.4,73.5,1.0,89.4,67.5,29.7,2.8,00110
44.0,33.0,XX.0,XXX,XX,02,  Kaliganj Upazila,10535,5.8,92.2,1.9,84.7,74.8,22.2,3.0,00110
44.0,42.0,XX.0,XXX,XX,02,  Kotchandpur Upazila,7921,14.1,84.7,1.2,80.2,84.4,11.2,4.4,00110
44.0,71.0,XX.0,XXX,XX,02,  Maheshpur Upazila,6647,11.5,88.0,0.5,81.4,90.6,6.8,2.6,00110
44.0,80.0,XX.0,XXX,XX,02,  Shailkupa Upazila,8487,4.7,91.2,4.1,64.7,89.7,7.5,2.7,00110
41.0,XX.0,XX.0,XXX,XX,02, Jessore Zila,104340,4.1,95.5,0.4,87.3,56.8,37.5,5.7,00110
41.0,4.0,XX.0,XXX,XX,02,  Abhaynagar Upazila,21063,3.0,96.2,0.8,88.5,59.2,31.7,9.0,00110
41.0,9.0,XX.0,XXX,XX,02,  Bagherpara Upazila,1915,3.3,96.3,0.4,74.1,85.6,10.7,3.8,00110
41.0,11.0,XX.0,XXX,XX,02,  Chaugachha Upazila,5103,7.9,91.6,0.5,69.1,78.1,18.7,3.1,00110
41.0,23.0,XX.0,XXX,XX,02,  Jhikargachha Upazila,7873,2.2,96.9,0.9,78.4,67.6,20.6,11.8,00110
41.0,38.0,XX.0,XXX,XX,02,  Keshabpur Upazila,6293,0.2,99.4,0.4,66.3,83.5,15.0,1.5,00110
41.0,47.0,XX.0,XXX,XX,02,  Jessore Sadar Upazila,46608,6.2,93.5,0.3,97.4,41.2,55.3,3.6,00110
41.0,61.0,XX.0,XXX,XX,02,  Manirampur Upazila,6956,0.6,99.0,0.4,70.7,77.9,16.4,5.6,00110
41.0,90.0,XX.0,XXX,XX,02,  Sharsha Upazila,8529,0.4,99.5,0.1,80.5,70.2,21.9,8.0,00110
1.0,XX.0,XX.0,XXX,XX,02, Bagerhat Zila,25443,52.3,6.2,41.5,84.5,52.7,42.0,5.3,00110
1.0,8.0,XX.0,XXX,XX,02,  Bagerhat Sadar Upazila,11820,94.7,3.2,2.1,93.1,41.4,55.0,3.6,00110
1.0,58.0,XX.0,XXX,XX,02,  Mongla Upazila,8615,23.1,0.4,76.5,80.2,52.1,38.5,9.3,00110
1.0,60.0,XX.0,XXX,XX,02,  Morrelganj Upazila,5008,2.2,23.6,74.2,71.7,80.1,17.3,2.6,00110
55.0,XX.0,XX.0,XXX,XX,02, Magura Zila,21920,10.4,87.8,1.8,76.5,75.5,20.6,3.8,00110
55.0,57.0,XX.0,XXX,XX,02,  Magura Sadar Upazila,21920,10.4,87.8,1.8,76.5,75.5,20.6,3.8,00110
