ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,General Households,Percentage of Households comprising-1 person,Percentage of Households comprising-2 persons,Percentage of Households comprising-3 persons,Percentage of Households comprising-4 persons,Percentage of Households comprising-5 persons,Percentage of Households comprising-6 persons,Percentage of Households comprising-7 persons,Percentage of Households comprising-8+ persons,Average size of Household,check_var
47,XX.0,XX.0,XXX,XX,02, Khulna Zila,159330,4.1,11.6,23.4,27.1,16.5,8.6,4.0,4.7,4.1,00110
47,17.0,XX.0,XXX,XX,02,  Dacope Upazila,3374,4.8,12.2,24.8,27.6,16.0,7.1,3.8,3.7,4.0,00110
47,21.0,XX.0,XXX,XX,02,  Daulatpur Thana,22940,3.9,11.7,23.1,27.2,16.7,8.7,4.0,4.6,4.1,00110
47,45.0,XX.0,XXX,XX,02,  Khalishpur Thana,37557,4.7,12.3,22.8,26.6,16.5,8.5,4.0,4.5,4.1,00110
47,48.0,XX.0,XXX,XX,02,  Khan Jahan Ali Thana,1088,6.3,13.6,24.5,27.1,15.2,7.8,2.8,2.6,3.8,00110
47,51.0,XX.0,XXX,XX,02,  Khulna Sadar Thana,52334,4.1,11.8,24.1,27.1,16.0,8.5,3.9,4.5,4.1,00110
47,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,3744,3.3,9.5,24.9,28.7,17.1,7.8,4.3,4.4,4.2,00110
47,85.0,XX.0,XXX,XX,02,  Sonadanga Thana,38293,3.4,10.9,22.7,27.4,17.0,8.9,4.3,5.4,4.2,00110
18,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,42909,3.4,12.1,23.7,28.8,16.8,8.0,3.5,3.5,4.0,00110
18,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,8008,4.1,13.3,25.4,28.4,14.8,7.8,3.0,3.1,3.9,00110
18,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,20311,3.0,11.1,22.8,29.6,17.5,8.4,3.8,3.7,4.1,00110
18,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,7944,3.6,11.0,22.1,28.1,18.0,8.6,4.1,4.6,4.2,00110
18,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,6646,3.8,15.2,26.6,27.8,15.6,6.5,2.5,2.0,3.8,00110
65,XX.0,XX.0,XXX,XX,02, Narail Zila,20218,3.3,10.8,22.4,27.4,17.6,9.1,4.4,5.0,4.2,00110
65,28.0,XX.0,XXX,XX,02,  Kalia Upazila,4481,3.5,10.2,20.0,25.0,19.5,10.5,5.5,5.7,4.3,00110
65,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,5905,3.2,10.7,22.3,27.7,17.3,8.8,4.8,5.3,4.2,00110
65,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,9832,3.3,11.1,23.6,28.2,16.9,8.7,3.6,4.6,4.1,00110
44,XX.0,XX.0,XXX,XX,02, Jhenaidah Zila,63920,2.9,11.0,22.9,29.2,17.7,8.4,3.8,4.2,4.1,00110
44,14.0,XX.0,XXX,XX,02,  Harinakundu Upazila,5366,3.4,12.4,21.6,29.6,17.6,8.1,3.9,3.5,4.1,00110
44,19.0,XX.0,XXX,XX,02,  Jhenaidah Sadar Upazila,24964,3.1,11.4,23.2,28.7,17.2,8.2,3.9,4.3,4.1,00110
44,33.0,XX.0,XXX,XX,02,  Kaliganj Upazila,10535,2.5,10.3,22.6,29.5,18.1,8.4,3.7,4.8,4.2,00110
44,42.0,XX.0,XXX,XX,02,  Kotchandpur Upazila,7921,2.6,10.6,22.5,30.1,17.8,8.3,3.8,4.2,4.2,00110
44,71.0,XX.0,XXX,XX,02,  Maheshpur Upazila,6647,1.9,10.0,24.4,30.4,18.3,8.2,3.5,3.2,4.1,00110
44,80.0,XX.0,XXX,XX,02,  Shailkupa Upazila,8487,3.3,11.1,22.5,28.5,18.0,9.0,3.6,4.1,4.1,00110
41,XX.0,XX.0,XXX,XX,02, Jessore Zila,104340,3.8,11.6,23.4,28.1,16.6,8.2,3.9,4.5,4.1,00110
41,4.0,XX.0,XXX,XX,02,  Abhaynagar Upazila,21063,5.1,12.9,23.2,27.4,16.3,7.9,3.7,3.5,4.0,00110
41,9.0,XX.0,XXX,XX,02,  Bagherpara Upazila,1915,3.9,8.7,22.1,29.5,17.7,9.1,5.0,4.2,4.2,00110
41,11.0,XX.0,XXX,XX,02,  Chaugachha Upazila,5103,2.8,9.9,23.0,29.9,18.4,8.6,3.6,3.8,4.1,00110
41,23.0,XX.0,XXX,XX,02,  Jhikargachha Upazila,7873,2.7,11.2,23.9,28.3,17.1,8.9,4.0,3.9,4.1,00110
41,38.0,XX.0,XXX,XX,02,  Keshabpur Upazila,6293,2.8,10.8,23.3,29.2,17.8,8.6,3.6,3.8,4.1,00110
41,47.0,XX.0,XXX,XX,02,  Jessore Sadar Upazila,46608,3.9,11.8,23.5,27.8,15.7,7.9,4.1,5.3,4.1,00110
41,61.0,XX.0,XXX,XX,02,  Manirampur Upazila,6956,3.3,11.7,24.7,29.7,16.9,7.7,3.1,2.9,4.0,00110
41,90.0,XX.0,XXX,XX,02,  Sharsha Upazila,8529,2.9,9.2,22.9,27.8,18.7,9.3,4.3,4.9,4.2,00110
01,XX.0,XX.0,XXX,XX,02, Bagerhat Zila,25443,4.9,12.2,23.3,26.3,16.2,8.3,4.2,4.7,4.1,00110
01,8.0,XX.0,XXX,XX,02,  Bagerhat Sadar Upazila,11820,5.9,12.8,24.0,27.4,15.3,6.9,3.5,4.2,3.9,00110
01,58.0,XX.0,XXX,XX,02,  Mongla Upazila,8615,4.2,11.8,23.0,25.5,16.3,9.5,4.7,5.1,4.2,00110
01,60.0,XX.0,XXX,XX,02,  Morrelganj Upazila,5008,3.6,11.6,22.2,25.0,18.2,9.6,4.8,5.0,4.2,00110
55,XX.0,XX.0,XXX,XX,02, Magura Zila,21920,2.9,9.8,20.8,28.0,18.5,9.9,4.5,5.7,4.3,00110
55,57.0,XX.0,XXX,XX,02,  Magura Sadar Upazila,21920,2.9,9.8,20.8,28.0,18.5,9.9,4.5,5.7,4.3,00110
50,XX.0,XX.0,XXX,XX,02, Kushtia Zila,42344,3.4,11.5,23.1,28.4,16.7,7.8,4.1,4.9,4.2,00110
50,15.0,XX.0,XXX,XX,02,  Bheramara Upazila,5204,3.8,11.0,23.3,28.2,15.9,8.0,4.3,5.5,4.2,00110
50,63.0,XX.0,XXX,XX,02,  Khoksa Upazila,4075,2.7,10.0,21.4,27.7,18.9,9.4,4.9,5.0,4.3,00110
50,71.0,XX.0,XXX,XX,02,  Kumarkhali Upazila,5251,3.5,11.4,21.8,30.1,16.9,7.8,4.2,4.4,4.1,00110
50,79.0,XX.0,XXX,XX,02,  Kushtia Sadar Upazila,22338,3.5,11.9,23.2,27.7,16.5,7.9,4.0,5.4,4.2,00110
50,94.0,XX.0,XXX,XX,02,  Mirpur Upazila,5476,3.1,11.3,25.4,30.7,16.6,6.5,3.5,3.0,4.0,00110
57,XX.0,XX.0,XXX,XX,02, Meherpur Zila,16704,3.8,12.1,25.4,28.8,15.5,7.3,3.4,3.7,4.0,00110
57,47.0,XX.0,XXX,XX,02,  Gangni Upazila,6441,3.2,12.0,28.1,29.8,15.0,6.3,2.7,2.9,3.9,00110
57,87.0,XX.0,XXX,XX,02,  Meherpur Sadar Upazila,10263,4.2,12.1,23.8,28.2,15.9,7.9,3.8,4.1,4.0,00110
87,XX.0,XX.0,XXX,XX,02, Satkhira Zila,33093,3.5,11.7,23.9,28.2,16.4,8.2,3.9,4.3,4.1,00110
87,43.0,XX.0,XXX,XX,02,  Kalaroa Upazila,6537,2.8,11.6,23.4,28.9,17.4,8.2,3.6,4.1,4.1,00110
87,82.0,XX.0,XXX,XX,02,  Satkhira Sadar Upazila,26556,3.6,11.7,24.0,28.0,16.1,8.2,4.0,4.4,4.1,00110
42,XX.0,XX.0,XXX,XX,02, Jhalokati Zila,19260,3.8,10.1,21.0,26.7,18.1,9.6,5.2,5.6,4.3,00110
42,40.0,XX.0,XXX,XX,02,  Jhalokati Sadar Upazila,12234,3.5,9.7,22.2,28.1,17.2,9.1,4.8,5.4,4.3,00110
42,73.0,XX.0,XXX,XX,02,  Nalchity Upazila,7026,4.4,10.8,18.9,24.2,19.6,10.3,5.9,6.0,4.4,00110
78,XX.0,XX.0,XXX,XX,02, Patuakhali Zila,27258,4.0,10.9,20.7,25.9,17.5,9.6,5.0,6.4,4.3,00110
78,38.0,XX.0,XXX,XX,02,  Bauphal Upazila,2509,3.3,8.8,19.7,26.5,16.7,12.0,5.9,7.2,4.5,00110
78,38.0,XX.0,XXX,XX,02,Bauphal Paurashava,2509,3.3,8.8,19.7,26.5,16.7,12.0,5.9,7.2,4.5,00110
78,57.0,XX.0,XXX,XX,02,  Galachipa Upazila,4928,5.1,10.5,20.7,26.4,16.7,10.4,4.3,6.0,4.3,00110
78,57.0,XX.0,XXX,XX,02,Galachipa  Paurashava,4928,5.1,10.5,20.7,26.4,16.7,10.4,4.3,6.0,4.3,00110
78,66.0,XX.0,XXX,XX,02,  Kala Para Upazila,6319,3.8,13.9,24.2,25.5,16.8,8.0,3.7,4.1,4.0,00110
78,95.0,XX.0,XXX,XX,02,  Patuakhali Sadar Upazila,13502,3.8,10.0,19.2,25.8,18.3,9.7,5.6,7.5,4.4,00110
78,95.0,XX.0,XXX,XX,02,Patuakhali Paurashava,13502,3.8,10.0,19.2,25.8,18.3,9.7,5.6,7.5,4.4,00110
06,XX.0,XX.0,XXX,XX,02, Barisal Zila,96582,3.1,9.4,20.2,26.1,19.1,10.6,5.5,6.1,4.4,00110
06,7.0,XX.0,XXX,XX,02,  Bakerganj Upazila,3383,3.0,10.0,18.3,24.2,18.9,11.9,6.2,7.5,4.5,00110
06,7.0,XX.0,XXX,XX,02,Bakerganj  Paurashava,3383,3.0,10.0,18.3,24.2,18.9,11.9,6.2,7.5,4.5,00110
06,10.0,XX.0,XXX,XX,02,  Banari Para Upazila,2342,3.7,10.5,23.1,28.1,17.3,8.9,3.9,4.6,4.2,00110
06,10.0,XX.0,XXX,XX,02,Banari Para  Paurashava,2342,3.7,10.5,23.1,28.1,17.3,8.9,3.9,4.6,4.2,00110
06,32.0,XX.0,XXX,XX,02,  Gaurnadi Upazila,9273,3.9,8.6,18.8,24.6,19.5,12.0,6.1,6.5,4.5,00110
06,32.0,XX.0,XXX,XX,02,Gaurnadi  Paurashava,9273,3.9,8.6,18.8,24.6,19.5,12.0,6.1,6.5,4.5,00110
06,51.0,XX.0,XXX,XX,02,  Barisal Sadar Upazila,70798,2.9,9.7,20.9,26.7,18.8,10.0,5.2,5.8,4.4,00110
06,51.0,XX.0,XXX,XX,02,  Barisal City Corporation,70798,2.9,9.7,20.9,26.7,18.8,10.0,5.2,5.8,4.4,00110
06,62.0,XX.0,XXX,XX,02,  Mehendiganj Upazila,6310,2.7,7.3,16.4,23.7,21.3,13.1,7.3,8.0,4.7,00110
06,62.0,XX.0,XXX,XX,02,Mhendiganj  Paurashava,6310,2.7,7.3,16.4,23.7,21.3,13.1,7.3,8.0,4.7,00110
06,69.0,XX.0,XXX,XX,02,  Muladi Upazila,4476,5.3,9.1,18.6,23.1,19.5,11.8,6.3,6.3,4.4,00110
06,69.0,XX.0,XXX,XX,02,Muladi Paurashava,4476,5.3,9.1,18.6,23.1,19.5,11.8,6.3,6.3,4.4,00110
79,XX.0,XX.0,XXX,XX,02, Pirojpur Zila,21695,3.8,10.2,20.8,26.4,18.5,9.5,4.9,5.9,4.3,00110
79,58.0,XX.0,XXX,XX,02,  Mathbaria Upazila,4254,2.4,11.1,23.5,26.9,17.1,9.1,4.4,5.5,4.2,00110
79,58.0,XX.0,XXX,XX,02,Mathbaria  Paurashava,4254,2.4,11.1,23.5,26.9,17.1,9.1,4.4,5.5,4.2,00110
79,80.0,XX.0,XXX,XX,02,  Pirojpur Sadar Upazila,13507,4.2,10.1,20.7,26.7,18.6,9.4,4.7,5.6,4.3,00110
79,80.0,XX.0,XXX,XX,02,Pirojpur  Paurashava,13507,4.2,10.1,20.7,26.7,18.6,9.4,4.7,5.6,4.3,00110
79,87.0,XX.0,XXX,XX,02,  Nesarabad Upazila,3934,4.1,9.4,18.5,24.6,19.7,10.5,5.9,7.3,4.5,00110
79,87.0,XX.0,XXX,XX,02,Swarupkati  Paurashava,3934,4.1,9.4,18.5,24.6,19.7,10.5,5.9,7.3,4.5,00110
09,XX.0,XX.0,XXX,XX,02, Bhola Zila,23467,2.2,6.5,15.8,24.9,21.2,13.2,7.3,9.0,4.8,00110
09,18.0,XX.0,XXX,XX,02,  Bhola Sadar Upazila,9445,2.5,7.1,17.0,25.5,20.6,12.3,6.8,8.2,4.7,00110
09,21.0,XX.0,XXX,XX,02,  Burhanuddin Upazila,2604,2.5,6.6,15.2,23.5,22.0,13.5,6.5,10.1,4.9,00110
09,25.0,XX.0,XXX,XX,02,  Char Fasson Upazila,4025,1.7,6.2,16.2,26.7,21.5,12.9,6.9,7.9,4.8,00110
09,29.0,XX.0,XXX,XX,02,  Daulat Khan Upazila,3203,1.7,5.3,13.5,21.5,20.6,15.7,9.2,12.4,5.2,00110
09,54.0,XX.0,XXX,XX,02,  Lalmohan Upazila,4190,2.1,6.2,14.9,25.3,22.0,13.4,7.8,8.3,4.8,00110
04,XX.0,XX.0,XXX,XX,02, Barguna Zila,17929,3.9,11.7,22.9,27.7,16.6,8.8,4.1,4.3,4.1,00110
04,9.0,XX.0,XXX,XX,02,  Amtali Upazila,4034,2.7,10.7,21.5,28.2,17.9,9.8,4.5,4.9,4.3,00110
04,9.0,XX.0,XXX,XX,02,Amtali  Paurashava,4034,2.7,10.7,21.5,28.2,17.9,9.8,4.5,4.9,4.3,00110
04,28.0,XX.0,XXX,XX,02,  Barguna Sadar Upazila,7056,4.0,10.9,22.1,27.3,17.0,9.1,4.6,5.1,4.2,00110
04,28.0,XX.0,XXX,XX,02,Barguna  Paurashava,7056,4.0,10.9,22.1,27.3,17.0,9.1,4.6,5.1,4.2,00110
04,47.0,XX.0,XXX,XX,02,  Betagi Upazila,2520,6.5,12.4,21.8,25.8,16.7,8.9,4.1,3.8,4.0,00110
04,47.0,XX.0,XXX,XX,02,Betagi  Paurashava,2520,6.5,12.4,21.8,25.8,16.7,8.9,4.1,3.8,4.0,00110
04,85.0,XX.0,XXX,XX,02,  Patharghata Upazila,4319,3.5,13.6,26.1,29.2,14.8,7.4,2.8,2.6,3.9,00110
04,85.0,XX.0,XXX,XX,02,Patharghata  Paurashava,4319,3.5,13.6,26.1,29.2,14.8,7.4,2.8,2.6,3.9,00110
52,XX.0,XX.0,XXX,XX,02, Lalmonirhat Zila,20103,3.6,9.5,19.3,25.7,18.9,11.3,5.7,6.0,4.4,00110
52,55.0,XX.0,XXX,XX,02,  Lalmonirhat Sadar Upazila,13772,4.1,10.2,21.2,26.9,17.9,10.0,4.5,5.1,4.2,00110
52,55.0,XX.0,XXX,XX,02,Lalmonirhat  Paurashava,13772,4.1,10.2,21.2,26.9,17.9,10.0,4.5,5.1,4.2,00110
52,70.0,XX.0,XXX,XX,02,  Patgram Upazila,6331,2.6,7.9,15.3,23.0,21.0,14.1,8.2,8.0,4.8,00110
52,70.0,XX.0,XXX,XX,02,Patgram  Paurashava,6331,2.6,7.9,15.3,23.0,21.0,14.1,8.2,8.0,4.8,00110
77,XX.0,XX.0,XXX,XX,02, Panchagarh Zila,13891,3.2,9.9,22.5,28.1,17.9,9.0,4.5,4.9,4.2,00110
77,25.0,XX.0,XXX,XX,02,  Boda Upazila,3922,3.7,14.4,26.0,31.3,15.0,5.9,2.2,1.5,3.7,00110
77,73.0,XX.0,XXX,XX,02,  Panchagarh Sadar Upazila,9969,3.0,8.1,21.1,26.8,19.0,10.3,5.4,6.3,4.4,00110
85,XX.0,XX.0,XXX,XX,02, Rangpur Zila,84022,3.8,10.7,21.9,26.6,17.9,9.1,4.6,5.4,4.2,00110
85,3.0,XX.0,XXX,XX,02,  Badarganj Upazila,6215,4.4,13.3,23.1,26.6,17.3,7.7,3.7,3.8,4.0,00110
85,3.0,XX.0,XXX,XX,02,Badarganj  Paurashava,6215,4.4,13.3,23.1,26.6,17.3,7.7,3.7,3.8,4.0,00110
85,42.0,XX.0,XXX,XX,02,  Kaunia Upazila,14699,5.3,11.7,21.2,24.0,18.0,10.0,5.0,4.7,4.2,00110
85,42.0,XX.0,XXX,XX,02,Haragachh (Kaunia)  Paurashava,14699,5.3,11.7,21.2,24.0,18.0,10.0,5.0,4.7,4.2,00110
85,49.0,XX.0,XXX,XX,02,  Rangpur Sadar Upazila,63108,3.4,10.2,22.0,27.1,17.9,9.1,4.6,5.7,4.3,00110
49,XX.0,XX.0,XXX,XX,02, Kurigram Zila,43503,4.6,11.4,22.0,27.2,17.3,8.7,4.2,4.7,4.1,00110
49,52.0,XX.0,XXX,XX,02,  Kurigram Sadar Upazila,16785,3.9,9.7,20.5,26.5,18.3,9.7,5.0,6.3,4.4,00110
49,52.0,XX.0,XXX,XX,02,Kurigram  Paurashava,16785,3.9,9.7,20.5,26.5,18.3,9.7,5.0,6.3,4.4,00110
49,61.0,XX.0,XXX,XX,02,  Nageshwari Upazila,15234,5.3,12.3,22.3,27.3,16.6,8.3,3.9,4.1,4.0,00110
49,61.0,XX.0,XXX,XX,02,Nageshwari Paurashava,15234,5.3,12.3,22.3,27.3,16.6,8.3,3.9,4.1,4.0,00110
49,94.0,XX.0,XXX,XX,02,  Ulipur Upazila,11484,4.5,12.5,24.0,28.1,16.6,7.7,3.3,3.3,4.0,00110
49,94.0,XX.0,XXX,XX,02,Ulipur  Paurashava,11484,4.5,12.5,24.0,28.1,16.6,7.7,3.3,3.3,4.0,00110
32,XX.0,XX.0,XXX,XX,02, Gaibandha Zila,28995,4.1,11.3,22.8,28.1,17.5,8.0,3.8,4.4,4.1,00110
32,24.0,XX.0,XXX,XX,02,  Gaibandha Sadar Upazila,15111,3.9,10.3,21.4,27.3,18.1,9.0,4.4,5.6,4.3,00110
