ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,12,35,XXX,XX,03,  Batiaghata Union,171,173,89,118,73,56,202,308,18,7,298,399,00110
47,30,27,XXX,XX,03,  Dumuria Union,507,406,344,496,176,86,619,1003,31,9,852,1085,00110
47,53,55,XXX,XX,03,  Koyra Union,248,259,289,324,49,28,363,632,11,3,477,546,00110
47,69,38,XXX,XX,03,  Damodar Union,757,618,476,573,229,184,903,1385,47,22,1286,1508,00110
47,69,76,XXX,XX,03,  Phultala Union,70,76,73,62,25,19,72,149,7,3,143,164,00110
47,94,27,XXX,XX,03,  Barasat Union,96,83,110,116,13,8,138,207,2,0,167,234,00110
47,94,81,XXX,XX,03,  Terokhada Union,107,128,150,140,25,7,180,292,6,3,282,333,00110
18,07,15,XXX,XX,03,  Baradi Union,39,27,8,14,6,3,38,52,4,0,46,56,00110
18,07,23,XXX,XX,03,  Bhangabaria Union,92,80,76,48,16,12,129,185,3,2,170,221,00110
18,07,27,XXX,XX,03,  Chithla Union,93,83,67,57,21,7,98,159,2,2,169,226,00110
18,07,47,XXX,XX,03,  Hardi Union,363,278,223,258,97,65,346,508,19,10,452,675,00110
18,07,55,XXX,XX,03,  Jamjami Union,105,100,93,66,32,14,135,250,7,2,240,296,00110
18,07,63,XXX,XX,03,  Jehala Union,222,199,196,204,49,33,326,475,10,8,439,527,00110
18,07,79,XXX,XX,03,  Khaskara Union,13,22,26,6,3,2,19,30,2,1,27,50,00110
18,07,87,XXX,XX,03,  Kumari Union,202,115,155,190,31,15,234,385,5,1,362,451,00110
18,23,11,XXX,XX,03,  Alokdia Union,509,481,700,728,123,86,844,1308,26,11,1226,1371,00110
18,23,47,XXX,XX,03,  Kutubpur Union,21,27,51,12,5,0,59,108,0,0,66,95,00110
18,23,59,XXX,XX,03,  Mominpur Union,133,130,134,128,27,32,167,256,9,5,218,345,00110
18,23,71,XXX,XX,03,  Shankar Chandra Union,124,124,77,94,39,23,172,268,13,4,257,284,00110
18,23,83,XXX,XX,03,  Titudaha Union,60,46,116,81,6,1,93,137,3,0,161,214,00110
18,31,11,XXX,XX,03,  Damurhuda Union,412,329,328,331,105,59,480,762,14,6,661,794,00110
18,31,35,XXX,XX,03,  Howli Union,216,171,370,362,40,12,494,684,4,3,618,739,00110
18,55,38,XXX,XX,03,  Banka Union,131,120,110,117,16,17,177,254,5,0,266,301,00110
18,55,76,XXX,XX,03,  Uthali Union,144,131,179,187,33,25,204,300,9,7,296,356,00110
65,28,14,XXX,XX,03,  Boranal Eliasabad Union,45,13,40,45,4,4,62,116,3,0,75,117,00110
65,28,71,XXX,XX,03,  Mauli Union,18,7,12,8,0,0,15,26,0,0,23,21,00110
65,28,87,XXX,XX,03,  Peruli Union,143,124,170,170,18,9,207,274,7,2,238,293,00110
65,28,95,XXX,XX,03,  Salamabad Union,116,81,118,149,17,8,175,290,3,0,234,284,00110
65,76,61,XXX,XX,03,  Mulia Union,203,210,113,115,92,49,228,314,38,15,321,430,00110
44,14,31,XXX,XX,03,  Daulatpur Union,127,115,113,122,21,13,202,295,12,4,288,325,00110
44,19,73,XXX,XX,03,  Paglakanai Union,36,33,66,63,6,7,93,142,1,1,98,117,00110
41,23,25,XXX,XX,03,  Bankra Union,65,56,25,68,20,16,57,98,6,3,111,139,00110
41,23,35,XXX,XX,03,  Gadkhali Union,77,67,78,79,19,4,117,147,1,0,131,170,00110
41,23,47,XXX,XX,03,  Jhikargachha Union,31,34,37,27,13,6,56,84,1,2,70,69,00110
41,23,71,XXX,XX,03,  Panisara Union,24,25,44,40,9,2,52,54,2,0,68,94,00110
41,38,28,XXX,XX,03,  Keshabpur Union,125,87,116,141,29,13,200,251,5,2,228,306,00110
41,38,38,XXX,XX,03,  Majidpur Union,36,29,28,28,8,6,50,102,3,0,60,83,00110
