ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,17,21,716,01,01,  Khuthakhali Bazar,1271,307,954,10,0,0,00000
47,17,21,716,02,01,  Khuthakhali,2142,201,1927,14,0,0,00000
47,17,21,716,03,01,  Laudubi Pasharer Dhar,1106,45,955,106,0,0,00000
47,17,21,716,04,01,  Laudubi,1646,394,1067,185,0,0,00000
47,17,21,716,05,01,  Kalikabati,1051,158,887,6,0,0,00000
47,17,21,716,06,01,  Barabak,959,570,385,4,0,0,00000
47,17,21,716,07,01,  Burir Dabar,506,49,457,0,0,0,00000
47,17,21,716,08,01,  Harintani,541,7,293,241,0,0,00000
47,17,42,278,01,01,  Dacope-2,1259,0,1259,0,0,0,00000
47,17,42,278,02,01,  Singjora,406,2,394,10,0,0,00000
47,17,42,278,03,01,  Madia,498,0,498,0,0,0,00000
47,17,42,278,04,01,  Chhota Bunia,510,7,503,0,0,0,00000
47,17,42,278,05,01,  Dakshin Dacope,431,48,383,0,0,0,00000
47,17,42,875,01,01,  Saheberabad,2691,9,2682,0,0,0,00000
47,17,42,875,02,01,  Odabunia,635,1,634,0,0,0,00000
47,17,42,875,03,01,  Bhadla Bunia,286,0,286,0,0,0,00000
47,17,42,875,04,01,  Kakrabunia,331,0,331,0,0,0,00000
47,17,52,318,01,01,  Dhopadihi,2824,250,2573,1,0,0,00000
47,17,52,318,02,01,  Ramnagar,3334,389,2936,9,0,0,00000
47,17,63,915,01,01,  Channir Chak,509,12,497,0,0,0,00000
47,17,63,915,02,01,  Jaliakhali,770,62,708,0,0,0,00000
47,17,63,915,03,01,  Sreenagar,1506,486,1020,0,0,0,00000
47,17,63,915,04,01,  Satgharia,791,457,334,0,0,0,00000
47,17,63,915,05,01,  Bhitabhanga,782,349,391,42,0,0,00000
47,17,63,915,06,01,  Shibnagar,403,169,234,0,0,0,00000
47,17,63,915,07,01,  Joynagar,1646,1385,261,0,0,0,00000
47,17,63,915,08,01,  Saharabad,777,616,161,0,0,0,00000
47,17,63,915,09,01,  Rajnagar,170,0,170,0,0,0,00000
47,17,63,915,10,01,  Kalinagar,1372,451,770,151,0,0,00000
47,17,63,915,11,01,  Par Joynagar,1791,1790,1,0,0,0,00000
47,17,63,915,12,01,  Rekhamari,214,78,136,0,0,0,00000
47,17,63,915,13,01,  Fakirdanga,149,0,149,0,0,0,00000
47,17,69,676,01,01,  Kamarabad,686,419,267,0,0,0,00000
47,17,69,676,02,01,  Lakshmikhola,2340,1393,947,0,0,0,00000
47,17,69,835,01,01,  Pankhali (Part),3928,2530,1398,0,0,0,00000
47,17,69,835,02,01,  Hoglabunia,1257,1251,6,0,0,0,00000
47,17,69,835,03,01,  Katabunia,739,739,0,0,0,0,00000
47,17,84,159,01,01,  Batbunia,1609,349,1253,7,0,0,00000
47,17,84,159,02,01,  Badalbunia,411,140,271,0,0,0,00000
47,17,84,159,03,01,  Joynagar,265,5,260,0,0,0,00000
47,17,84,199,01,01,  Kaminibasi,854,0,854,0,0,0,00000
47,17,84,199,02,01,  Raskholarpar,1086,418,668,0,0,0,00000
47,17,84,199,03,01,  Nishankhali,397,125,272,0,0,0,00000
47,17,84,199,04,01,  Datta Chak,885,114,771,0,0,0,00000
47,17,84,199,05,01,  Kakrabunia-3,378,0,378,0,0,0,00000
47,17,84,199,06,01,  Arakhali,673,4,669,0,0,0,00000
47,17,84,199,07,01,  Tentultala,465,31,434,0,0,0,00000
47,17,84,199,08,01,  Uder Para,692,0,692,0,0,0,00000
47,17,84,199,09,01,  Chhota Batbunia,359,29,330,0,0,0,00000
47,17,84,358,01,01,  Naldanga,918,852,66,0,0,0,00000
47,17,84,358,02,01,  Andhar Manik,550,27,523,0,0,0,00000
47,17,84,358,03,01,  Humakhali,917,817,100,0,0,0,00000
47,17,84,358,04,01,  Garkhali,440,440,0,0,0,0,00000
47,17,84,358,05,01,  Satyapir,438,88,350,0,0,0,00000
47,17,84,358,06,01,  Sardar Para,315,170,145,0,0,0,00000
47,17,84,358,07,01,  Kakrabunia,1481,1479,2,0,0,0,00000
47,17,84,358,08,01,  Chhota Balia,1070,1066,4,0,0,0,00000
47,17,84,995,01,01,  Chardanga,160,0,160,0,0,0,00000
47,17,84,995,02,01,  Mashamari,675,45,630,0,0,0,00000
47,17,84,995,03,01,  Bansh Talardanga,825,82,743,0,0,0,00000
47,17,84,995,04,01,  Majherdanga,426,0,426,0,0,0,00000
47,17,84,995,05,01,  Guchchhagram,145,5,66,74,0,0,00000
47,17,84,995,06,01,  Tildanga,572,6,566,0,0,0,00000
47,21,10,047,01,01,  Aranghata,4394,4067,325,2,0,0,00000
47,21,10,047,02,01,  Sarderdanga,1079,1079,0,0,0,0,00000
47,21,10,047,03,01,  Gaikur,4577,4423,154,0,0,0,00000
47,30,11,201,01,01,  Boyarsinga,759,23,736,0,0,0,00000
47,30,11,201,02,01,  Putimari,209,37,172,0,0,0,00000
47,30,11,201,03,01,  Andhar Manik,345,0,345,0,0,0,00000
47,30,11,201,04,01,  Khalsibunia,65,0,65,0,0,0,00000
47,30,11,201,05,01,  Chhota Murabunia,135,44,91,0,0,0,00000
47,30,11,201,06,01,  Sondar Bunia,194,0,194,0,0,0,00000
47,30,11,201,07,01,  Golapdha,359,11,348,0,0,0,00000
47,30,11,201,08,01,  Durgatuni,44,11,33,0,0,0,00000
47,30,11,201,09,01,  Bara Chanmari,167,0,167,0,0,0,00000
47,30,11,201,10,01,  Bara Murabunia,284,5,279,0,0,0,00000
47,30,11,310,01,01,  Chuknagar,4131,2848,1279,4,0,0,00000
47,30,11,310,02,01,  Putimari,1090,575,502,13,0,0,00000
47,30,11,310,03,01,  Dariadanga,1004,995,9,0,0,0,00000
47,30,11,635,01,01,  Kulbaria Baratia,1351,1351,0,0,0,0,00000
47,30,11,635,02,01,  Baratia,3667,1653,1980,34,0,0,00000
47,30,11,635,03,01,  Matbaria,1744,1178,566,0,0,0,00000
47,30,11,635,04,01,  Gobindakatia,2286,2060,226,0,0,0,00000
47,30,11,635,05,01,  Nizkhali,323,12,311,0,0,0,00000
47,30,20,714,01,01,  Mandra,688,524,164,0,0,0,00000
47,30,20,714,02,01,  Mainapur,179,0,179,0,0,0,00000
47,30,20,980,01,01,  Tolna,5346,4532,814,0,0,0,00000
47,30,20,980,02,01,  Mujar Ghuta,172,0,172,0,0,0,00000
47,30,33,197,01,01,  Purba Bil Pabla,915,170,733,12,0,0,00000
47,30,33,197,02,01,  Paschim Bil Pabla,916,77,839,0,0,0,00000
47,30,33,197,03,01,  Line Bil Pabla,1743,222,1521,0,0,0,00000
47,30,33,197,04,01,  Uttar Bil Pabla,814,41,773,0,0,0,00000
47,30,33,413,01,01,  Gutudia,5442,3812,1630,0,0,0,00000
47,30,33,413,02,01,  Patkelpota,280,135,145,0,0,0,00000
