ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,12.0,35.0,052,01,01,  Patharghata,295,8.5,8.1,7.8,5.8,8.5,5.8,33.9,10.8,2.7,8.1,00000
47,12.0,35.0,052,02,01,  Baguladanga,140,7.1,7.1,10.7,3.6,7.1,7.9,32.1,10.7,5.0,8.6,00000
47,12.0,47.0,359,01,01,  Paschim Halia,1045,7.3,7.0,10.6,5.3,9.1,5.4,30.8,8.9,5.1,10.6,00000
47,12.0,47.0,359,02,01,  Purba Halia,1304,8.1,6.6,6.7,5.7,9.1,7.9,31.1,9.7,4.0,11.1,00000
47,12.0,47.0,359,03,01,  Chandmari,413,8.7,10.4,13.8,5.6,3.1,5.1,34.4,8.0,2.7,8.2,00000
47,12.0,47.0,710,01,01,  Naoailtala,1336,9.7,10.8,12.1,7.8,7.7,7.3,28.6,6.9,3.4,5.7,00000
47,12.0,47.0,710,02,01,  Hajirabad,361,12.5,14.1,12.5,8.0,6.1,7.2,26.6,5.3,1.4,6.4,00000
47,12.0,59.0,127,01,01,  Barun Para,850,6.9,6.8,8.4,6.1,8.7,8.4,30.9,10.4,4.2,9.2,00000
47,12.0,59.0,127,02,01,  Mathbanga,153,3.9,11.8,8.5,7.2,5.9,9.8,30.1,8.5,3.3,11.1,00000
47,12.0,59.0,127,03,01,  Masiar Danga,285,5.3,7.0,10.9,8.4,6.3,7.7,34.0,9.5,3.9,7.0,00000
47,12.0,59.0,239,01,01,  Charkhali Machaila,362,8.8,11.0,6.1,7.5,9.1,12.7,27.6,10.2,1.9,5.0,00000
47,12.0,59.0,239,02,01,  Tengramari,314,4.8,6.7,6.4,11.1,7.6,8.9,30.9,9.2,3.8,10.5,00000
47,12.0,59.0,239,03,01,  Jharbhanga,167,7.2,10.2,7.8,5.4,6.6,7.8,33.5,8.4,4.2,9.0,00000
47,12.0,59.0,523,01,01,  Katamari,417,6.5,6.2,7.7,6.2,8.6,8.4,33.1,12.0,3.1,8.2,00000
47,12.0,59.0,523,02,01,  Gopalkhali,305,7.2,9.8,10.5,6.2,4.6,8.2,31.1,10.2,3.6,8.5,00000
47,12.0,59.0,523,03,01,  Deoatala,1223,8.1,8.3,8.7,9.2,8.4,8.1,28.7,8.5,1.7,10.3,00000
