ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,3449,14188,14174,14,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,3788,16017,15928,89,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,8078,32048,32047,1,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,20472,85786,85672,114,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,7968,33396,33390,6,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,6699,25518,25497,21,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,4485,19678,19665,13,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,5919,25290,25281,9,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,9945,42299,42260,39,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,5385,22011,22011,0,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,25286,107834,107347,487,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,10637,45341,45331,10,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,7943,33094,33086,8,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,6687,27670,27670,0,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,8507,35271,35239,32,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,21267,85856,85421,435,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,1923,8290,8276,14,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,5144,21422,21422,0,01110
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,7890,32774,32774,0,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,6330,26229,26229,0,01110
41,47,XX,XXX,XX,02,  Jessore Sadar Upazila,48214,217337,217335,2,01110
41,61,XX,XXX,XX,02,  Manirampur Upazila,7017,28138,28138,0,01110
41,90,XX,XXX,XX,02,  Sharsha Upazila,8563,36524,36524,0,01110
1,08,XX,XXX,XX,02,  Bagerhat Sadar Upazila,11982,49073,48699,374,01110
1,58,XX,XXX,XX,02,  Mongla Upazila,8927,39837,38259,1578,01110
1,60,XX,XXX,XX,02,  Morrelganj Upazila,5070,21741,21548,193,01110
55,57,XX,XXX,XX,02,  Magura Sadar Upazila,22105,98355,98136,219,01110
50,15,XX,XXX,XX,02,  Bheramara Upazila,5274,22124,22124,0,01110
50,63,XX,XXX,XX,02,  Khoksa Upazila,4086,17607,17605,2,01110
50,71,XX,XXX,XX,02,  Kumarkhali Upazila,5276,21914,21914,0,01110
50,79,XX,XXX,XX,02,  Kushtia Sadar Upazila,23037,102988,102852,136,01110
50,94,XX,XXX,XX,02,  Mirpur Upazila,5507,22417,22413,4,01110
57,47,XX,XXX,XX,02,  Gangni Upazila,6488,25500,25500,0,01110
57,87,XX,XXX,XX,02,  Meherpur Sadar Upazila,10418,43133,43057,76,01110
87,43,XX,XXX,XX,02,  Kalaroa Upazila,6570,27250,27249,1,01110
87,82,XX,XXX,XX,02,  Satkhira Sadar Upazila,26896,113322,113229,93,01110
42,40,XX,XXX,XX,02,  Jhalokati Sadar Upazila,12399,54029,54029,0,01110
