ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,12,35,XXX,XX,01,  Batiaghata Union,719,669,50,513,22,22,6,134,22,00110
47,30,27,XXX,XX,01,  Dumuria Union,860,810,50,476,24,22,2,312,24,00110
47,53,55,XXX,XX,01,  Koyra Union,1899,1763,136,1643,99,24,15,96,22,00110
47,69,38,XXX,XX,01,  Damodar Union,840,740,100,391,14,66,43,283,43,00110
47,69,76,XXX,XX,01,  Phultala Union,1943,1654,289,717,46,187,96,750,147,00110
47,94,27,XXX,XX,01,  Barasat Union,1801,1745,56,1621,20,31,11,93,25,00110
47,94,81,XXX,XX,01,  Terokhada Union,1390,1358,32,1216,15,40,4,102,13,00110
18,07,15,XXX,XX,01,  Baradi Union,3331,3249,82,3116,52,47,14,86,16,00110
18,07,23,XXX,XX,01,  Bhangabaria Union,3897,3780,117,3355,56,16,6,409,55,00110
18,07,27,XXX,XX,01,  Chithla Union,2888,2786,102,2550,29,11,2,225,71,00110
18,07,47,XXX,XX,01,  Hardi Union,2693,2639,54,2448,26,31,2,160,26,00110
18,07,55,XXX,XX,01,  Jamjami Union,1969,1932,37,1856,35,8,0,68,2,00110
18,07,63,XXX,XX,01,  Jehala Union,2077,2001,76,1416,27,53,7,532,42,00110
18,07,79,XXX,XX,01,  Khaskara Union,3562,3520,42,3353,28,111,0,56,14,00110
18,07,87,XXX,XX,01,  Kumari Union,1618,1584,34,1422,11,55,11,107,12,00110
18,23,11,XXX,XX,01,  Alokdia Union,404,399,5,386,1,3,0,10,4,00110
18,23,47,XXX,XX,01,  Kutubpur Union,4395,4246,149,3680,33,159,40,407,76,00110
18,23,59,XXX,XX,01,  Mominpur Union,1655,1537,118,1385,109,85,1,67,8,00110
18,23,71,XXX,XX,01,  Shankar Chandra Union,6541,6387,154,5249,62,174,24,964,68,00110
18,23,83,XXX,XX,01,  Titudaha Union,6320,6141,179,5674,123,98,21,369,35,00110
18,31,11,XXX,XX,01,  Damurhuda Union,3987,3876,111,3389,45,171,12,316,54,00110
