ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
47.0,XX.0,XX.0,XXX,XX,02, Khulna Zila,451899,164454,245423,75806,206476,88648,73.3,76.4,70.0,00110
47.0,17.0,XX.0,XXX,XX,02,  Dacope Upazila,8186,4509,4465,1871,3721,2638,64.5,70.5,58.5,00110
47.0,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,9292,4811,5143,2083,4149,2728,65.9,71.2,60.3,00110
18.0,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,94644,60932,49237,28233,45407,32699,60.8,63.6,58.1,00110
18.0,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,17842,10450,9330,4567,8512,5883,63.1,67.1,59.1,00110
18.0,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,46704,28966,24144,13633,22560,15333,61.7,63.9,59.5,00110
18.0,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,17300,12011,9090,5555,8210,6456,59.0,62.1,56.0,00110
18.0,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,12798,9505,6673,4478,6125,5027,57.4,59.8,54.9,00110
65.0,XX.0,XX.0,XXX,XX,02, Narail Zila,55528,19991,28403,8977,27125,11014,73.5,76.0,71.1,00110
65.0,28.0,XX.0,XXX,XX,02,  Kalia Upazila,8730,8021,4582,3785,4148,4236,52.1,54.8,49.5,00110
65.0,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,16593,5217,8124,2303,8469,2914,76.1,77.9,74.4,00110
65.0,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,30205,6753,15697,2889,14508,3864,81.7,84.5,79.0,00110
44.0,XX.0,XX.0,XXX,XX,02, Jhenaidah Zila,147046,90274,77667,42197,69379,48077,62.0,64.8,59.1,00110
44.0,14.0,XX.0,XXX,XX,02,  Harinakundu Upazila,8972,9988,4608,4892,4364,5096,47.3,48.5,46.1,00110
44.0,19.0,XX.0,XXX,XX,02,  Jhenaidah Sadar Upazila,64842,30393,34661,13942,30181,16451,68.1,71.3,64.7,00110
44.0,33.0,XX.0,XXX,XX,02,  Kaliganj Upazila,25853,13853,13768,6302,12085,7551,65.1,68.6,61.5,00110
44.0,42.0,XX.0,XXX,XX,02,  Kotchandpur Upazila,17966,10851,9310,5022,8656,5829,62.3,65.0,59.8,00110
44.0,71.0,XX.0,XXX,XX,02,  Maheshpur Upazila,12939,11188,6762,5353,6177,5835,53.6,55.8,51.4,00110
44.0,80.0,XX.0,XXX,XX,02,  Shailkupa Upazila,16474,14001,8558,6686,7916,7315,54.1,56.1,52.0,00110
41.0,XX.0,XX.0,XXX,XX,02, Jessore Zila,280463,120201,152705,54781,127758,65420,70.0,73.6,66.1,00110
41.0,4.0,XX.0,XXX,XX,02,  Abhaynagar Upazila,47803,27269,25178,12638,22625,14631,63.7,66.6,60.7,00110
41.0,9.0,XX.0,XXX,XX,02,  Bagherpara Upazila,4425,2682,2319,1265,2106,1417,62.3,64.7,59.8,00110
41.0,11.0,XX.0,XXX,XX,02,  Chaugachha Upazila,11420,7108,5983,3257,5437,3851,61.6,64.8,58.5,00110
41.0,23.0,XX.0,XXX,XX,02,  Jhikargachha Upazila,18408,10185,9458,4538,8950,5647,64.4,67.6,61.3,00110
41.0,38.0,XX.0,XXX,XX,02,  Keshabpur Upazila,14345,8409,7623,3748,6722,4661,63.0,67.0,59.1,00110
41.0,47.0,XX.0,XXX,XX,02,  Jessore Sadar Upazila,150108,42745,84134,19176,65974,23569,77.8,81.4,73.7,00110
41.0,61.0,XX.0,XXX,XX,02,  Manirampur Upazila,16112,8279,8465,3867,7647,4412,66.1,68.6,63.4,00110
41.0,90.0,XX.0,XXX,XX,02,  Sharsha Upazila,17842,13524,9545,6292,8297,7232,56.9,60.3,53.4,00110
1.0,XX.0,XX.0,XXX,XX,02, Bagerhat Zila,69580,28180,36538,13920,33042,14260,71.2,72.4,69.9,00110
1.0,8.0,XX.0,XXX,XX,02,  Bagerhat Sadar Upazila,33064,10528,16957,4850,16107,5678,75.8,77.8,73.9,00110
1.0,58.0,XX.0,XXX,XX,02,  Mongla Upazila,22774,12769,12728,6693,10046,6076,64.1,65.5,62.3,00110
1.0,60.0,XX.0,XXX,XX,02,  Morrelganj Upazila,13742,4883,6853,2377,6889,2506,73.8,74.2,73.3,00110
55.0,XX.0,XX.0,XXX,XX,02, Magura Zila,56412,29023,29144,13375,27268,15648,66.0,68.5,63.5,00110
55.0,57.0,XX.0,XXX,XX,02,  Magura Sadar Upazila,56412,29023,29144,13375,27268,15648,66.0,68.5,63.5,00110
50.0,XX.0,XX.0,XXX,XX,02, Kushtia Zila,115206,50726,60935,23381,54271,27345,69.4,72.3,66.5,00110
50.0,15.0,XX.0,XXX,XX,02,  Bheramara Upazila,13913,5581,7122,2513,6791,3068,71.4,73.9,68.9,00110
50.0,63.0,XX.0,XXX,XX,02,  Khoksa Upazila,8945,6262,4682,2935,4263,3327,58.8,61.5,56.2,00110
50.0,71.0,XX.0,XXX,XX,02,  Kumarkhali Upazila,12184,6970,6229,3176,5955,3794,63.6,66.2,61.1,00110
50.0,79.0,XX.0,XXX,XX,02,  Kushtia Sadar Upazila,69140,23235,37117,10437,32023,12798,74.8,78.1,71.4,00110
50.0,94.0,XX.0,XXX,XX,02,  Mirpur Upazila,11024,8678,5785,4320,5239,4358,56.0,57.2,54.6,00110
57.0,XX.0,XX.0,XXX,XX,02, Meherpur Zila,38592,21860,20125,10212,18467,11648,63.8,66.3,61.3,00110
57.0,47.0,XX.0,XXX,XX,02,  Gangni Upazila,13306,9017,6763,4324,6543,4693,59.6,61.0,58.2,00110
57.0,87.0,XX.0,XXX,XX,02,  Meherpur Sadar Upazila,25286,12843,13362,5888,11924,6955,66.3,69.4,63.2,00110
87.0,XX.0,XX.0,XXX,XX,02, Satkhira Zila,83947,39893,44655,17866,39292,22027,67.8,71.4,64.1,00110
87.0,43.0,XX.0,XXX,XX,02,  Kalaroa Upazila,14699,9285,7667,4136,7032,5149,61.3,65.0,57.7,00110
87.0,82.0,XX.0,XXX,XX,02,  Satkhira Sadar Upazila,69248,30608,36988,13730,32260,16878,69.3,72.9,65.7,00110
42.0,XX.0,XX.0,XXX,XX,02, Jhalokati Zila,54367,19444,27451,9156,26916,10288,73.7,75.0,72.3,00110
42.0,40.0,XX.0,XXX,XX,02,  Jhalokati Sadar Upazila,36821,10454,19151,4920,17670,5534,77.9,79.6,76.2,00110
42.0,73.0,XX.0,XXX,XX,02,  Nalchity Upazila,17546,8990,8300,4236,9246,4754,66.1,66.2,66.0,00110
78.0,XX.0,XX.0,XXX,XX,02, Patuakhali Zila,82247,26514,44067,12156,38180,14358,75.6,78.4,72.7,00110
78.0,38.0,XX.0,XXX,XX,02,  Bauphal Upazila,7548,2409,3833,1044,3715,1365,75.8,78.6,73.1,00110
78.0,57.0,XX.0,XXX,XX,02,  Galachipa Upazila,13255,5279,7071,2482,6184,2797,71.5,74.0,68.9,00110
78.0,66.0,XX.0,XXX,XX,02,  Kala Para Upazila,15712,7313,8574,3540,7138,3773,68.2,70.8,65.4,00110
78.0,95.0,XX.0,XXX,XX,02,  Patuakhali Sadar Upazila,45732,11513,24589,5090,21143,6423,79.9,82.8,76.7,00110
6.0,XX.0,XX.0,XXX,XX,02, Barisal Zila,287175,102261,150161,48855,137014,53406,73.7,75.5,72.0,00110
6.0,7.0,XX.0,XXX,XX,02,  Bakerganj Upazila,10224,3108,5203,1396,5021,1712,76.7,78.8,74.6,00110
6.0,10.0,XX.0,XXX,XX,02,  Banari Para Upazila,7974,1039,4211,459,3763,580,88.5,90.2,86.6,00110
6.0,32.0,XX.0,XXX,XX,02,  Gaurnadi Upazila,25298,11419,12993,5307,12305,6112,68.9,71.0,66.8,00110
6.0,51.0,XX.0,XXX,XX,02,  Barisal Sadar Upazila,216378,71102,114465,34130,101913,36972,75.3,77.0,73.4,00110
6.0,62.0,XX.0,XXX,XX,02,  Mehendiganj Upazila,16514,9157,7876,4400,8638,4757,64.3,64.2,64.5,00110
6.0,69.0,XX.0,XXX,XX,02,  Muladi Upazila,10787,6436,5413,3163,5374,3273,62.6,63.1,62.1,00110
79.0,XX.0,XX.0,XXX,XX,02, Pirojpur Zila,66940,18752,34488,9020,32452,9732,78.1,79.3,76.9,00110
79.0,58.0,XX.0,XXX,XX,02,  Mathbaria Upazila,12332,3507,6177,1688,6155,1819,77.9,78.5,77.2,00110
79.0,80.0,XX.0,XXX,XX,02,  Pirojpur Sadar Upazila,40705,11611,20490,5565,20215,6046,77.8,78.6,77.0,00110
79.0,87.0,XX.0,XXX,XX,02,  Nesarabad Upazila,13903,3634,7821,1767,6082,1867,79.3,81.6,76.5,00110
9.0,XX.0,XX.0,XXX,XX,02, Bhola Zila,69147,31770,36740,15128,32407,16642,68.5,70.8,66.1,00110
9.0,18.0,XX.0,XXX,XX,02,  Bhola Sadar Upazila,31465,9916,16754,4632,14711,5284,76.0,78.3,73.6,00110
9.0,21.0,XX.0,XXX,XX,02,  Burhanuddin Upazila,7687,3458,4177,1552,3510,1906,69.0,72.9,64.8,00110
9.0,25.0,XX.0,XXX,XX,02,  Char Fasson Upazila,12673,4142,6697,1996,5976,2146,75.4,77.0,73.6,00110
9.0,29.0,XX.0,XXX,XX,02,  Daulat Khan Upazila,6767,7293,3499,3688,3268,3605,48.1,48.7,47.5,00110
9.0,54.0,XX.0,XXX,XX,02,  Lalmohan Upazila,10555,6961,5613,3260,4942,3701,60.3,63.3,57.2,00110
4.0,XX.0,XX.0,XXX,XX,02, Barguna Zila,49417,17710,25993,8241,23424,9469,73.6,75.9,71.2,00110
4.0,9.0,XX.0,XXX,XX,02,  Amtali Upazila,10268,4670,5400,2120,4868,2550,68.7,71.8,65.6,00110
4.0,28.0,XX.0,XXX,XX,02,  Barguna Sadar Upazila,21568,6849,11585,3180,9983,3669,75.9,78.5,73.1,00110
4.0,47.0,XX.0,XXX,XX,02,  Betagi Upazila,6790,2097,3538,917,3252,1180,76.4,79.4,73.4,00110
4.0,85.0,XX.0,XXX,XX,02,  Patharghata Upazila,10791,4094,5470,2024,5321,2070,72.5,73.0,72.0,00110
52.0,XX.0,XX.0,XXX,XX,02, Lalmonirhat Zila,47260,30653,25117,14118,22143,16535,60.7,64.0,57.2,00110
52.0,55.0,XX.0,XXX,XX,02,  Lalmonirhat Sadar Upazila,34548,17810,18457,7897,16091,9913,66.0,70.0,61.9,00110
52.0,70.0,XX.0,XXX,XX,02,  Patgram Upazila,12712,12843,6660,6221,6052,6622,49.7,51.7,47.8,00110
77.0,XX.0,XX.0,XXX,XX,02, Panchagarh Zila,36269,15967,19182,7285,17087,8682,69.4,72.5,66.3,00110
77.0,25.0,XX.0,XXX,XX,02,  Boda Upazila,8486,4234,4456,1941,4030,2293,66.7,69.7,63.7,00110
77.0,73.0,XX.0,XXX,XX,02,  Panchagarh Sadar Upazila,27783,11733,14726,5344,13057,6389,70.3,73.4,67.1,00110
85.0,XX.0,XX.0,XXX,XX,02, Rangpur Zila,226179,114172,122640,52391,103539,61781,66.5,70.1,62.6,00110
85.0,3.0,XX.0,XXX,XX,02,  Badarganj Upazila,12589,9141,6823,4231,5766,4910,57.9,61.7,54.0,00110
85.0,42.0,XX.0,XXX,XX,02,  Kaunia Upazila,21678,30688,11473,14028,10205,16660,41.4,45.0,38.0,00110
85.0,49.0,XX.0,XXX,XX,02,  Rangpur Sadar Upazila,191912,74343,104344,34132,87568,40211,72.1,75.4,68.5,00110
49.0,XX.0,XX.0,XXX,XX,02, Kurigram Zila,88317,70766,47164,32082,41153,38684,55.5,59.5,51.5,00110
49.0,52.0,XX.0,XXX,XX,02,  Kurigram Sadar Upazila,42245,24616,22838,11174,19407,13442,63.2,67.1,59.1,00110
49.0,61.0,XX.0,XXX,XX,02,  Nageshwari Upazila,26189,26505,13893,12237,12296,14268,49.7,53.2,46.3,00110
49.0,94.0,XX.0,XXX,XX,02,  Ulipur Upazila,19883,19645,10433,8671,9450,10974,50.3,54.6,46.3,00110
32.0,XX.0,XX.0,XXX,XX,02, Gaibandha Zila,69915,37205,36789,16750,33126,20455,65.3,68.7,61.8,00110
32.0,24.0,XX.0,XXX,XX,02,  Gaibandha Sadar Upazila,44205,15144,23203,6482,21002,8662,74.5,78.2,70.8,00110
32.0,30.0,XX.0,XXX,XX,02,  Gobindaganj Upazila,18068,14897,9534,6979,8534,7918,54.8,57.7,51.9,00110
32.0,91.0,XX.0,XXX,XX,02,  Sundarganj Upazila,7642,7164,4052,3289,3590,3875,51.6,55.2,48.1,00110
73.0,XX.0,XX.0,XXX,XX,02, Nilphamari Zila,121516,81886,65438,38346,56078,43540,59.7,63.1,56.3,00110
73.0,15.0,XX.0,XXX,XX,02,  Domar Upazila,9341,5208,4909,2356,4432,2852,64.2,67.6,60.8,00110
73.0,36.0,XX.0,XXX,XX,02,  Jaldhaka Upazila,15834,22326,8632,10725,7202,11601,41.5,44.6,38.3,00110
73.0,64.0,XX.0,XXX,XX,02,  Nilphamari Sadar Upazila,25368,14190,13751,6515,11617,7675,64.1,67.9,60.2,00110
73.0,85.0,XX.0,XXX,XX,02,  Saidpur Upazila,70973,40162,38146,18750,32827,21412,63.9,67.0,60.5,00110
94.0,XX.0,XX.0,XXX,XX,02, Thakurgaon Zila,74271,35224,40179,15858,34092,19366,67.8,71.7,63.8,00110
94.0,82.0,XX.0,XXX,XX,02,  Pirganj Upazila,12803,11015,7012,5118,5791,5897,53.8,57.8,49.5,00110
94.0,86.0,XX.0,XXX,XX,02,  Ranisankail Upazila,9137,6141,5030,2813,4107,3328,59.8,64.1,55.2,00110
94.0,94.0,XX.0,XXX,XX,02,  Thakurgaon Sadar Upazila,52331,18068,28137,7927,24194,10141,74.3,78.0,70.5,00110
27.0,XX.0,XX.0,XXX,XX,02, Dinajpur Zila,235220,110193,126438,50275,108782,59918,68.1,71.5,64.5,00110
27.0,10.0,XX.0,XXX,XX,02,  Birampur Upazila,23467,15847,12386,7546,11081,8301,59.7,62.1,57.2,00110
27.0,12.0,XX.0,XXX,XX,02,  Birganj Upazila,11042,5766,5964,2601,5078,3165,65.7,69.6,61.6,00110
27.0,21.0,XX.0,XXX,XX,02,  Bochaganj Upazila,14861,8881,7959,4028,6902,4853,62.6,66.4,58.7,00110
27.0,38.0,XX.0,XXX,XX,02,  Fulbari Upazila,18857,11400,9972,5342,8885,6058,62.3,65.1,59.5,00110
27.0,43.0,XX.0,XXX,XX,02,  Ghoraghat Upazila,9946,9462,5257,4448,4689,5014,51.2,54.2,48.3,00110
27.0,47.0,XX.0,XXX,XX,02,  Hakimpur Upazila,15695,8974,8910,4112,6785,4862,63.6,68.4,58.3,00110
27.0,64.0,XX.0,XXX,XX,02,  Dinajpur Sadar Upazila,124919,40819,67313,18099,57606,22720,75.4,78.8,71.7,00110
27.0,77.0,XX.0,XXX,XX,02,  Parbatipur Upazila,16433,9044,8677,4099,7756,4945,64.5,67.9,61.1,00110
10.0,XX.0,XX.0,XXX,XX,02, Bogra Zila,369836,177696,202729,83305,167107,94391,67.5,70.9,63.9,00110
10.0,6.0,XX.0,XXX,XX,02,  Adamdighi Upazila,16891,10326,8933,4735,7958,5591,62.1,65.4,58.7,00110
10.0,20.0,XX.0,XXX,XX,02,  Bogra Sadar Upazila,223277,86147,122320,40573,100957,45574,72.2,75.1,68.9,00110
10.0,27.0,XX.0,XXX,XX,02,  Dhunat Upazila,6349,5845,3350,2718,2999,3127,52.1,55.2,49.0,00110
