ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
50,39,33,XXX,XX,03,  Daulatpur Union,1063,1024,39,849,18,3,0,172,21,00110
50,39,61,XXX,XX,03,  Mathurapur Union,1801,1682,119,1539,58,80,4,63,57,00110
50,63,71,XXX,XX,03,  Samaspur Union,683,602,81,346,3,46,41,210,37,00110
50,79,50,XXX,XX,03,  Battail Union,343,285,58,53,3,29,13,203,42,00110
50,94,14,XXX,XX,03,  Amla Union,560,540,20,387,10,98,1,55,9,00110
50,94,80,XXX,XX,03,  Poradaha Union,555,522,33,122,3,43,4,357,26,00110
57,47,10,XXX,XX,03,  Bamandi Union,357,344,13,264,6,1,0,79,7,00110
57,47,69,XXX,XX,03,  Roypur Union,359,358,1,316,1,3,0,39,0,00110
57,60,28,XXX,XX,03,  Bagoan Union,1097,1077,20,913,9,1,0,163,11,00110
87,04,17,XXX,XX,03,  Assasuni Union,765,662,103,398,35,37,1,227,67,00110
87,25,15,XXX,XX,03,  Debhata Union,297,232,65,98,23,2,0,132,42,00110
87,43,31,XXX,XX,03,  Helatala Union,199,184,15,172,13,10,0,2,2,00110
87,47,13,XXX,XX,03,  Bhara Simla Union,389,332,57,141,14,29,5,162,38,00110
87,47,55,XXX,XX,03,  Kushlia Union,558,497,61,178,13,158,11,161,37,00110
87,47,63,XXX,XX,03,  Mathureshpur Union,369,338,31,269,19,52,5,17,7,00110
87,47,94,XXX,XX,03,  Tarali Union,127,100,27,57,12,0,0,43,15,00110
87,86,94,XXX,XX,03,  Shyamnagar Union,1188,949,239,323,37,30,13,596,189,00110
87,90,87,XXX,XX,03,  Tala Union,715,632,83,469,53,18,2,145,28,00110
42,40,85,XXX,XX,03,  Ponabalia Union,79,68,11,18,2,26,0,24,9,00110
42,43,63,XXX,XX,03,  Kanthalia Union,354,325,29,151,5,37,13,137,11,00110
42,84,40,XXX,XX,03,  Mathbari Union,173,163,10,123,0,18,0,22,10,00110
42,84,54,XXX,XX,03,  Rajapur Union,362,345,17,125,2,1,0,219,15,00110
78,38,29,XXX,XX,03,  Bauphal Union,92,85,7,60,7,21,0,4,0,00110
78,38,35,XXX,XX,03,  Daspara Union,372,361,11,159,3,82,6,120,2,00110
78,52,31,XXX,XX,03,  Banshbaria Union,203,200,3,102,0,31,0,67,3,00110
78,52,52,XXX,XX,03,  Dashmina Union,1232,1163,69,675,26,24,1,464,42,00110
78,55,93,XXX,XX,03,  Sreerampur Union,331,312,19,182,3,25,2,105,14,00110
78,57,50,XXX,XX,03,  Chiknikandi Union,70,64,6,55,0,6,1,3,5,00110
78,57,67,XXX,XX,03,  Galachipa Union,206,193,13,173,10,1,0,19,3,00110
78,66,83,XXX,XX,03,  Tiakhali Union,903,853,50,778,25,10,2,65,23,00110
78,76,13,XXX,XX,03,  Amragachhia Union,124,111,13,54,4,15,0,42,9,00110
78,76,27,XXX,XX,03,  Deuli Subidkhali Union,687,654,33,364,4,58,2,232,27,00110
78,76,81,XXX,XX,03,  Mirzaganj Union,412,396,16,314,8,20,1,62,7,00110
78,95,27,XXX,XX,03,  Jainkati Union,338,309,29,195,4,7,1,107,24,00110
6,02,15,XXX,XX,03,  Bakal Union,97,92,5,73,3,4,0,15,2,00110
6,02,47,XXX,XX,03,  Gaila Union,215,189,26,104,11,6,5,79,10,00110
6,03,81,XXX,XX,03,  Rahmatpur Union,393,375,18,193,5,80,0,102,13,00110
6,07,12,XXX,XX,03,  Bhar Pasha Union,228,223,5,119,0,60,4,44,1,00110
6,07,94,XXX,XX,03,  Rangasree Union,28,28,0,26,0,0,0,2,0,00110
6,10,42,XXX,XX,03,  Chakhar Union,211,197,14,162,8,13,0,22,6,00110
6,10,63,XXX,XX,03,  Salia Bakpur Union,99,96,3,68,0,3,0,25,3,00110
6,36,13,XXX,XX,03,  Bara Jalia Union,1196,1127,69,828,26,148,7,151,36,00110
6,51,34,XXX,XX,03,  Char Baria Union,218,211,7,70,1,12,1,129,5,00110
6,51,43,XXX,XX,03,  Char Kowa Union,467,421,46,68,10,146,8,207,28,00110
6,62,87,XXX,XX,03,  Mehendiganj Union,238,229,9,146,3,15,0,68,6,00110
6,94,31,XXX,XX,03,  Guthia Union,170,142,28,59,1,5,0,78,27,00110
