ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,53,55,XXX,XX,XX,Koyra Union Total,152548,7788,33230,33227,00111
47,53,72,XXX,XX,XX,  Maharajpur Union Total,193298,7156,31068,31068,00111
47,53,78,XXX,XX,XX,  Maheshwaripur Union Total,231793,6911,29992,29971,00111
47,53,94,XXX,XX,XX,  Uttar Bedkashi Union Total,102548,3673,15225,15225,00111
47,64,01,XXX,XX,XX,  Ward No-01 Total,254,1099,1099,0,00111
47,64,02,XXX,XX,XX,  Ward No-02 Total,265,1060,1060,0,00111
47,64,03,XXX,XX,XX,  Ward No-03 Total,310,1290,1290,0,00111
47,64,04,XXX,XX,XX,  Ward No-04 Total,612,2661,2625,36,00111
47,64,05,XXX,XX,XX,  Ward No-05 Total,686,2856,2856,0,00111
47,64,06,XXX,XX,XX,  Ward No-06 Total,495,1989,1989,0,00111
47,64,07,XXX,XX,XX,  Ward No-07 Total,409,1796,1796,0,00111
47,64,08,XXX,XX,XX,  Ward No-08 Total,268,1134,1081,53,00111
47,64,09,XXX,XX,XX,  Ward No-09 Total,489,2132,2132,0,00111
47,64,16,XXX,XX,XX,  Chandkhali Union Total,10307,8963,37734,37717,00111
47,64,27,XXX,XX,XX,  Deluti Union Total,13083,3817,15554,15554,00111
47,64,33,XXX,XX,XX,  Gadaipur Union Total,5120,4802,19669,19669,00111
47,64,39,XXX,XX,XX,  Garuikhali Union Total,10475,5620,22805,22795,00111
47,64,44,XXX,XX,XX,  Haridhali Union Total,4777,5855,23415,23415,00111
47,64,50,XXX,XX,XX,  Kapilmuni Union Total,9364,8230,33011,33011,00111
47,64,61,XXX,XX,XX,  Laskar Union Total,10321,4590,20463,20463,00111
47,64,67,XXX,XX,XX,  Lata Union Total,11701,2636,10856,10856,00111
47,64,83,XXX,XX,XX,  Raruli Union Total,6016,6500,26152,26149,00111
47,64,89,XXX,XX,XX,  Sholadana Union Total,12325,5072,22307,22306,00111
47,69,38,XXX,XX,XX,Damodar Union Total,5278,8493,36742,36674,00111
47,69,57,XXX,XX,XX,  Jamira Union Total,4971,4416,19138,19138,00111
47,69,76,XXX,XX,XX,Phultala Union Total,3790,6646,28001,27986,00111
47,75,13,XXX,XX,XX,  Aijganti Union Total,2383,10369,44318,44318,00111
47,75,27,XXX,XX,XX,  Ghatbhogh Union Total,12652,7188,33786,33786,00111
47,75,54,XXX,XX,XX,  Naihati Union Total,6713,14456,58299,58293,00111
47,75,67,XXX,XX,XX,  Sreefaltala Union Total,3870,5802,25242,25242,00111
47,75,81,XXX,XX,XX,  T. S. Bahirdia Union Total,4086,4080,17874,17874,00111
47,85,16,XXX,XX,XX,  Ward No-16 Total,6819,29213,29202,11,00111
47,85,17,XXX,XX,XX,  Ward No-17 Total,7710,33163,33163,0,00111
47,85,18,XXX,XX,XX,  Ward No-18 Total,6065,27896,27700,196,00111
47,85,19,XXX,XX,XX,  Ward No-19 Total,4350,18558,18537,21,00111
47,85,20,XXX,XX,XX,  Ward No-20 Total,3689,16624,16576,48,00111
47,85,25,XXX,XX,XX,  Ward No-25 Total,5076,21274,21267,7,00111
47,85,26,XXX,XX,XX,  Ward No-26 Total,5150,21011,21011,0,00111
47,94,13,XXX,XX,XX,  Ajugara Union Total,8472,3422,14709,14701,00111
47,94,27,XXX,XX,XX,Barasat Union Total,10434,4854,22099,22097,00111
47,94,40,XXX,XX,XX,  Madhupur Union Total,6889,4149,20254,20254,00111
47,94,54,XXX,XX,XX,  Sachiadah Union Total,9054,3995,17596,17596,00111
47,94,67,XXX,XX,XX,  Sagladah Union Total,6050,4490,20126,20126,00111
47,94,81,XXX,XX,XX,Terokhada Union Total,5536,5430,21925,21925,00111
18,07,01,XXX,XX,XX,  Ward No-01 Total,0,1012,3971,3971,00111
18,07,02,XXX,XX,XX,  Ward No-02 Total,0,1030,4055,4055,00111
18,07,03,XXX,XX,XX,  Ward No-03 Total,0,745,3049,3048,00111
18,07,04,XXX,XX,XX,  Ward No-04 Total,0,1095,4431,4431,00111
18,07,05,XXX,XX,XX,  Ward No-05 Total,0,988,4027,4027,00111
18,07,06,XXX,XX,XX,  Ward No-06 Total,0,1028,3992,3992,00111
18,07,07,XXX,XX,XX,  Ward No-07 Total,0,820,3185,3185,00111
18,07,08,XXX,XX,XX,  Ward No-08 Total,0,663,2536,2536,00111
18,07,09,XXX,XX,XX,  Ward No-09 Total,0,697,2802,2802,00111
18,07,13,XXX,XX,XX,  Belgachhi Union Total,4669,3782,14426,14426,00111
18,07,15,XXX,XX,XX,Baradi Union Total,5303,4823,19583,19583,00111
18,07,23,XXX,XX,XX,Bhangabaria Union Total,6924,7026,27714,27700,00111
18,07,27,XXX,XX,XX,Chithla Union Total,6580,5713,22613,22613,00111
18,07,31,XXX,XX,XX,  Dauki Union Total,6031,4917,18731,18731,00111
18,07,39,XXX,XX,XX,  Gangni Union Total,6232,5782,24042,24042,00111
18,07,47,XXX,XX,XX,Hardi Union Total,6439,7340,29542,29512,00111
18,07,51,XXX,XX,XX,  Kalidashpur Union Total,4937,5914,23305,23305,00111
18,07,55,XXX,XX,XX,Jamjami Union Total,5408,4638,18498,18498,00111
18,07,63,XXX,XX,XX,Jehala Union Total,5342,5352,22286,22276,00111
18,07,71,XXX,XX,XX,  Khadimpur Union Total,6023,4578,19855,19855,00111
18,07,79,XXX,XX,XX,Khaskara Union Total,7128,5700,22865,22865,00111
18,07,87,XXX,XX,XX,Kumari Union Total,5015,4591,18246,18246,00111
18,07,94,XXX,XX,XX,  Nagdaha Union Total,11710,8065,32168,32168,00111
18,23,01,XXX,XX,XX,  Ward No-01 Total,0,2390,10804,10804,00111
18,23,02,XXX,XX,XX,  Ward No-02 Total,0,2585,10812,10812,00111
18,23,03,XXX,XX,XX,  Ward No-03 Total,0,1920,7963,7963,00111
18,23,04,XXX,XX,XX,  Ward No-04 Total,0,1605,6771,6657,00111
18,23,05,XXX,XX,XX,  Ward No-05 Total,0,2197,8948,8948,00111
18,23,06,XXX,XX,XX,  Ward No-06 Total,0,2571,10682,10682,00111
18,23,07,XXX,XX,XX,  Ward No-07 Total,0,2618,10877,10877,00111
18,23,08,XXX,XX,XX,  Ward No-08 Total,0,2294,9605,9605,00111
18,23,09,XXX,XX,XX,  Ward No-09 Total,0,2292,9324,9324,00111
18,23,11,XXX,XX,XX,Alokdia Union Total,4798,6910,28840,28840,00111
18,23,23,XXX,XX,XX,  Begampur Union Total,13692,10273,41758,41750,00111
18,23,47,XXX,XX,XX,Kutubpur Union Total,10395,8406,33231,33231,00111
18,23,59,XXX,XX,XX,Mominpur Union Total,4236,3859,15651,15646,00111
18,23,62,XXX,XX,XX,  Padmabila Union Total,5557,5009,20214,20214,00111
18,23,71,XXX,XX,XX,Shankar Chandra Union Total,13089,11771,47315,47315,00111
18,23,83,XXX,XX,XX,Titudaha Union Total,12704,10444,41140,41140,00111
18,31,01,XXX,XX,XX,  Ward No-01 Total,0,875,3636,3636,00111
18,31,02,XXX,XX,XX,  Ward No-02 Total,0,996,4206,4201,00111
18,31,03,XXX,XX,XX,  Ward No-03 Total,0,849,3628,3627,00111
18,31,04,XXX,XX,XX,  Ward No-04 Total,0,826,3594,3594,00111
18,31,05,XXX,XX,XX,  Ward No-05 Total,0,882,3708,3708,00111
18,31,06,XXX,XX,XX,  Ward No-06 Total,0,900,3711,3711,00111
18,31,07,XXX,XX,XX,  Ward No-07 Total,0,702,3063,3063,00111
18,31,08,XXX,XX,XX,  Ward No-08 Total,0,1048,4288,4288,00111
18,31,09,XXX,XX,XX,  Ward No-09 Total,0,890,3562,3562,00111
18,31,11,XXX,XX,XX,Damurhuda Union Total,9271,9963,41442,41442,00111
18,31,23,XXX,XX,XX,  Perkrishnapur Madna Union Total,7625,6069,25054,25054,00111
18,31,35,XXX,XX,XX,Howli Union Total,14375,9799,40012,40012,00111
18,31,47,XXX,XX,XX,  Juranpur Union Total,11897,9079,36675,36675,00111
18,31,59,XXX,XX,XX,  Kapasadanga Union Total,10805,10791,46298,46298,00111
