ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,40,66,XXX,XX,XX,  Gazir Hat Union Total,4405,4369,2,34,19433,9877,9556.0,103.0,00111
47,40,85,XXX,XX,XX,  Senhati Union Total,10938,10815,5,118,43727,22858,20869.0,110.0,00111
47,45,07,XXX,XX,XX,  Ward No-07 Total,2594,2496,0,98,10645,5674,4971.0,114.0,00111
47,45,08,XXX,XX,XX,  Ward No-08 Total,2260,1973,3,284,9308,5546,3762.0,147.0,00111
47,45,09,XXX,XX,XX,  Ward No-09 Total,7451,7310,20,121,31882,16729,15153.0,110.0,00111
47,45,10,XXX,XX,XX,  Ward No-10 Total,6713,6533,5,175,27947,14194,13753.0,103.0,00111
47,45,11,XXX,XX,XX,  Ward No-11 Total,3291,2590,1,700,12373,7272,5101.0,143.0,00111
47,45,12,XXX,XX,XX,  Ward No-12 Total,5179,5091,6,82,21208,10543,10665.0,99.0,00111
47,45,13,XXX,XX,XX,  Ward No-13 Total,2413,2274,3,136,9287,5006,4281.0,117.0,00111
47,45,14,XXX,XX,XX,  Ward No-14 Total,5840,5622,33,185,26335,14200,12135.0,117.0,00111
47,45,15,XXX,XX,XX, Ward No-15 Total,3825,3668,8,149,16314,9033,7281.0,124.0,00111
47,48,02,XXX,XX,XX,  Ward No-02 (Part) Total,1078,927,3,148,5544,3877,1667.0,233.0,00111
47,48,19,XXX,XX,XX,  Atra Gilatala Union Total,11386,11273,15,98,48107,24606,23501.0,105.0,00111
47,48,75,XXX,XX,XX,  Jugipole Union Total,6066,5932,9,125,26276,13824,12452.0,111.0,00111
47,51,21,XXX,XX,XX,  Ward No-21 Total,4230,4116,33,81,20220,11323,8897.0,127.0,00111
47,51,22,XXX,XX,XX,  Ward No-22 Total,3971,3855,6,110,17239,8753,8486.0,103.0,00111
47,51,23,XXX,XX,XX,  Ward No-23 Total,3226,3118,10,98,13793,6982,6811.0,103.0,00111
47,51,24,XXX,XX,XX,  Ward No-24 Total,9678,9442,11,225,37889,19762,18127.0,109.0,00111
47,51,27,XXX,XX,XX,  Ward No-27 Total,7383,7121,6,256,30265,15669,14596.0,107.0,00111
47,51,28,XXX,XX,XX,  Ward No-28 Total,4971,4802,6,163,20148,10171,9977.0,102.0,00111
47,51,29,XXX,XX,XX,  Ward No-29 Total,4230,4089,13,128,17763,8903,8860.0,100.0,00111
47,51,30,XXX,XX,XX,  Ward No-30 Total,7975,7821,9,145,33283,16876,16407.0,103.0,00111
47,51,31,XXX,XX,XX,  Ward No-31 Total,8012,7970,14,28,33844,17134,16710.0,103.0,00111
47,53,10,XXX,XX,XX,  Amadi Union Total,7460,7434,4,22,33184,16352,16832.0,97.0,00111
47,53,11,XXX,XX,XX,  Bagali Union Total,8881,8863,0,18,34477,16840,17637.0,95.0,00111
