ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,61360,40779,171691,171678,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,245020,36597,152316,152174,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,112243,71909,305675,305576,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,19068,26797,115585,115547,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,438712,45750,193931,193907,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,101608,59873,247983,247863,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,14043,19555,83881,83798,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,29691,41895,179519,179513,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,46825,26340,116709,116699,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,90111,86299,345922,345867,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,73706,77144,313935,313808,01111
18,31,XX,XXX,XX,XX,Damurhuda Upazila Total,77075,69836,289577,289570,01111
18,55,XX,XXX,XX,XX,Jiban Nagar Upazila Total,49235,44185,179581,179559,01111
65,28,XX,XXX,XX,XX,Kalia Upazila Total,74458,48579,220202,220158,01111
65,52,XX,XXX,XX,XX,Lohagara Upazila Total,70404,51233,228594,228516,01111
65,76,XX,XXX,XX,XX,Narail Sadar Upazila Total,94334,62795,272872,272816,01111
44,14,XX,XXX,XX,XX,Harinakundu Upazila Total,56228,48209,197723,197708,01111
44,19,XX,XXX,XX,XX,Jhenaidah Sadar Upazila Total,116167,108924,455932,455371,01111
44,33,XX,XXX,XX,XX,Kaliganj Upazila Total,76650,67841,282366,282343,01111
44,42,XX,XXX,XX,XX,Kotchandpur Upazila Total,40929,34249,141121,141097,01111
44,71,XX,XXX,XX,XX,Maheshpur Upazila Total,103254,79761,332514,332477,01111
44,80,XX,XXX,XX,XX,Shailkupa Upazila Total,92278,83348,361648,361612,01111
41,04,XX,XXX,XX,XX,Abhaynagar Upazila Total,61088,62189,262434,261999,01111
41,09,XX,XXX,XX,XX,Bagherpara Upazila Total,76182,49971,216897,216854,01111
41,11,XX,XXX,XX,XX,Chaugachha Upazila Total,66548,56440,231370,231353,01111
41,23,XX,XXX,XX,XX,Jhikargachha Upazila Total,76099,72266,298908,298856,01111
41,38,XX,XXX,XX,XX,Keshabpur Upazila Total,63864,62309,253291,253240,01111
41,47,XX,XXX,XX,XX,Jessore Sadar Upazila Total,107546,169164,742898,742845,01111
41,61,XX,XXX,XX,XX,Manirampur Upazila Total,109766,101239,417421,417309,01111
41,90,XX,XXX,XX,XX,Sharsha Upazila Total,83097,82835,341328,341248,01111
1,08,XX,XXX,XX,XX,Bagerhat Sadar Upazila Total,67395,64022,266389,265997,01111
1,14,XX,XXX,XX,XX,Chitalmari Upazila Total,47443,30264,138810,138754,01111
1,34,XX,XXX,XX,XX,Fakirhat Upazila Total,39705,33133,137789,137775,01111
1,38,XX,XXX,XX,XX,Kachua Upazila Total,32528,23201,97011,96972,01111
1,56,XX,XXX,XX,XX,Mollahat Upazila Total,46428,28498,130878,130831,01111
1,58,XX,XXX,XX,XX,Mongla Upazila Total,361072,32383,136588,133393,01111
1,60,XX,XXX,XX,XX,Morrelganj Upazila Total,113893,75968,294576,294235,01111
1,73,XX,XXX,XX,XX,Rampal Upazila Total,82893,38173,154965,154940,01111
1,77,XX,XXX,XX,XX,Sarankhola Upazila Total,186960,28581,119084,118773,01111
