ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,363,293,70,148,11,17,13,128,46,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,1741,1576,165,748,58,163,18,665,89,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,937,847,90,700,57,27,2,120,31,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,2224,1641,583,418,60,426,208,797,315,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,1183,1150,33,850,15,23,4,277,14,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,6527,6317,210,5236,56,308,21,773,133,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,5368,4968,400,3532,118,120,35,1316,247,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,3012,2881,131,2384,46,143,11,354,74,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,1672,1592,80,1137,22,46,7,409,51,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,2303,2217,86,1935,39,38,6,244,41,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,669,630,39,525,33,22,0,83,6,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,1071,1066,5,1042,5,8,0,16,0,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,511,482,29,337,3,64,6,81,20,01110
41,23,XX,XXX,XX,03,  Jhikargachha Upazila,793,782,11,609,7,45,0,128,4,01110
41,38,XX,XXX,XX,03,  Keshabpur Upazila,584,527,57,432,47,49,5,46,5,01110
41,47,XX,XXX,XX,03,  Jessore Sadar Upazila,2638,2021,617,508,38,180,91,1333,488,01110
41,90,XX,XXX,XX,03,  Sharsha Upazila,320,281,39,187,8,42,7,52,24,01110
1,14,XX,XXX,XX,03,  Chitalmari Upazila,25,23,2,19,0,1,0,3,2,01110
1,34,XX,XXX,XX,03,  Fakirhat Upazila,1808,1653,155,645,8,110,11,898,136,01110
1,38,XX,XXX,XX,03,  Kachua Upazila,553,508,45,320,4,23,5,165,36,01110
1,56,XX,XXX,XX,03,  Mollahat Upazila,1050,995,55,652,10,36,3,307,42,01110
1,60,XX,XXX,XX,03,  Morrelganj Upazila,213,189,24,183,20,5,4,1,0,01110
1,73,XX,XXX,XX,03,  Rampal Upazila,63,46,17,6,1,0,0,40,16,01110
1,77,XX,XXX,XX,03,  Sarankhola Upazila,1194,1112,82,465,10,3,0,644,72,01110
55,66,XX,XXX,XX,03,  Mohammadpur Upazila,881,834,47,499,6,29,3,306,38,01110
55,85,XX,XXX,XX,03,  Shalikha Upazila,565,529,36,254,3,52,5,223,28,01110
55,95,XX,XXX,XX,03,  Sreepur Upazila,327,289,38,144,0,19,1,126,37,01110
50,15,XX,XXX,XX,03,  Bheramara Upazila,1024,978,46,597,4,23,1,358,41,01110
50,39,XX,XXX,XX,03,  Daulatpur Upazila,2864,2706,158,2388,76,83,4,235,78,01110
50,63,XX,XXX,XX,03,  Khoksa Upazila,683,602,81,346,3,46,41,210,37,01110
50,79,XX,XXX,XX,03,  Kushtia Sadar Upazila,343,285,58,53,3,29,13,203,42,01110
50,94,XX,XXX,XX,03,  Mirpur Upazila,1115,1062,53,509,13,141,5,412,35,01110
57,47,XX,XXX,XX,03,  Gangni Upazila,716,702,14,580,7,4,0,118,7,01110
57,60,XX,XXX,XX,03,  Mujib Nagar Upazila,1097,1077,20,913,9,1,0,163,11,01110
87,04,XX,XXX,XX,03,  Assasuni Upazila,765,662,103,398,35,37,1,227,67,01110
87,25,XX,XXX,XX,03,  Debhata Upazila,297,232,65,98,23,2,0,132,42,01110
87,43,XX,XXX,XX,03,  Kalaroa Upazila,199,184,15,172,13,10,0,2,2,01110
87,47,XX,XXX,XX,03,  Kaliganj Upazila,1443,1267,176,645,58,239,21,383,97,01110
87,86,XX,XXX,XX,03,  Shyamnagar Upazila,1188,949,239,323,37,30,13,596,189,01110
87,90,XX,XXX,XX,03,  Tala Upazila,715,632,83,469,53,18,2,145,28,01110
42,40,XX,XXX,XX,03,  Jhalokati Sadar Upazila,79,68,11,18,2,26,0,24,9,01110
42,43,XX,XXX,XX,03,  Kanthalia Upazila,354,325,29,151,5,37,13,137,11,01110
