ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,XX,XX,XXX,XX,02, Khulna Zila,164723,694933,693708,1225,11110
18,XX,XX,XXX,XX,02, Chuadanga Zila,43217,176748,176606,142,11110
65,XX,XX,XXX,XX,02, Narail Zila,20349,87267,87206,61,11110
44,XX,XX,XXX,XX,02, Jhenaidah Zila,64445,271221,270684,537,11110
41,XX,XX,XXX,XX,02, Jessore Zila,106348,456570,456119,451,11110
1,XX,XX,XXX,XX,02, Bagerhat Zila,25979,110651,108506,2145,11110
55,XX,XX,XXX,XX,02, Magura Zila,22105,98355,98136,219,11110
50,XX,XX,XXX,XX,02, Kushtia Zila,43180,187050,186908,142,11110
57,XX,XX,XXX,XX,02, Meherpur Zila,16906,68633,68557,76,11110
87,XX,XX,XXX,XX,02, Satkhira Zila,33466,140572,140478,94,11110
42,XX,XX,XXX,XX,02, Jhalokati Zila,19452,84834,84796,38,11110
78,XX,XX,XXX,XX,02, Patuakhali Zila,27911,124144,123189,955,11110
6,XX,XX,XXX,XX,02, Barisal Zila,98751,447057,445402,1655,11110
79,XX,XX,XXX,XX,02, Pirojpur Zila,21961,98450,98123,327,11110
9,XX,XX,XXX,XX,02, Bhola Zila,23820,117432,116951,481,11110
4,XX,XX,XXX,XX,02, Barguna Zila,18403,76927,76561,366,11110
52,XX,XX,XXX,XX,02, Lalmonirhat Zila,20276,90887,90585,302,11110
77,XX,XX,XXX,XX,02, Panchagarh Zila,14056,60376,60137,239,11110
85,XX,XX,XXX,XX,02, Rangpur Zila,85888,387370,386647,723,11110
49,XX,XX,XXX,XX,02, Kurigram Zila,43983,185474,185313,161,11110
32,XX,XX,XXX,XX,02, Gaibandha Zila,29400,123416,123295,121,11110
73,XX,XX,XXX,XX,02, Nilphamari Zila,49977,235728,235223,505,11110
94,XX,XX,XXX,XX,02, Thakurgaon Zila,28432,126051,125938,113,11110
27,XX,XX,XXX,XX,02, Dinajpur Zila,91112,393920,392136,1784,11110
10,XX,XX,XXX,XX,02, Bogra Zila,147921,624082,622095,1987,11110
88,XX,XX,XXX,XX,02, Sirajganj Zila,84287,376432,376001,431,11110
81,XX,XX,XXX,XX,02, Rajshahi Zila,192023,830649,829626,1023,11110
64,XX,XX,XXX,XX,02, Naogaon Zila,45090,187225,186638,587,11110
76,XX,XX,XXX,XX,02, Pabna Zila,89395,387675,387457,218,11110
70,XX,XX,XXX,XX,02, Chapai Nawabganj Zila,59839,275729,275491,238,11110
69,XX,XX,XXX,XX,02, Natore Zila,55663,228008,227621,387,11110
38,XX,XX,XXX,XX,02, Joypurhat Zila,33045,132199,132134,65,11110
13,XX,XX,XXX,XX,02, Chandpur Zila,86059,409291,408170,1121,11110
3,XX,XX,XXX,XX,02, Bandarban Zila,12761,61574,60499,1075,11110
19,XX,XX,XXX,XX,02, Comilla Zila,140108,707597,706630,967,11110
12,XX,XX,XXX,XX,02, Brahmanbaria Zila,59266,301852,301467,385,11110
51,XX,XX,XXX,XX,02, Lakshmipur Zila,37392,182659,182541,118,11110
46,XX,XX,XXX,XX,02, Khagrachhari Zila,20431,96045,95719,326,11110
22,XX,XX,XXX,XX,02, Cox's Bazar Zila,54407,292523,278611,13912,11110
15,XX,XX,XXX,XX,02, Chittagong Zila,632691,2971102,2968240,2862,11110
84,XX,XX,XXX,XX,02, Rangamati Zila,21129,97807,96929,878,11110
30,XX,XX,XXX,XX,02, Feni Zila,56248,283785,283242,543,11110
75,XX,XX,XXX,XX,02, Noakhali Zila,68427,364460,363771,689,11110
29,XX,XX,XXX,XX,02, Faridpur Zila,43461,195247,194770,477,11110
72,XX,XX,XXX,XX,02, Netrakona Zila,39627,183186,182925,261,11110
39,XX,XX,XXX,XX,02, Jamalpur Zila,81668,336010,335590,420,11110
59,XX,XX,XXX,XX,02, Munshiganj Zila,25045,114819,114808,11,11110
35,XX,XX,XXX,XX,02, Gopalganj Zila,18906,85461,85397,64,11110
82,XX,XX,XXX,XX,02, Rajbari Zila,23382,104074,103939,135,11110
61,XX,XX,XXX,XX,02, Mymensingh Zila,120821,554996,553582,1414,11110
67,XX,XX,XXX,XX,02, Narayanganj Zila,222450,942354,941535,819,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,255831,1018252,1015748,2504,11110
56,XX,XX,XXX,XX,02, Manikganj Zila,22561,98583,98480,103,11110
26,XX,XX,XXX,XX,02, Dhaka Zila,1684986,7423137,7381197,41940,11110
86,XX,XX,XXX,XX,02, Shariatpur Zila,25364,115970,115724,246,11110
54,XX,XX,XXX,XX,02, Madaripur Zila,28454,128452,128187,265,11110
93,XX,XX,XXX,XX,02, Tangail Zila,109848,469660,469102,558,11110
48,XX,XX,XXX,XX,02, Kishoreganj Zila,86970,408762,407967,795,11110
89,XX,XX,XXX,XX,02, Sherpur Zila,43048,182376,182171,205,11110
68,XX,XX,XXX,XX,02, Narsingdi Zila,78271,354458,354342,116,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,255831,1018252,1015748,2504,11110
90,XX,XX,XXX,XX,02, Sunamganj Zila,31855,178552,176396,2156,11110
36,XX,XX,XXX,XX,02, Habiganj Zila,33157,171749,171697,52,11110
91,XX,XX,XXX,XX,02, Sylhet Zila,118834,603088,602082,1006,11110
58,XX,XX,XXX,XX,02, Maulvibazar Zila,28151,144843,144523,320,11110
