ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Source of Drinking Water (%)-Tap,Source of Drinking Water (%)-Tube-Well,Source of Drinking Water (%)-Other,Electricity Connection (%),Housing Tenancy (%)-Owned,Housing Tenancy (%)-Rented,Housing Tenancy (%)-Rent free,check_var
47.0,XX.0,XX.0,XXX,XX,03, Khulna Zila,19091,1.4,95.3,3.2,72.4,80.1,15.4,4.5,00110
47.0,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,1902,0.0,100.0,0.0,56.8,81.9,15.9,2.3,00110
47.0,12.0,35.0,XXX,XX,03,  Batiaghata Union,1902,0.0,100.0,0.0,56.8,81.9,15.9,2.3,00110
47.0,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,4472,0.1,99.9,0.0,74.9,81.6,14.0,4.3,00110
47.0,30.0,27.0,XXX,XX,03,  Dumuria Union,4472,0.1,99.9,0.0,74.9,81.6,14.0,4.3,00110
47.0,53.0,XX.0,XXX,XX,03,  Koyra Upazila,2671,0.1,79.1,20.7,31.4,87.9,5.4,6.8,00110
47.0,53.0,55.0,XXX,XX,03,  Koyra Union,2671,0.1,79.1,20.7,31.4,87.9,5.4,6.8,00110
47.0,69.0,XX.0,XXX,XX,03,  Phultala Upazila,7370,3.5,95.7,0.8,89.9,72.7,22.1,5.2,00110
47.0,69.0,38.0,XXX,XX,03,  Damodar Union,6625,3.8,95.3,0.8,89.6,77.3,17.9,4.8,00110
47.0,69.0,76.0,XXX,XX,03,  Phultala Union,745,0.9,99.1,0.0,92.5,31.8,59.7,8.5,00110
47.0,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,2676,0.3,99.6,0.1,71.9,88.9,8.9,2.2,00110
47.0,94.0,27.0,XXX,XX,03,  Barasat Union,1130,0.4,99.5,0.2,68.8,96.4,2.8,0.8,00110
47.0,94.0,81.0,XXX,XX,03,  Terokhada Union,1546,0.2,99.7,0.1,74.3,83.5,13.3,3.2,00110
18.0,XX.0,XX.0,XXX,XX,03, Chuadanga Zila,31395,0.6,97.4,2.0,67.7,93.6,3.3,3.1,00110
18.0,7.0,XX.0,XXX,XX,03,  Alamdanga Upazila,11267,0.5,97.1,2.5,70.4,95.9,1.8,2.4,00110
18.0,7.0,15.0,XXX,XX,03,  Baradi Union,276,0.7,99.3,0.0,72.8,98.6,0.0,1.4,00110
18.0,7.0,23.0,XXX,XX,03,  Bhangabaria Union,903,2.2,92.4,5.4,80.2,93.9,5.2,0.9,00110
18.0,7.0,27.0,XXX,XX,03,  Chithla Union,913,0.3,99.6,0.1,75.0,97.8,0.9,1.3,00110
18.0,7.0,47.0,XXX,XX,03,  Hardi Union,3040,0.4,97.1,2.5,63.1,97.2,0.6,2.2,00110
18.0,7.0,55.0,XXX,XX,03,  Jamjami Union,1430,0.3,99.2,0.4,66.7,97.0,2.4,0.6,00110
18.0,7.0,63.0,XXX,XX,03,  Jehala Union,2464,0.3,95.7,3.9,76.2,90.4,3.7,5.9,00110
18.0,7.0,79.0,XXX,XX,03,  Khaskara Union,224,0.0,82.6,17.4,67.4,98.7,0.0,1.3,00110
18.0,7.0,87.0,XXX,XX,03,  Kumari Union,2017,0.1,99.4,0.4,70.7,99.0,0.0,0.9,00110
18.0,23.0,XX.0,XXX,XX,03,  Chuadanga Sadar Upazila,10412,0.5,98.1,1.4,72.8,91.1,5.2,3.7,00110
18.0,23.0,11.0,XXX,XX,03,  Alokdia Union,6230,0.4,98.6,1.1,75.8,89.3,6.6,4.1,00110
18.0,23.0,47.0,XXX,XX,03,  Kutubpur Union,500,0.6,99.2,0.2,56.6,99.0,0.0,1.0,00110
