ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
78,52,XX,XXX,XX,01,  Dashmina Upazila,24252,104136,104134,2,01110
78,55,XX,XXX,XX,01,  Dumki Upazila,12995,58455,58446,9,01110
78,57,XX,XXX,XX,01,  Galachipa Upazila,73926,335601,334923,678,01110
78,66,XX,XXX,XX,01,  Kala Para Upazila,48968,202477,200669,1808,01110
78,76,XX,XXX,XX,01,  Mirzaganj Upazila,23154,99310,99301,9,01110
78,95,XX,XXX,XX,01,  Patuakhali Sadar Upazila,53808,246625,246625,0,01110
6,02,XX,XXX,XX,01,  Agailjhara Upazila,30434,138599,138599,0,01110
6,03,XX,XXX,XX,01,  Babuganj Upazila,29472,130514,130458,56,01110
6,07,XX,XXX,XX,01,  Bakerganj Upazila,67241,294353,294014,339,01110
6,10,XX,XXX,XX,01,  Banari Para Upazila,30278,131306,130749,557,01110
6,32,XX,XXX,XX,01,  Gaurnadi Upazila,32144,146148,146123,25,01110
6,36,XX,XXX,XX,01,  Hizla Upazila,27525,131893,131885,8,01110
6,51,XX,XXX,XX,01,  Barisal Sadar Upazila,39774,187709,187688,21,01110
6,62,XX,XXX,XX,01,  Mehendiganj Upazila,58107,267244,267142,102,01110
6,69,XX,XXX,XX,01,  Muladi Upazila,33866,154285,154232,53,01110
6,94,XX,XXX,XX,01,  Wazirpur Upazila,50364,223243,223057,186,01110
79,14,XX,XXX,XX,01,  Bhandaria Upazila,28559,122899,122852,47,01110
79,47,XX,XXX,XX,01,  Kawkhali Upazila,13867,60489,60474,15,01110
79,58,XX,XXX,XX,01,  Mathbaria Upazila,54386,233990,233965,25,01110
79,76,XX,XXX,XX,01,  Nazirpur Upazila,39581,175678,175668,10,01110
79,80,XX,XXX,XX,01,  Pirojpur Sadar Upazila,24371,103414,103318,96,01110
79,87,XX,XXX,XX,01,  Nesarabad Upazila,38337,163008,162985,23,01110
79,90,XX,XXX,XX,01,  Zianagar Upazila,15810,71148,71127,21,01110
9,18,XX,XXX,XX,01,  Bhola Sadar Upazila,70453,343277,342828,449,01110
9,21,XX,XXX,XX,01,  Burhanuddin Upazila,40479,195459,195443,16,01110
9,25,XX,XXX,XX,01,  Char Fasson Upazila,85756,413522,413489,33,01110
9,29,XX,XXX,XX,01,  Daulat Khan Upazila,31440,151839,151772,67,01110
9,54,XX,XXX,XX,01,  Lalmohan Upazila,53413,247823,247776,47,01110
9,65,XX,XXX,XX,01,  Manpura Upazila,16869,75559,75559,0,01110
9,91,XX,XXX,XX,01,  Tazumuddin Upazila,24184,105999,105999,0,01110
4,09,XX,XXX,XX,01,  Amtali Upazila,58128,248994,248806,188,01110
4,19,XX,XXX,XX,01,  Bamna Upazila,17753,71820,71804,16,01110
4,28,XX,XXX,XX,01,  Barguna Sadar Upazila,54733,229108,228949,159,01110
4,47,XX,XXX,XX,01,  Betagi Upazila,24753,104359,104359,0,01110
4,85,XX,XXX,XX,01,  Patharghata Upazila,35693,135406,135149,257,01110
52,02,XX,XXX,XX,01,  Aditmari Upazila,47670,205441,205422,19,01110
52,33,XX,XXX,XX,01,  Hatibandha Upazila,53122,233927,233920,7,01110
52,39,XX,XXX,XX,01,  Kaligang Upazila,53871,226628,226589,39,01110
52,55,XX,XXX,XX,01,  Lalmonirhat Sadar Upazila,65250,272844,272793,51,01110
52,70,XX,XXX,XX,01,  Patgram Upazila,41514,188050,187960,90,01110
77,04,XX,XXX,XX,01,  Atwari Upazila,29259,122376,122372,4,01110
77,25,XX,XXX,XX,01,  Boda Upazila,51634,215094,215089,5,01110
77,34,XX,XXX,XX,01,  Debiganj Upazila,49006,209408,209292,116,01110
77,73,XX,XXX,XX,01,  Panchagarh Sadar Upazila,49911,225669,225614,55,01110
77,90,XX,XXX,XX,01,  Tentulia Upazila,26589,119948,119905,43,01110
85,03,XX,XXX,XX,01,  Badarganj Upazila,65693,262460,262429,31,01110
85,27,XX,XXX,XX,01,  Gangachara Upazila,70402,285524,285497,27,01110
85,42,XX,XXX,XX,01,  Kaunia Upazila,41549,166380,166349,31,01110
85,49,XX,XXX,XX,01,  Rangpur Sadar Upazila,100132,417544,417352,192,01110
85,58,XX,XXX,XX,01,  Mithapukur Upazila,133329,501071,501043,28,01110
85,73,XX,XXX,XX,01,  Pirgachha Upazila,79104,300282,300264,18,01110
85,76,XX,XXX,XX,01,  Pirganj Upazila,97920,370506,370339,167,01110
85,92,XX,XXX,XX,01,  Taraganj Upazila,32255,134606,134600,6,01110
49,06,XX,XXX,XX,01,  Bhurungamari Upazila,50378,201855,201843,12,01110
49,08,XX,XXX,XX,01,  Char Rajibpur Upazila,13704,58676,58671,5,01110
49,09,XX,XXX,XX,01,  Chilmari Upazila,19748,77626,77626,0,01110
49,18,XX,XXX,XX,01,  Phulbari Sadar Upazila,36448,147355,147354,1,01110
49,52,XX,XXX,XX,01,  Kurigram Sadar Upazila,54577,231598,231588,10,01110
49,61,XX,XXX,XX,01,  Nageshwari Upazila,78810,331969,331946,23,01110
49,77,XX,XXX,XX,01,  Rajarhat Upazila,44240,173689,173687,2,01110
49,79,XX,XXX,XX,01,  Raumari Upazila,40793,170737,170731,6,01110
49,94,XX,XXX,XX,01,  Ulipur Upazila,91535,349274,349270,4,01110
32,21,XX,XXX,XX,01,  Fulchhari Upazila,38849,158933,158917,16,01110
32,24,XX,XXX,XX,01,  Gaibandha Sadar Upazila,88033,343179,343112,67,01110
32,30,XX,XXX,XX,01,  Gobindaganj Upazila,122854,476281,476262,19,01110
32,67,XX,XXX,XX,01,  Palashbari Upazila,57785,222133,222132,1,01110
