ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Source of Drinking Water (%)-Tap,Source of Drinking Water (%)-Tube-Well,Source of Drinking Water (%)-Other,Electricity Connection (%),Housing Tenancy (%)-Owned,Housing Tenancy (%)-Rented,Housing Tenancy (%)-Rent free,check_var
47.0,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,540504,2.0,83.7,14.3,64.1,72.6,22.9,4.5,00111
47.0,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,40659,0.1,96.4,3.5,39.9,85.5,8.5,6.0,00111
47.0,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,3879,0.1,96.9,3.0,44.0,94.1,0.5,5.3,00111
47.0,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,4025,0.0,98.4,1.6,27.7,96.1,0.4,3.5,00111
47.0,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,4702,0.0,100.0,0.0,44.4,89.6,6.6,3.8,00111
47.0,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,3964,0.0,100.0,0.0,16.5,99.3,0.1,0.6,00111
47.0,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,4647,0.0,95.3,4.7,25.0,96.5,0.3,3.1,00111
47.0,12.0,71.0,XXX,XX,XX,  Jalma Union Total,13152,0.2,98.6,1.2,58.2,65.6,23.0,11.3,00111
47.0,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,6290,0.0,86.1,13.8,29.0,95.3,0.6,4.0,00111
47.0,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,36369,0.7,30.6,68.7,28.2,93.3,2.2,4.6,00111
9.7,47.0,17.0,XXX,XX,XX,Chalna Paurashava,3374,0.1,41.5,58.4,62.2,73.0,17.3,9.7,00111
47.0,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,225,0.0,66.7,33.3,52.9,90.7,0.4,8.9,00111
47.0,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,326,0.0,99.4,0.6,13.8,85.6,0.0,14.4,00111
47.0,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,352,0.0,50.3,49.7,64.5,82.1,10.5,7.4,00111
47.0,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,281,0.4,23.8,75.8,45.2,62.6,8.9,28.5,00111
47.0,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,346,0.0,25.7,74.3,90.5,63.0,32.7,4.3,00111
47.0,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,274,0.4,49.6,50.0,73.7,50.0,43.8,6.2,00111
47.0,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,444,0.0,59.2,40.8,78.8,87.2,9.9,2.9,00111
47.0,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,637,0.2,14.6,85.2,85.4,50.4,35.2,14.4,00111
47.0,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,489,0.2,20.4,79.3,35.4,92.4,4.3,3.3,00111
47.0,17.0,10.0,XXX,XX,XX,  Bajua Union Total,3556,0.9,23.8,75.3,35.4,88.0,1.1,10.9,00111
47.0,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,3371,0.4,9.1,90.5,19.7,90.1,1.4,8.5,00111
47.0,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,2035,0.8,21.4,77.7,31.0,93.9,2.7,3.4,00111
47.0,17.0,42.0,XXX,XX,XX,  Dacope Union Total,1816,0.0,14.2,85.8,26.4,93.4,0.5,6.1,00111
47.0,17.0,52.0,XXX,XX,XX,  Kailasganj Union Total,3435,0.7,7.5,91.8,25.1,96.7,0.1,3.2,00111
47.0,17.0,63.0,XXX,XX,XX,  Kamarkhola Union Total,3540,0.1,22.6,77.3,18.9,96.8,0.4,2.8,00111
47.0,17.0,69.0,XXX,XX,XX,  Pankhali Union Total,3729,0.2,69.4,30.4,19.8,97.2,0.2,2.6,00111
47.0,17.0,73.0,XXX,XX,XX,  Sutarkhali Union Total,7439,1.6,13.7,84.7,18.1,98.3,0.2,1.5,00111
47.0,17.0,84.0,XXX,XX,XX,  Tildanga Union Total,4074,0.3,79.2,20.5,36.8,98.4,0.2,1.4,00111
47.0,17.0,97.0,XXX,XX,XX,  Khulna Range Union Total,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00111
47.0,21.0,XX.0,XXX,XX,XX,Daulatpur Thana Total,25839,2.0,97.2,0.8,94.5,51.7,41.3,6.9,00111
47.0,21.0,1.0,XXX,XX,XX,  Ward No-01 Total,4471,1.3,97.0,1.7,94.3,52.0,43.6,4.5,00111
47.0,21.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,2225,0.2,99.8,0.0,94.6,27.4,43.1,29.5,00111
47.0,21.0,3.0,XXX,XX,XX,  Ward No-03 Total,4977,3.5,94.8,1.7,93.3,54.9,34.5,10.6,00111
47.0,21.0,4.0,XXX,XX,XX,  Ward No-04 Total,3668,1.4,98.3,0.3,94.4,67.3,30.2,2.5,00111
47.0,21.0,5.0,XXX,XX,XX,  Ward No-05 Total,3325,3.4,96.5,0.0,97.3,36.4,61.2,2.4,00111
47.0,21.0,6.0,XXX,XX,XX,  Ward No-06 Total,4274,2.4,97.2,0.4,97.9,42.1,55.1,2.8,00111
47.0,21.0,10.0,XXX,XX,XX,  Aranghata Union Total,2899,0.4,99.6,0.0,88.7,76.5,19.4,4.1,00111
47.0,30.0,XX.0,XXX,XX,XX,Dumuria Upazila Total,71682,0.1,99.1,0.7,58.6,93.9,2.5,3.6,00111
47.0,30.0,11.0,XXX,XX,XX,  Atlia Union Total,7571,0.8,98.5,0.8,60.5,91.0,5.0,4.0,00111
47.0,30.0,13.0,XXX,XX,XX,  Bhandar Para Union Total,4072,0.0,100.0,0.0,61.1,92.4,1.0,6.6,00111
47.0,30.0,20.0,XXX,XX,XX,  Dhamalia Union Total,5169,0.0,100.0,0.0,75.4,98.8,0.3,0.9,00111
47.0,30.0,27.0,XXX,XX,XX,Dumuria Union Total,6597,0.1,99.9,0.0,69.8,86.8,9.7,3.5,00111
47.0,30.0,33.0,XXX,XX,XX,  Gutudia Union Total,5952,0.2,99.8,0.0,58.2,83.8,5.7,10.5,00111
47.0,30.0,40.0,XXX,XX,XX,  Kharnia Union Total,4934,0.0,99.9,0.0,54.2,92.8,0.9,6.3,00111
47.0,30.0,47.0,XXX,XX,XX,  Magurkhali Union Total,3201,0.0,100.0,0.0,43.4,95.1,0.3,4.6,00111
47.0,30.0,54.0,XXX,XX,XX,  Maguraghona Union Total,5362,0.2,96.3,3.6,52.3,98.2,1.1,0.7,00111
47.0,30.0,61.0,XXX,XX,XX,  Raghunathpur Union Total,5925,0.2,99.8,0.0,70.0,95.2,2.4,2.4,00111
47.0,30.0,67.0,XXX,XX,XX,  Rangpur Union Total,4101,0.0,100.0,0.0,68.7,97.1,0.9,2.0,00111
47.0,30.0,74.0,XXX,XX,XX,  Rudaghara Union Total,5383,0.0,100.0,0.0,64.0,97.2,0.7,2.1,00111
47.0,30.0,81.0,XXX,XX,XX,  Sahas Union Total,4496,0.0,99.9,0.1,48.6,98.6,0.3,1.1,00111
47.0,30.0,88.0,XXX,XX,XX,  Sarappur Union Total,4118,0.0,93.5,6.5,44.0,96.1,1.2,2.7,00111
47.0,30.0,94.0,XXX,XX,XX,  Sovna Union Total,4801,0.0,99.8,0.2,35.7,97.2,0.5,2.3,00111
47.0,40.0,XX.0,XXX,XX,XX,Dighalia Upazila Total,26601,1.4,97.8,0.9,63.1,78.0,18.4,3.6,00111
47.0,40.0,17.0,XXX,XX,XX,  Barakpur Union Total,4804,0.0,100.0,0.0,43.3,95.9,1.9,2.3,00111
47.0,40.0,57.0,XXX,XX,XX,  Dighalia Union Total,6613,0.2,98.7,1.2,80.5,82.6,14.7,2.7,00111
47.0,40.0,66.0,XXX,XX,XX,  Gazir Hat Union Total,4369,1.3,98.7,0.0,10.0,96.5,0.5,3.0,00111
47.0,40.0,85.0,XXX,XX,XX,  Senhati Union Total,10815,2.7,95.8,1.5,82.7,59.9,35.1,5.0,00111
47.0,45.0,XX.0,XXX,XX,XX,Khalishpur Thana Total,37557,5.7,94.0,0.3,96.1,33.1,62.1,4.8,00111
47.0,45.0,7.0,XXX,XX,XX,  Ward No-07 Total,2496,2.6,97.4,0.0,96.9,22.1,73.8,4.2,00111
47.0,45.0,8.0,XXX,XX,XX,  Ward No-08 Total,1973,35.9,64.1,0.1,94.6,11.7,87.6,0.8,00111
47.0,45.0,9.0,XXX,XX,XX,  Ward No-09 Total,7310,0.4,99.4,0.2,93.5,41.6,55.0,3.5,00111
47.0,45.0,10.0,XXX,XX,XX,  Ward No-10 Total,6533,6.7,92.8,0.5,97.9,30.0,67.7,2.3,00111
47.0,45.0,11.0,XXX,XX,XX,  Ward No-11 Total,2590,2.8,96.8,0.4,98.2,30.2,65.9,3.9,00111
47.0,45.0,12.0,XXX,XX,XX,  Ward No-12 Total,5091,2.7,97.1,0.2,98.3,42.2,54.5,3.3,00111
47.0,45.0,13.0,XXX,XX,XX,  Ward No-13 Total,2274,5.8,94.2,0.0,92.4,17.3,65.1,17.6,00111
47.0,45.0,14.0,XXX,XX,XX,  Ward No-14 Total,5622,1.4,98.2,0.4,95.7,44.6,48.6,6.8,00111
47.0,45.0,15.0,XXX,XX,XX,  Ward No-15 Total,3668,13.4,86.5,0.2,96.6,22.5,71.7,5.8,00111
47.0,48.0,XX.0,XXX,XX,XX,Khan Jahan Ali Thana Total,18293,3.1,96.2,0.7,92.6,57.8,37.6,4.6,00111
47.0,48.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,927,9.9,89.9,0.2,92.6,5.4,84.5,10.1,00111
47.0,48.0,19.0,XXX,XX,XX,  Atra Gilatala Union Total,11273,1.9,97.4,0.7,92.4,66.1,28.6,5.3,00111
47.0,48.0,75.0,XXX,XX,XX,  Jugipole Union Total,5932,1.7,97.5,0.9,92.8,51.7,45.7,2.5,00111
47.0,48.0,98.0,XXX,XX,XX,  Gilatala Cantt. Total,161,98.1,1.9,0.0,98.1,0.6,99.4,0.0,00111
47.0,51.0,XX.0,XXX,XX,XX,Khulna Sadar Thana Total,52334,5.8,93.6,0.6,94.7,30.0,62.6,7.5,00111
47.0,51.0,21.0,XXX,XX,XX,  Ward No-21 Total,4116,8.3,91.7,0.0,73.6,4.2,52.0,43.8,00111
47.0,51.0,22.0,XXX,XX,XX,  Ward No-22 Total,3855,1.6,98.2,0.2,93.9,38.8,56.1,5.2,00111
47.0,51.0,23.0,XXX,XX,XX,  Ward No-23 Total,3118,6.6,93.4,0.0,98.7,29.9,66.4,3.8,00111
47.0,51.0,24.0,XXX,XX,XX,  Ward No-24 Total,9442,9.5,90.2,0.3,97.3,22.4,72.5,5.1,00111
47.0,51.0,27.0,XXX,XX,XX,  Ward No-27 Total,7121,10.0,89.2,0.8,98.3,28.0,70.4,1.5,00111
47.0,51.0,28.0,XXX,XX,XX,  Ward No-28 Total,4802,6.6,90.4,3.0,98.2,32.2,66.5,1.3,00111
47.0,51.0,29.0,XXX,XX,XX,  Ward No-29 Total,4089,3.1,96.9,0.0,99.1,30.5,67.8,1.7,00111
47.0,51.0,30.0,XXX,XX,XX,  Ward No-30 Total,7821,1.7,98.1,0.2,98.3,32.7,63.7,3.6,00111
47.0,51.0,31.0,XXX,XX,XX,  Ward No-31 Total,7970,2.9,96.1,1.0,90.5,45.6,44.7,9.7,00111
47.0,53.0,XX.0,XXX,XX,XX,Koyra Upazila Total,45648,0.3,44.3,55.4,25.2,96.5,1.0,2.5,00111
47.0,53.0,10.0,XXX,XX,XX,  Amadi Union Total,7434,0.2,19.4,80.4,30.1,97.0,1.5,1.5,00111
47.0,53.0,11.0,XXX,XX,XX,  Bagali Union Total,8863,0.1,10.4,89.5,24.0,98.0,0.3,1.6,00111
47.0,53.0,22.0,XXX,XX,XX,  Dakshin Bedkashi Union Total,3875,0.0,50.1,49.9,17.7,97.2,0.1,2.8,00111
47.0,53.0,55.0,XXX,XX,XX,Koyra Union Total,7761,0.1,90.6,9.3,29.0,92.5,3.4,4.2,00111
47.0,53.0,72.0,XXX,XX,XX,  Maharajpur Union Total,7148,0.1,43.3,56.6,16.2,97.3,0.1,2.6,00111
47.0,53.0,78.0,XXX,XX,XX,  Maheshwaripur Union Total,6904,1.2,30.8,68.0,29.1,96.6,0.3,3.1,00111
47.0,53.0,94.0,XXX,XX,XX,  Uttar Bedkashi Union Total,3663,0.1,99.9,0.0,28.2,97.7,0.7,1.6,00111
47.0,64.0,XX.0,XXX,XX,XX,Paikgachha Upazila Total,59689,1.7,62.4,36.0,45.1,94.4,3.0,2.6,00111
47.0,64.0,XX.0,XXX,XX,XX,  Paikgachha Paurashava,3744,10.1,86.1,3.7,73.6,67.8,29.0,3.2,00111
47.0,64.0,1.0,XXX,XX,XX,  Ward No-01 Total,254,0.0,100.0,0.0,50.0,98.8,1.2,0.0,00111
47.0,64.0,2.0,XXX,XX,XX,  Ward No-02 Total,265,0.0,100.0,0.0,60.0,98.5,1.1,0.4,00111
47.0,64.0,3.0,XXX,XX,XX,  Ward No-03 Total,309,0.3,99.0,0.6,56.0,91.6,8.1,0.3,00111
47.0,64.0,4.0,XXX,XX,XX,  Ward No-04 Total,610,1.3,97.2,1.5,81.8,70.7,28.0,1.3,00111
47.0,64.0,5.0,XXX,XX,XX,  Ward No-05 Total,682,3.5,96.0,0.4,77.7,69.6,29.2,1.2,00111
47.0,64.0,6.0,XXX,XX,XX,  Ward No-06 Total,480,40.2,57.1,2.7,77.9,46.3,46.7,7.1,00111
47.0,64.0,7.0,XXX,XX,XX,  Ward No-07 Total,407,25.1,74.7,0.2,76.7,53.6,43.5,2.9,00111
47.0,64.0,8.0,XXX,XX,XX,  Ward No-08 Total,260,0.0,77.7,22.3,93.8,37.7,60.8,1.5,00111
47.0,64.0,9.0,XXX,XX,XX,  Ward No-09 Total,477,10.9,78.0,11.1,70.6,62.9,26.4,10.7,00111
47.0,64.0,16.0,XXX,XX,XX,  Chandkhali Union Total,8939,0.1,20.2,79.8,40.8,97.5,0.5,2.0,00111
47.0,64.0,27.0,XXX,XX,XX,  Deluti Union Total,3799,0.1,81.3,18.6,31.3,95.7,0.1,4.1,00111
47.0,64.0,33.0,XXX,XX,XX,  Gadaipur Union Total,4798,2.6,92.9,4.6,50.1,97.7,0.9,1.4,00111
47.0,64.0,39.0,XXX,XX,XX,  Garuikhali Union Total,5606,0.1,11.6,88.3,28.6,93.5,0.7,5.7,00111
47.0,64.0,44.0,XXX,XX,XX,  Haridhali Union Total,5852,3.4,94.1,2.5,43.7,96.0,2.2,1.8,00111
47.0,64.0,50.0,XXX,XX,XX,  Kapilmuni Union Total,8219,0.7,85.0,14.2,46.4,93.6,4.0,2.4,00111
47.0,64.0,61.0,XXX,XX,XX,  Laskar Union Total,4577,0.2,35.5,64.4,55.8,98.1,0.3,1.6,00111
47.0,64.0,67.0,XXX,XX,XX,  Lata Union Total,2617,1.6,97.5,0.9,51.4,98.5,0.4,1.1,00111
47.0,64.0,83.0,XXX,XX,XX,  Raruli Union Total,6492,1.0,74.0,25.0,44.1,97.1,1.1,1.8,00111
47.0,64.0,89.0,XXX,XX,XX,  Sholadana Union Total,5046,2.1,50.2,47.7,43.6,95.4,0.7,3.9,00111
47.0,69.0,XX.0,XXX,XX,XX,Phultala Upazila Total,19528,1.4,96.9,1.7,82.4,84.6,10.1,5.3,00111
47.0,69.0,38.0,XXX,XX,XX,Damodar Union Total,8484,3.0,94.5,2.5,84.9,81.5,14.1,4.5,00111
47.0,69.0,57.0,XXX,XX,XX,  Jamira Union Total,4415,0.0,99.9,0.1,78.9,97.9,0.9,1.2,00111
47.0,69.0,76.0,XXX,XX,XX,Phultala Union Total,6629,0.2,98.0,1.7,81.4,79.9,11.1,9.0,00111
47.0,75.0,XX.0,XXX,XX,XX,Rupsa Upazila Total,41763,0.7,97.7,1.6,75.8,71.4,23.5,5.1,00111
47.0,75.0,13.0,XXX,XX,XX,  Aijganti Union Total,10345,0.7,96.7,2.6,90.2,53.8,42.5,3.7,00111
47.0,75.0,27.0,XXX,XX,XX,  Ghatbhogh Union Total,7183,0.1,98.2,1.7,63.2,98.0,0.3,1.7,00111
47.0,75.0,54.0,XXX,XX,XX,  Naihati Union Total,14380,1.1,97.5,1.4,76.8,59.4,33.8,6.7,00111
47.0,75.0,67.0,XXX,XX,XX,  Sreefaltala Union Total,5793,0.2,99.8,0.1,75.3,83.3,6.9,9.8,00111
47.0,75.0,81.0,XXX,XX,XX,  T. S. Bahirdia Union Total,4062,0.7,97.3,2.0,58.7,94.7,3.4,1.8,00111
47.0,85.0,XX.0,XXX,XX,XX,Sonadanga Thana Total,38293,5.9,92.2,1.9,95.9,30.2,64.9,4.9,00111
47.0,85.0,16.0,XXX,XX,XX,  Ward No-16 Total,6681,4.0,96.0,0.0,94.7,36.4,55.3,8.3,00111
47.0,85.0,17.0,XXX,XX,XX,  Ward No-17 Total,7608,1.5,98.3,0.2,94.0,24.7,65.9,9.4,00111
47.0,85.0,18.0,XXX,XX,XX,  Ward No-18 Total,6000,12.4,77.5,10.1,93.8,29.1,67.0,3.9,00111
47.0,85.0,19.0,XXX,XX,XX,  Ward No-19 Total,4291,5.5,92.7,1.8,98.7,30.7,67.8,1.5,00111
47.0,85.0,20.0,XXX,XX,XX,  Ward No-20 Total,3648,10.8,88.3,0.9,98.0,26.3,71.0,2.7,00111
47.0,85.0,25.0,XXX,XX,XX,  Ward No-25 Total,4983,2.3,97.7,0.1,98.1,34.5,63.6,1.9,00111
47.0,85.0,26.0,XXX,XX,XX,  Ward No-26 Total,5082,7.5,92.4,0.2,97.0,29.8,67.9,2.3,00111
47.0,94.0,XX.0,XXX,XX,XX,Terokhada Upazila Total,26249,0.1,96.8,3.2,42.6,96.3,1.1,2.6,00111
47.0,94.0,13.0,XXX,XX,XX,  Ajugara Union Total,3407,0.0,99.9,0.1,56.5,94.5,0.4,5.2,00111
47.0,94.0,27.0,XXX,XX,XX,Barasat Union Total,4847,0.1,97.2,2.6,50.0,98.4,0.7,0.9,00111
47.0,94.0,40.0,XXX,XX,XX,  Madhupur Union Total,4116,0.0,96.7,3.3,37.0,95.8,0.5,3.8,00111
47.0,94.0,54.0,XXX,XX,XX,  Sachiadah Union Total,3991,0.1,96.8,3.1,25.7,96.6,0.1,3.3,00111
47.0,94.0,67.0,XXX,XX,XX,  Sagladah Union Total,4486,0.0,91.2,8.8,35.8,98.7,0.1,1.2,00111
47.0,94.0,81.0,XXX,XX,XX,Terokhada Union Total,5402,0.1,99.0,0.9,49.9,93.8,3.9,2.3,00111
18.0,XX.0,XX.0,XXX,XX,XX,Chuadanga Zila Total,276910,3.0,94.8,2.2,60.6,94.5,2.9,2.6,00111
18.0,7.0,XX.0,XXX,XX,XX,Alamdanga Upazila Total,86167,0.6,97.4,2.0,59.7,95.8,2.0,2.2,00111
18.0,7.0,XX.0,XXX,XX,XX,  Alamdanga Paurashava,8008,4.3,92.8,3.0,61.5,75.5,15.8,8.7,00111
18.0,7.0,1.0,XXX,XX,XX,  Ward No-01 Total,990,4.5,95.5,0.0,76.2,50.6,31.5,17.9,00111
18.0,7.0,2.0,XXX,XX,XX,  Ward No-02 Total,1021,9.2,90.8,0.0,71.8,47.4,24.1,28.5,00111
18.0,7.0,3.0,XXX,XX,XX,  Ward No-03 Total,735,3.8,96.1,0.1,90.7,58.9,19.3,21.8,00111
18.0,7.0,4.0,XXX,XX,XX,  Ward No-04 Total,1079,6.1,93.6,0.3,81.7,66.5,32.0,1.6,00111
18.0,7.0,5.0,XXX,XX,XX,  Ward No-05 Total,987,0.6,98.2,1.2,44.6,93.9,4.5,1.6,00111
18.0,7.0,6.0,XXX,XX,XX,  Ward No-06 Total,1027,0.5,99.0,0.5,48.4,93.4,5.6,1.1,00111
18.0,7.0,7.0,XXX,XX,XX,  Ward No-07 Total,810,10.9,73.8,15.3,52.6,85.3,12.5,2.2,00111
18.0,7.0,8.0,XXX,XX,XX,  Ward No-08 Total,662,1.4,89.0,9.7,40.2,97.1,2.4,0.5,00111
18.0,7.0,9.0,XXX,XX,XX,  Ward No-09 Total,697,0.0,95.8,4.2,37.3,99.6,0.0,0.4,00111
18.0,7.0,13.0,XXX,XX,XX,  Belgachhi Union Total,3781,0.2,97.6,2.2,64.2,97.8,0.1,2.2,00111
18.0,7.0,15.0,XXX,XX,XX,Baradi Union Total,4821,0.1,98.1,1.7,59.9,97.3,0.1,2.6,00111
18.0,7.0,23.0,XXX,XX,XX,Bhangabaria Union Total,7022,0.8,95.9,3.3,61.4,98.3,1.0,0.7,00111
18.0,7.0,27.0,XXX,XX,XX,Chithla Union Total,5706,0.1,99.3,0.6,57.6,98.8,0.2,1.0,00111
18.0,7.0,31.0,XXX,XX,XX,  Dauki Union Total,4917,0.1,96.4,3.6,51.0,97.2,0.1,2.8,00111
18.0,7.0,39.0,XXX,XX,XX,  Gangni Union Total,5775,0.1,98.1,1.7,58.6,98.2,1.1,0.7,00111
18.0,7.0,47.0,XXX,XX,XX,Hardi Union Total,7327,0.3,98.0,1.7,59.4,98.3,0.4,1.3,00111
18.0,7.0,51.0,XXX,XX,XX,  Kalidashpur Union Total,5909,0.3,97.8,1.9,73.5,97.4,0.7,1.8,00111
18.0,7.0,55.0,XXX,XX,XX,Jamjami Union Total,4636,0.2,98.6,1.2,40.8,98.2,0.8,1.1,00111
18.0,7.0,63.0,XXX,XX,XX,Jehala Union Total,5346,0.2,97.1,2.7,74.1,93.3,3.3,3.4,00111
18.0,7.0,71.0,XXX,XX,XX,  Khadimpur Union Total,4575,0.2,99.5,0.3,69.1,98.5,0.0,1.5,00111
18.0,7.0,79.0,XXX,XX,XX,Khaskara Union Total,5695,0.1,97.2,2.7,66.2,99.2,0.1,0.7,00111
18.0,7.0,87.0,XXX,XX,XX,Kumari Union Total,4589,0.1,98.5,1.4,69.3,98.4,0.0,1.5,00111
18.0,7.0,94.0,XXX,XX,XX,  Nagdaha Union Total,8060,0.1,98.5,1.5,37.8,98.1,0.4,1.5,00111
18.0,23.0,XX.0,XXX,XX,XX,Chuadanga Sadar Upazila Total,76902,8.8,89.5,1.7,65.4,91.2,5.3,3.5,00111
18.0,23.0,XX.0,XXX,XX,XX,  Chuadanga Paurashava,20311,32.1,66.9,1.0,81.8,79.0,15.8,5.2,00111
18.0,23.0,1.0,XXX,XX,XX,  Ward No-01 Total,2371,24.9,74.5,0.6,72.1,84.8,11.3,3.9,00111
18.0,23.0,2.0,XXX,XX,XX,  Ward No-02 Total,2574,31.3,67.6,1.1,82.3,84.0,11.9,4.1,00111
18.0,23.0,3.0,XXX,XX,XX,  Ward No-03 Total,1901,82.9,16.2,0.9,97.1,64.9,33.6,1.6,00111
18.0,23.0,4.0,XXX,XX,XX,  Ward No-04 Total,1598,89.4,7.4,3.2,97.1,76.4,22.2,1.4,00111
18.0,23.0,5.0,XXX,XX,XX,  Ward No-05 Total,2192,28.1,70.9,0.9,82.3,78.3,14.1,7.6,00111
18.0,23.0,6.0,XXX,XX,XX,  Ward No-06 Total,2570,0.1,99.7,0.2,77.7,97.7,0.2,2.1,00111
18.0,23.0,7.0,XXX,XX,XX,  Ward No-07 Total,2615,7.0,92.8,0.2,73.4,84.0,8.6,7.3,00111
18.0,23.0,8.0,XXX,XX,XX,  Ward No-08 Total,2286,1.9,96.4,1.7,71.6,79.4,10.9,9.7,00111
18.0,23.0,9.0,XXX,XX,XX,  Ward No-09 Total,2204,57.8,41.3,0.9,92.0,53.9,38.5,7.6,00111
18.0,23.0,11.0,XXX,XX,XX,Alokdia Union Total,6871,0.3,98.7,1.0,75.1,90.3,6.0,3.8,00111
18.0,23.0,23.0,XXX,XX,XX,  Begampur Union Total,10264,0.2,97.6,2.2,46.2,95.3,0.3,4.4,00111
18.0,23.0,47.0,XXX,XX,XX,Kutubpur Union Total,8396,0.4,98.8,0.8,68.0,96.1,1.4,2.5,00111
18.0,23.0,59.0,XXX,XX,XX,Mominpur Union Total,3857,0.0,97.1,2.9,72.0,95.6,0.9,3.5,00111
18.0,23.0,62.0,XXX,XX,XX,  Padmabila Union Total,5003,0.3,97.8,1.9,62.7,96.8,1.0,2.2,00111
18.0,23.0,71.0,XXX,XX,XX,Shankar Chandra Union Total,11765,1.2,94.9,3.9,57.8,95.6,1.9,2.6,00111
18.0,23.0,83.0,XXX,XX,XX,Titudaha Union Total,10435,0.0,99.1,0.9,51.4,98.2,0.1,1.7,00111
18.0,31.0,XX.0,XXX,XX,XX,Damurhuda Upazila Total,69737,1.4,95.7,3.0,60.4,95.8,2.2,2.1,00111
18.0,31.0,XX.0,XXX,XX,XX,  Damurhuda  Paurashava,7944,1.2,96.9,1.9,67.8,80.4,14.3,5.3,00111
18.0,31.0,1.0,XXX,XX,XX,  Ward No-01 Total,875,0.5,98.9,0.7,54.6,95.2,2.7,2.1,00111
18.0,31.0,2.0,XXX,XX,XX,  Ward No-02 Total,988,3.0,94.5,2.4,74.1,76.3,20.0,3.6,00111
18.0,31.0,3.0,XXX,XX,XX,  Ward No-03 Total,845,2.5,97.3,0.2,88.2,51.1,45.1,3.8,00111
18.0,31.0,4.0,XXX,XX,XX,  Ward No-04 Total,824,0.7,97.7,1.6,77.9,63.5,18.1,18.4,00111
18.0,31.0,5.0,XXX,XX,XX,  Ward No-05 Total,880,0.2,96.9,2.8,59.5,81.0,7.3,11.7,00111
18.0,31.0,6.0,XXX,XX,XX,  Ward No-06 Total,897,0.7,90.6,8.7,59.0,93.9,4.6,1.6,00111
18.0,31.0,7.0,XXX,XX,XX,  Ward No-07 Total,697,2.2,97.8,0.0,94.0,61.3,34.6,4.2,00111
18.0,31.0,8.0,XXX,XX,XX,  Ward No-08 Total,1048,1.0,98.6,0.5,56.7,94.5,2.9,2.7,00111
18.0,31.0,9.0,XXX,XX,XX,  Ward No-09 Total,890,0.1,99.8,0.1,54.6,98.0,1.0,1.0,00111
18.0,31.0,11.0,XXX,XX,XX,Damurhuda Union Total,9927,6.3,92.1,1.6,67.3,96.0,2.4,1.6,00111
18.0,31.0,23.0,XXX,XX,XX,  Perkrishnapur Madna Union Total,6066,1.7,93.0,5.2,58.6,97.5,0.3,2.2,00111
18.0,31.0,35.0,XXX,XX,XX,Howli Union Total,9799,0.2,97.9,1.9,52.6,97.4,0.2,2.4,00111
18.0,31.0,47.0,XXX,XX,XX,  Juranpur Union Total,9076,0.2,97.9,1.9,58.3,98.9,0.2,0.8,00111
18.0,31.0,59.0,XXX,XX,XX,  Kapasadanga Union Total,10783,0.3,96.9,2.7,61.6,96.7,0.6,2.8,00111
18.0,31.0,71.0,XXX,XX,XX,  Kuralgachhi Union Total,7325,0.1,96.5,3.4,66.2,99.3,0.1,0.6,00111
18.0,31.0,83.0,XXX,XX,XX,  Natipota Union Total,8817,0.5,93.5,6.1,51.8,99.1,0.1,0.8,00111
18.0,55.0,XX.0,XXX,XX,XX,Jiban Nagar Upazila Total,44104,0.2,97.7,2.1,54.3,95.5,1.8,2.6,00111
18.0,55.0,XX.0,XXX,XX,XX,  Jiban Nagar Paurashava,6646,0.6,98.1,1.2,74.8,88.0,10.2,1.7,00111
18.0,55.0,1.0,XXX,XX,XX,  Ward No-01 Total,327,0.0,100.0,0.0,60.6,100.0,0.0,0.0,00111
18.0,55.0,2.0,XXX,XX,XX,  Ward No-02 Total,680,0.3,94.6,5.1,69.3,91.3,5.7,2.9,00111
18.0,55.0,3.0,XXX,XX,XX,  Ward No-03 Total,776,0.4,98.6,1.0,63.8,93.9,4.5,1.5,00111
18.0,55.0,4.0,XXX,XX,XX,  Ward No-04 Total,726,0.0,99.6,0.4,83.3,88.3,9.4,2.3,00111
