ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
78.0,38.0,35.0,XXX,XX,03,  Daspara Union,2140,1568,1093,729,1047,839,57.7,60.0,55.5,00110
78.0,52.0,XX.0,XXX,XX,03,  Dashmina Upazila,9237,6979,4781,3084,4456,3895,57.0,60.8,53.4,00110
78.0,52.0,31.0,XXX,XX,03,  Banshbaria Union,1813,1704,923,795,890,909,51.5,53.7,49.5,00110
78.0,52.0,52.0,XXX,XX,03,  Dashmina Union,7424,5275,3858,2289,3566,2986,58.5,62.8,54.4,00110
78.0,55.0,XX.0,XXX,XX,03,  Dumki Upazila,7872,2573,4134,1153,3738,1420,75.4,78.2,72.5,00110
78.0,55.0,93.0,XXX,XX,03,  Sreerampur Union,7872,2573,4134,1153,3738,1420,75.4,78.2,72.5,00110
78.0,57.0,XX.0,XXX,XX,03,  Galachipa Upazila,2510,1474,1311,660,1199,814,63.0,66.5,59.6,00110
78.0,57.0,50.0,XXX,XX,03,  Chiknikandi Union,745,439,383,191,362,248,62.9,66.7,59.3,00110
78.0,57.0,67.0,XXX,XX,03,  Galachipa Union,1765,1035,928,469,837,566,63.0,66.4,59.7,00110
78.0,66.0,XX.0,XXX,XX,03,  Kala Para Upazila,3572,3948,1827,1956,1745,1992,47.5,48.3,46.7,00110
78.0,66.0,83.0,XXX,XX,03,  Tiakhali Union,3572,3948,1827,1956,1745,1992,47.5,48.3,46.7,00110
78.0,76.0,XX.0,XXX,XX,03,  Mirzaganj Upazila,11687,7647,6013,3621,5674,4026,60.4,62.4,58.5,00110
78.0,76.0,13.0,XXX,XX,03,  Amragachhia Union,1631,790,813,379,818,411,67.4,68.2,66.6,00110
78.0,76.0,27.0,XXX,XX,03,  Deuli Subidkhali Union,6268,3608,3310,1699,2958,1909,63.5,66.1,60.8,00110
