ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,General Households,Percentage of Households comprising-1 person,Percentage of Households comprising-2 persons,Percentage of Households comprising-3 persons,Percentage of Households comprising-4 persons,Percentage of Households comprising-5 persons,Percentage of Households comprising-6 persons,Percentage of Households comprising-7 persons,Percentage of Households comprising-8+ persons,Average size of Household,check_var
47,XX.0,XX.0,XXX,XX,01, Khulna Zila,362083,3.1,10.8,21.5,27.3,18.4,9.7,4.5,4.6,4.2,00110
47,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,38757,3.0,11.1,22.9,27.1,17.9,9.6,4.2,4.2,4.2,00110
47,12.0,35.0,XXX,XX,01,  Batiaghata Union,2800,2.8,11.2,24.1,27.0,16.1,9.1,4.7,5.1,4.2,00110
47,17.0,XX.0,XXX,XX,01,  Dacope Upazila,32995,2.8,11.3,22.4,28.1,18.4,9.1,4.0,3.8,4.1,00110
47,21.0,XX.0,XXX,XX,01,  Daulatpur Thana,2899,3.0,11.4,24.1,25.9,18.1,8.1,4.4,4.9,4.2,00110
47,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,67210,3.0,10.1,21.6,28.0,19.1,9.5,4.1,4.6,4.2,00110
47,30.0,27.0,XXX,XX,01,  Dumuria Union,2125,3.4,9.2,18.0,27.1,19.5,11.7,5.1,6.0,4.4,00110
47,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,26601,4.2,10.5,19.2,25.5,18.6,11.0,5.5,5.4,4.3,00110
47,48.0,XX.0,XXX,XX,01,  Khan Jahan Ali Thana,17205,4.1,10.6,21.8,28.4,17.9,8.9,4.1,4.2,4.1,00110
47,53.0,XX.0,XXX,XX,01,  Koyra Upazila,42977,2.5,11.6,21.3,27.3,18.1,9.8,4.7,4.7,4.2,00110
47,53.0,55.0,XXX,XX,01,  Koyra Union,5090,3.3,11.7,21.7,25.5,17.5,9.8,5.2,5.1,4.2,00110
47,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,55945,3.0,11.1,22.7,28.4,18.0,9.1,3.9,3.8,4.1,00110
47,69.0,XX.0,XXX,XX,01,  Phultala Upazila,12158,2.4,9.3,20.8,28.8,19.5,10.2,4.4,4.6,4.3,00110
47,69.0,38.0,XXX,XX,01,  Damodar Union,1859,1.7,8.2,18.8,29.9,19.8,10.3,5.4,5.8,4.5,00110
47,69.0,76.0,XXX,XX,01,  Phultala Union,5884,2.9,9.9,22.2,28.1,19.0,9.5,3.9,4.4,4.2,00110
47,75.0,XX.0,XXX,XX,01,  Rupsa Upazila,41763,3.3,10.7,21.5,26.4,18.1,9.7,4.9,5.4,4.3,00110
47,94.0,XX.0,XXX,XX,01,  Terokhada Upazila,23573,3.2,10.7,18.1,24.1,19.6,12.4,6.4,5.4,4.4,00110
47,94.0,27.0,XXX,XX,01,  Barasat Union,3717,2.5,8.8,16.7,24.5,20.4,13.7,7.3,6.1,4.6,00110
47,94.0,81.0,XXX,XX,01,  Terokhada Union,3856,5.5,18.1,20.5,23.1,16.9,9.0,4.3,2.7,3.9,00110
18,XX.0,XX.0,XXX,XX,01, Chuadanga Zila,202606,2.7,11.5,23.5,29.8,17.9,8.0,3.4,3.1,4.1,00110
18,7.0,XX.0,XXX,XX,01,  Alamdanga Upazila,66892,2.7,12.1,24.3,30.1,17.2,7.5,3.2,2.9,4.0,00110
18,7.0,15.0,XXX,XX,01,  Baradi Union,4545,2.9,11.2,22.6,31.1,17.8,8.3,2.9,3.3,4.1,00110
18,7.0,23.0,XXX,XX,01,  Bhangabaria Union,6119,3.2,13.2,26.0,29.7,16.0,6.3,2.7,2.9,3.9,00110
18,7.0,27.0,XXX,XX,01,  Chithla Union,4793,2.5,12.1,26.4,29.9,17.1,6.8,2.9,2.4,3.9,00110
18,7.0,47.0,XXX,XX,01,  Hardi Union,4287,3.8,11.9,24.1,30.0,16.6,7.0,2.9,3.6,4.0,00110
18,7.0,55.0,XXX,XX,01,  Jamjami Union,3206,1.9,12.5,24.5,30.9,17.8,6.9,2.9,2.5,4.0,00110
18,7.0,63.0,XXX,XX,01,  Jehala Union,2882,2.0,11.9,23.2,29.4,18.7,7.8,3.8,3.2,4.1,00110
18,7.0,79.0,XXX,XX,01,  Khaskara Union,5471,2.5,12.5,22.6,30.1,18.8,8.0,3.1,2.5,4.0,00110
18,7.0,87.0,XXX,XX,01,  Kumari Union,2572,3.3,11.0,25.0,29.5,17.9,7.9,3.3,2.0,4.0,00110
18,23.0,XX.0,XXX,XX,01,  Chuadanga Sadar Upazila,46179,3.0,11.9,24.1,29.8,17.4,7.8,3.3,2.7,4.0,00110
18,23.0,11.0,XXX,XX,01,  Alokdia Union,641,2.3,13.4,24.2,29.8,17.9,6.6,3.1,2.7,4.0,00110
18,23.0,47.0,XXX,XX,01,  Kutubpur Union,7896,2.4,13.3,26.2,29.3,15.6,7.2,3.3,2.7,3.9,00110
18,23.0,59.0,XXX,XX,01,  Mominpur Union,2347,2.9,10.4,23.4,28.4,18.7,9.3,3.9,2.9,4.1,00110
18,23.0,71.0,XXX,XX,01,  Shankar Chandra Union,10498,2.9,11.7,23.6,30.7,17.7,7.8,3.2,2.5,4.0,00110
18,23.0,83.0,XXX,XX,01,  Titudaha Union,9530,4.1,12.8,23.9,29.1,16.9,7.2,3.1,2.8,3.9,00110
18,31.0,XX.0,XXX,XX,01,  Damurhuda Upazila,55182,2.3,10.9,22.7,29.6,18.7,8.7,3.7,3.5,4.1,00110
18,31.0,11.0,XXX,XX,01,  Damurhuda Union,6513,2.1,9.9,22.0,31.2,19.7,8.4,3.5,3.2,4.1,00110
18,31.0,35.0,XXX,XX,01,  Howli Union,6602,2.4,11.3,22.6,29.1,19.3,9.0,3.6,2.7,4.1,00110
18,55.0,XX.0,XXX,XX,01,  Jiban Nagar Upazila,34353,2.9,10.8,22.4,29.5,18.8,8.5,3.9,3.3,4.1,00110
18,55.0,38.0,XXX,XX,01,  Banka Union,10392,2.3,10.7,22.5,30.2,19.0,8.5,3.7,3.2,4.1,00110
18,55.0,76.0,XXX,XX,01,  Uthali Union,10102,2.7,10.5,22.7,28.3,19.3,8.7,4.2,3.6,4.1,00110
65,XX.0,XX.0,XXX,XX,01, Narail Zila,136603,3.1,9.7,18.6,25.2,19.7,11.7,5.8,6.1,4.4,00110
65,28.0,XX.0,XXX,XX,01,  Kalia Upazila,40590,3.2,9.6,17.6,23.8,19.6,12.9,6.5,6.7,4.5,00110
65,28.0,14.0,XXX,XX,01,  Boranal Eliasabad Union,952,3.4,11.1,20.1,25.1,17.8,12.2,5.9,4.5,4.3,00110
65,28.0,71.0,XXX,XX,01,  Mauli Union,3543,3.7,9.9,18.7,23.7,19.2,12.9,5.8,6.1,4.4,00110
65,28.0,87.0,XXX,XX,01,  Peruli Union,4549,3.5,8.8,15.2,23.2,19.9,13.7,7.6,8.1,4.7,00110
65,28.0,95.0,XXX,XX,01,  Salamabad Union,1267,2.6,8.1,15.5,22.8,19.1,13.7,6.9,11.2,4.8,00110
65,52.0,XX.0,XXX,XX,01,  Lohagara Upazila,45249,3.3,9.7,18.4,24.5,19.5,12.0,6.1,6.5,4.5,00110
65,76.0,XX.0,XXX,XX,01,  Narail Sadar Upazila,50764,2.8,9.6,19.7,27.0,19.9,10.6,5.1,5.2,4.4,00110
44,XX.0,XX.0,XXX,XX,01, Jhenaidah Zila,355164,2.4,10.8,21.9,29.1,19.0,9.0,4.0,3.9,4.2,00110
