ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,12,XX,XXX,XX,01,  Batiaghata Upazila,36038,15658,20380,11362,992,138,51,219,14309.0,3939,5028,01110
47,17,XX,XXX,XX,01,  Dacope Upazila,29859,11082,18777,8671,1113,74,49,126,13140.0,2211,4475,01110
47,30,XX,XXX,XX,01,  Dumuria Upazila,72394,29673,42721,25016,2436,100,64,306,32284.0,4251,7937,01110
47,40,XX,XXX,XX,01,  Dighalia Upazila,24773,11425,13348,8970,920,88,34,116,9186.0,2251,3208,01110
47,53,XX,XXX,XX,01,  Koyra Upazila,45154,17525,27629,13800,1221,235,139,216,20538.0,3274,5731,01110
47,64,XX,XXX,XX,01,  Paikgachha Upazila,58725,23154,35571,18580,1948,90,69,218,25910.0,4266,7644,01110
47,69,XX,XXX,XX,01,  Phultala Upazila,11606,4740,6866,3991,516,12,12,71,5104.0,666,1234,01110
47,75,XX,XXX,XX,01,  Rupsa Upazila,33305,14856,18449,11747,2594,87,39,201,11471.0,2821,4345,01110
47,94,XX,XXX,XX,01,  Terokhada Upazila,29663,14149,15514,11517,655,55,30,126,11919.0,2451,2910,01110
18,07,XX,XXX,XX,01,  Alamdanga Upazila,98616,47643,50973,42531,1215,107,73,301,43619.0,4704,6066,01110
18,23,XX,XXX,XX,01,  Chuadanga Sadar Upazila,64941,31451,33490,28009,1069,199,43,152,28256.0,3091,4122,01110
18,31,XX,XXX,XX,01,  Damurhuda Upazila,73493,36195,37298,31404,1049,100,50,208,30398.0,4483,5801,01110
18,55,XX,XXX,XX,01,  Jiban Nagar Upazila,43549,21158,22391,17950,788,28,28,106,17695.0,3074,3880,01110
65,28,XX,XXX,XX,01,  Kalia Upazila,50114,23092,27022,18394,819,163,61,311,20762.0,4224,5380,01110
65,52,XX,XXX,XX,01,  Lohagara Upazila,52655,23491,29164,19374,758,130,44,206,22963.0,3781,5399,01110
65,76,XX,XXX,XX,01,  Narail Sadar Upazila,57382,25356,32026,21222,758,94,45,282,25456.0,3758,5767,01110
44,14,XX,XXX,XX,01,  Harinakundu Upazila,63384,31023,32361,28186,586,71,55,250,28362.0,2516,3358,01110
44,19,XX,XXX,XX,01,  Jhenaidah Sadar Upazila,111978,50858,61120,44701,1866,137,70,473,50983.0,5547,8201,01110
44,33,XX,XXX,XX,01,  Kaliganj Upazila,64434,28840,35594,25261,949,52,36,185,29433.0,3342,5176,01110
44,42,XX,XXX,XX,01,  Kotchandpur Upazila,33829,15707,18122,13947,408,32,20,145,15264.0,1583,2430,01110
44,71,XX,XXX,XX,01,  Maheshpur Upazila,97265,46255,51010,39824,1375,132,72,321,41732.0,5978,7831,01110
44,80,XX,XXX,XX,01,  Shailkupa Upazila,114471,53167,61304,47214,1456,165,143,446,51777.0,5342,7928,01110
41,04,XX,XXX,XX,01,  Abhaynagar Upazila,38946,16616,22330,13723,1349,34,32,93,16500.0,2766,4449,01110
41,09,XX,XXX,XX,01,  Bagherpara Upazila,53474,24022,29452,20025,1017,54,42,318,22982.0,3625,5411,01110
41,11,XX,XXX,XX,01,  Chaugachha Upazila,57042,25928,31114,22947,719,35,39,142,25544.0,2804,4812,01110
41,23,XX,XXX,XX,01,  Jhikargachha Upazila,66149,28935,37214,25266,1042,68,60,422,30289.0,3179,5823,01110
41,38,XX,XXX,XX,01,  Keshabpur Upazila,54903,22847,32056,19599,1277,75,67,212,25247.0,2961,5465,01110
41,47,XX,XXX,XX,01,  Jessore Sadar Upazila,106240,47423,58817,39620,3090,146,82,488,44165.0,7169,11480,01110
41,61,XX,XXX,XX,01,  Manirampur Upazila,101695,43738,57957,38011,1765,98,76,366,46958.0,5263,9158,01110
41,90,XX,XXX,XX,01,  Sharsha Upazila,79313,36026,43287,31405,1951,132,96,303,34496.0,4186,6744,01110
1,08,XX,XXX,XX,01,  Bagerhat Sadar Upazila,35534,16564,18970,13074,869,129,31,268,13104.0,3093,4966,01110
1,14,XX,XXX,XX,01,  Chitalmari Upazila,30407,14128,16279,10991,431,67,30,181,11871.0,2889,3947,01110
1,34,XX,XXX,XX,01,  Fakirhat Upazila,20105,9090,11015,7262,583,59,26,215,7682.0,1554,2724,01110
1,38,XX,XXX,XX,01,  Kachua Upazila,14341,6657,7684,5261,237,31,9,77,5388.0,1288,2050,01110
1,56,XX,XXX,XX,01,  Mollahat Upazila,28702,13818,14884,10818,529,63,38,321,11131.0,2616,3186,01110
1,58,XX,XXX,XX,01,  Mongla Upazila,19908,9668,10240,7727,908,113,52,187,7137.0,1641,2143,01110
1,60,XX,XXX,XX,01,  Morrelganj Upazila,35295,16159,19136,12071,704,336,60,744,13974.0,3008,4398,01110
1,73,XX,XXX,XX,01,  Rampal Upazila,30064,13805,16259,10859,837,253,54,274,11449.0,2419,3919,01110
1,77,XX,XXX,XX,01,  Sarankhola Upazila,14760,9288,5472,7639,310,106,22,317,3800.0,1226,1340,01110
55,57,XX,XXX,XX,01,  Magura Sadar Upazila,86037,39074,46963,33884,1037,109,67,430,39361.0,4651,6498,01110
55,66,XX,XXX,XX,01,  Mohammadpur Upazila,58352,26506,31846,22336,734,92,40,403,26336.0,3675,4736,01110
55,85,XX,XXX,XX,01,  Shalikha Upazila,48334,21566,26768,18592,576,47,30,173,21927.0,2754,4235,01110
55,95,XX,XXX,XX,01,  Sreepur Upazila,47759,21404,26355,18837,638,64,44,171,21778.0,2332,3895,01110
50,15,XX,XXX,XX,01,  Bheramara Upazila,56491,27472,29019,23775,1005,122,63,219,24227.0,3356,3724,01110
50,39,XX,XXX,XX,01,  Daulatpur Upazila,169585,80615,88970,70793,3057,426,245,1074,76157.0,8322,9511,01110
50,63,XX,XXX,XX,01,  Khoksa Upazila,38686,17916,20770,16031,929,84,31,116,17436.0,1685,2374,01110
50,71,XX,XXX,XX,01,  Kumarkhali Upazila,112447,53419,59028,47112,1737,239,131,409,49606.0,5659,7554,01110
50,79,XX,XXX,XX,01,  Kushtia Sadar Upazila,131966,61928,70038,54405,2975,174,95,370,57215.0,6979,9753,01110
50,94,XX,XXX,XX,01,  Mirpur Upazila,117911,57798,60113,52589,1236,149,104,445,52540.0,4615,6233,01110
57,47,XX,XXX,XX,01,  Gangni Upazila,108304,52459,55845,46691,1517,196,114,356,48434.0,5216,5780,01110
57,60,XX,XXX,XX,01,  Mujib Nagar Upazila,30186,14825,15361,13400,209,18,17,116,13478.0,1291,1657,01110
57,87,XX,XXX,XX,01,  Meherpur Sadar Upazila,73414,35063,38351,31170,906,149,70,160,32757.0,3584,4618,01110
87,04,XX,XXX,XX,01,  Assasuni Upazila,70717,28727,41990,23146,2475,148,112,733,31594.0,4700,7809,01110
87,25,XX,XXX,XX,01,  Debhata Upazila,29537,12199,17338,10343,1485,38,13,91,12718.0,1727,3122,01110
87,43,XX,XXX,XX,01,  Kalaroa Upazila,58127,25037,33090,22212,966,75,34,139,27337.0,2611,4753,01110
87,47,XX,XXX,XX,01,  Kaliganj Upazila,62559,26027,36532,21233,2184,153,55,346,27204.0,4295,7089,01110
87,82,XX,XXX,XX,01,  Satkhira Sadar Upazila,85317,36475,48842,31131,2974,105,81,211,37199.0,5028,8588,01110
87,86,XX,XXX,XX,01,  Shyamnagar Upazila,87398,34193,53205,27189,3494,305,202,462,38605.0,6237,10904,01110
87,90,XX,XXX,XX,01,  Tala Upazila,76541,31631,44910,27039,1721,75,65,673,35737.0,3844,7387,01110
42,40,XX,XXX,XX,01,  Jhalokati Sadar Upazila,22159,9864,12295,7175,379,100,33,238,8212.0,2351,3671,01110
42,43,XX,XXX,XX,01,  Kanthalia Upazila,14764,6572,8192,4758,278,86,33,269,5881.0,1459,2000,01110
42,73,XX,XXX,XX,01,  Nalchity Upazila,21491,9534,11957,6898,400,164,34,369,8772.0,2103,2751,01110
42,84,XX,XXX,XX,01,  Rajapur Upazila,15197,6540,8657,4603,351,43,27,462,6397.0,1432,1882,01110
78,38,XX,XXX,XX,01,  Bauphal Upazila,59751,25527,34224,19715,1304,342,98,750,26243.0,4720,6579,01110
78,52,XX,XXX,XX,01,  Dashmina Upazila,28151,12142,16009,9570,953,172,34,471,12372.0,1929,2650,01110
78,55,XX,XXX,XX,01,  Dumki Upazila,8301,3439,4862,2525,93,45,13,131,3706.0,738,1050,01110
78,57,XX,XXX,XX,01,  Galachipa Upazila,83590,39360,44230,30542,2607,352,135,1300,32562.0,7166,8926,01110
78,66,XX,XXX,XX,01,  Kala Para Upazila,37656,18325,19331,14668,901,247,54,465,14848.0,2945,3528,01110
78,76,XX,XXX,XX,01,  Mirzaganj Upazila,14749,5923,8826,4450,294,52,23,312,6704.0,1109,1805,01110
78,95,XX,XXX,XX,01,  Patuakhali Sadar Upazila,47240,20018,27222,15121,1027,240,100,850,20360.0,3807,5735,01110
6,02,XX,XXX,XX,01,  Agailjhara Upazila,21853,8879,12974,6537,582,52,31,293,9004.0,1997,3357,01110
6,03,XX,XXX,XX,01,  Babuganj Upazila,20027,8910,11117,6819,270,54,25,210,8028.0,1827,2794,01110
6,07,XX,XXX,XX,01,  Bakerganj Upazila,52427,22880,29547,17372,734,301,79,644,22174.0,4563,6560,01110
6,10,XX,XXX,XX,01,  Banari Para Upazila,17224,7578,9646,5673,347,75,24,201,6804.0,1629,2471,01110
6,32,XX,XXX,XX,01,  Gaurnadi Upazila,29946,13169,16777,9960,409,81,36,354,12401.0,2774,3931,01110
6,36,XX,XXX,XX,01,  Hizla Upazila,35093,18214,16879,14554,617,161,52,258,13382.0,3241,2828,01110
6,51,XX,XXX,XX,01,  Barisal Sadar Upazila,33309,16060,17249,12161,628,211,71,428,12256.0,3260,4294,01110
6,62,XX,XXX,XX,01,  Mehendiganj Upazila,62880,32438,30442,25906,1138,299,131,454,22921.0,5779,6252,01110
6,69,XX,XXX,XX,01,  Muladi Upazila,34974,15652,19322,12052,819,153,76,296,14887.0,3151,3540,01110
6,94,XX,XXX,XX,01,  Wazirpur Upazila,34472,14658,19814,11294,615,88,44,226,14045.0,3050,5110,01110
79,14,XX,XXX,XX,01,  Bhandaria Upazila,15856,7546,8310,5402,238,105,22,427,5926.0,1612,2124,01110
79,47,XX,XXX,XX,01,  Kawkhali Upazila,5623,2666,2957,1970,191,13,8,108,1997.0,575,761,01110
