ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
70.0,18.0,18.0,XXX,XX,01,  Bholahat Union,5306,6877,2414,3638,2892,3239,43.6,39.9,47.2,00110
70.0,37.0,XX.0,XXX,XX,01,  Gomastapur Upazila,71010,112089,33411,56476,37599,55613,38.8,37.2,40.3,00110
70.0,37.0,42.0,XXX,XX,01,  Chowdala Union,6765,13268,2983,6772,3782,6496,33.8,30.6,36.8,00110
70.0,37.0,52.0,XXX,XX,01,  Gomastapur Union,8763,15399,4039,7863,4724,7536,36.3,33.9,38.5,00110
70.0,56.0,XX.0,XXX,XX,01,  Nachole Upazila,48235,61167,23477,30689,24758,30478,44.1,43.3,44.8,00110
70.0,66.0,XX.0,XXX,XX,01,  Chapai Nawabganj Sadar Upazila,110356,177011,49792,87464,60564,89547,38.4,36.3,40.3,00110
70.0,88.0,XX.0,XXX,XX,01,  Shibganj Upazila,173647,279935,83214,142367,90433,137568,38.3,36.9,39.7,00110
70.0,88.0,41.0,XXX,XX,01,  Kansat Union,8695,19454,3994,10067,4701,9387,30.9,28.4,33.4,00110
69.0,XX.0,XX.0,XXX,XX,01, Natore Zila,603703,672047,314687,321109,289016,350938,47.3,49.5,45.2,00110
69.0,9.0,XX.0,XXX,XX,01,  Bagatipara Upazila,59339,46503,31042,21459,28297,25044,56.1,59.1,53.0,00110
69.0,15.0,XX.0,XXX,XX,01,  Baraigram Upazila,100271,106486,50991,51233,49280,55253,48.5,49.9,47.1,00110
69.0,41.0,XX.0,XXX,XX,01,  Gurudaspur Upazila,61644,94068,32717,44717,28927,49351,39.6,42.3,37.0,00110
69.0,44.0,XX.0,XXX,XX,01,  Lalpur Upazila,108746,109603,54877,54935,53869,54668,49.8,50.0,49.6,00110
69.0,63.0,XX.0,XXX,XX,01,  Natore Sadar Upazila,156267,149925,81755,70740,74512,79185,51.0,53.6,48.5,00110
69.0,91.0,XX.0,XXX,XX,01,  Singra Upazila,117436,165462,63305,78025,54131,87437,41.5,44.8,38.2,00110
38.0,XX.0,XX.0,XXX,XX,01, Joypurhat Zila,370797,301747,198887,138029,171910,163718,55.1,59.0,51.2,00110
38.0,13.0,XX.0,XXX,XX,01,  Akkelpur Upazila,55058,43966,28905,19904,26153,24062,55.6,59.2,52.1,00110
38.0,47.0,XX.0,XXX,XX,01,  Joypurhat Sadar Upazila,118303,74440,63506,34297,54797,40143,61.4,64.9,57.7,00110
38.0,58.0,XX.0,XXX,XX,01,  Kalai Upazila,54727,56329,29652,25148,25075,31181,49.3,54.1,44.6,00110
38.0,61.0,XX.0,XXX,XX,01,  Khetlal Upazila,44763,40095,24222,18169,20541,21926,52.8,57.1,48.4,00110
38.0,61.0,47.0,XXX,XX,01,  Khetlal Union,4650,4284,2544,2051,2106,2233,52.0,55.4,48.5,00110
38.0,74.0,XX.0,XXX,XX,01,  Panchbibi Upazila,97946,86917,52602,40511,45344,46406,53.0,56.5,49.4,00110
13.0,XX.0,XX.0,XXX,XX,01, Chandpur Zila,912111,745108,415257,352732,496854,392376,55.0,54.1,55.9,00110
13.0,22.0,XX.0,XXX,XX,01,  Chandpur Sadar Upazila,122678,124180,56338,60749,66340,63431,49.7,48.1,51.1,00110
13.0,45.0,XX.0,XXX,XX,01,  Faridganj Upazila,175461,127620,76618,59564,98843,68056,57.9,56.3,59.2,00110
13.0,47.0,XX.0,XXX,XX,01,  Haim Char Upazila,39808,43830,19300,21194,20508,22636,47.6,47.7,47.5,00110
13.0,47.0,23.0,XXX,XX,01,  Dakshin Algi Durgapur Union,12159,8904,5720,4140,6439,4764,57.7,58.0,57.5,00110
13.0,49.0,XX.0,XXX,XX,01,  Hajiganj Upazila,128861,89390,57898,42982,70963,46408,59.0,57.4,60.5,00110
13.0,49.0,35.0,XXX,XX,01,  Hajiganj Union,14798,11111,6613,5443,8185,5668,57.1,54.9,59.1,00110
13.0,58.0,XX.0,XXX,XX,01,  Kachua Upazila,155766,137910,71202,65178,84564,72732,53.0,52.2,53.8,00110
13.0,76.0,XX.0,XXX,XX,01,  Matlab Upazila,68317,57624,30835,26240,37482,31384,54.2,54.0,54.4,00110
13.0,79.0,XX.0,XXX,XX,01,  Matlab Uttar Upazila,117035,100872,56980,46514,60055,54358,53.7,55.1,52.5,00110
13.0,95.0,XX.0,XXX,XX,01,  Shahrasti Upazila,104185,63682,46086,30311,58099,33371,62.1,60.3,63.5,00110
3.0,XX.0,XX.0,XXX,XX,01, Bandarban Zila,66821,162169,39314,79664,27507,82505,29.2,33.0,25.0,00110
3.0,4.0,XX.0,XXX,XX,01,  Alikadam Upazila,6611,20256,3809,10005,2802,10251,24.6,27.6,21.5,00110
3.0,4.0,31.0,XXX,XX,01,  Alikadam Union,1368,9329,926,4614,442,4715,12.8,16.7,8.6,00110
3.0,14.0,XX.0,XXX,XX,01,  Bandarban Sadar Upazila,12625,25942,7601,12621,5024,13321,32.7,37.6,27.4,00110
3.0,51.0,XX.0,XXX,XX,01,  Lama Upazila,21666,49810,12252,25068,9414,24742,30.3,32.8,27.6,00110
