ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
82,XX,XX,XXX,XX,01, Rajbari Zila,19765,18617,18682,18413,4209,2780,27029,43288,951,378,35882,44876,11110
61,XX,XX,XXX,XX,01, Mymensingh Zila,65527,60304,100199,96366,13061,7719,124758,191504,2659,1121,152567,194195,11110
67,XX,XX,XXX,XX,01, Narayanganj Zila,29432,29397,66838,70822,7954,4610,91013,113900,1704,652,106860,106373,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,38371,32706,65743,82465,10284,5533,130784,161350,2191,784,157231,137577,11110
56,XX,XX,XXX,XX,01, Manikganj Zila,24806,19006,22661,28114,6043,2870,35086,59288,1316,470,43615,63478,11110
26,XX,XX,XXX,XX,01, Dhaka Zila,42887,35663,85591,95675,14388,6698,139108,178273,2952,906,168919,160175,11110
86,XX,XX,XXX,XX,01, Shariatpur Zila,15335,18281,26976,28870,2072,1518,28823,44126,401,180,31642,44457,11110
54,XX,XX,XXX,XX,01, Madaripur Zila,18415,17505,25412,25409,3328,2018,29630,43181,669,304,32630,44811,11110
93,XX,XX,XXX,XX,01, Tangail Zila,60949,42587,56421,68158,14411,7083,86712,151262,2780,1018,110859,157624,11110
48,XX,XX,XXX,XX,01, Kishoreganj Zila,32474,33805,61524,55570,5691,3617,67555,103831,1086,445,79402,110160,11110
89,XX,XX,XXX,XX,01, Sherpur Zila,19409,14886,23327,23686,3424,1804,31270,54084,636,272,44244,56133,11110
68,XX,XX,XXX,XX,01, Narsingdi Zila,31042,33136,48184,43902,6091,4147,56703,83627,1090,528,61959,83064,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,38371,32706,65743,82465,10284,5533,130784,161350,2191,784,157231,137577,11110
90,XX,XX,XXX,XX,01, Sunamganj Zila,23188,21743,72187,66760,3563,2081,74935,91130,596,227,75539,93628,11110
36,XX,XX,XXX,XX,01, Habiganj Zila,22042,22314,59131,60372,4036,2392,60146,81908,659,283,62445,81607,11110
91,XX,XX,XXX,XX,01, Sylhet Zila,47145,47572,95451,93484,10497,5391,100041,115796,1842,560,93155,114842,11110
58,XX,XX,XXX,XX,01, Maulvibazar Zila,26759,30244,57939,56583,4800,3592,59983,76438,827,438,59764,79246,11110
