ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,XX,XX,XXX,XX,03, Khulna Zila,6448,5507,941,2864,201,656,245,1987,495,11110
18,XX,XX,XXX,XX,03, Chuadanga Zila,16579,15758,821,12289,242,617,74,2852,505,11110
65,XX,XX,XXX,XX,03, Narail Zila,2972,2847,125,2460,72,60,6,327,47,11110
44,XX,XX,XXX,XX,03, Jhenaidah Zila,1582,1548,34,1379,8,72,6,97,20,11110
41,XX,XX,XXX,XX,03, Jessore Zila,4335,3611,724,1736,100,316,103,1559,521,11110
1,XX,XX,XXX,XX,03, Bagerhat Zila,4906,4526,380,2290,53,178,23,2058,304,11110
55,XX,XX,XXX,XX,03, Magura Zila,1773,1652,121,897,9,100,9,655,103,11110
50,XX,XX,XXX,XX,03, Kushtia Zila,6029,5633,396,3893,99,322,64,1418,233,11110
57,XX,XX,XXX,XX,03, Meherpur Zila,1813,1779,34,1493,16,5,0,281,18,11110
87,XX,XX,XXX,XX,03, Satkhira Zila,4607,3926,681,2105,219,336,37,1485,425,11110
42,XX,XX,XXX,XX,03, Jhalokati Zila,968,901,67,417,9,82,13,402,45,11110
78,XX,XX,XXX,XX,03, Patuakhali Zila,4970,4701,269,3111,94,300,16,1290,159,11110
6,XX,XX,XXX,XX,03, Barisal Zila,3743,3486,257,1995,68,509,39,982,150,11110
79,XX,XX,XXX,XX,03, Pirojpur Zila,2246,2031,215,703,45,193,26,1135,144,11110
9,XX,XX,XXX,XX,03, Bhola Zila,13018,12486,532,7549,237,1124,81,3813,214,11110
4,XX,XX,XXX,XX,03, Barguna Zila,1241,1174,67,901,34,69,12,204,21,11110
52,XX,XX,XXX,XX,03, Lalmonirhat Zila,4049,3641,408,3228,317,221,16,192,75,11110
77,XX,XX,XXX,XX,03, Panchagarh Zila,2632,2199,433,870,69,128,29,1201,335,11110
85,XX,XX,XXX,XX,03, Rangpur Zila,5808,5221,587,3386,215,216,25,1619,347,11110
49,XX,XX,XXX,XX,03, Kurigram Zila,18145,16364,1781,11775,824,769,61,3820,896,11110
32,XX,XX,XXX,XX,03, Gaibandha Zila,10156,9362,794,4785,161,405,38,4172,595,11110
73,XX,XX,XXX,XX,03, Nilphamari Zila,6359,5790,569,4372,300,484,26,934,243,11110
94,XX,XX,XXX,XX,03, Thakurgaon Zila,3597,3215,382,2223,139,152,14,840,229,11110
27,XX,XX,XXX,XX,03, Dinajpur Zila,6042,5398,644,2601,220,335,69,2462,355,11110
10,XX,XX,XXX,XX,03, Bogra Zila,6552,5702,850,2371,78,1261,213,2070,559,11110
88,XX,XX,XXX,XX,03, Sirajganj Zila,8295,7893,402,5046,132,1334,43,1513,227,11110
81,XX,XX,XXX,XX,03, Rajshahi Zila,2740,2502,238,1949,30,62,5,491,203,11110
64,XX,XX,XXX,XX,03, Naogaon Zila,8879,7902,977,4696,234,580,111,2626,632,11110
70,XX,XX,XXX,XX,03, Chapai Nawabganj Zila,5660,5355,305,3444,48,320,38,1591,219,11110
38,XX,XX,XXX,XX,03, Joypurhat Zila,1424,1370,54,898,5,15,2,457,47,11110
13,XX,XX,XXX,XX,03, Chandpur Zila,1722,1671,51,995,12,105,4,571,35,11110
3,XX,XX,XXX,XX,03, Bandarban Zila,5713,4737,976,3775,827,237,36,725,113,11110
19,XX,XX,XXX,XX,03, Comilla Zila,11104,10152,952,4576,164,929,95,4647,693,11110
12,XX,XX,XXX,XX,03, Brahmanbaria Zila,15558,13631,1927,4756,207,1872,742,7003,978,11110
51,XX,XX,XXX,XX,03, Lakshmipur Zila,5535,5220,315,3664,110,268,60,1288,145,11110
46,XX,XX,XXX,XX,03, Khagrachhari Zila,12125,10188,1937,7745,1450,243,26,2200,461,11110
22,XX,XX,XXX,XX,03, Cox's Bazar Zila,23834,22233,1601,11411,560,2910,188,7912,853,11110
15,XX,XX,XXX,XX,03, Chittagong Zila,9699,9026,673,3118,97,1044,126,4864,450,11110
84,XX,XX,XXX,XX,03, Rangamati Zila,6955,5649,1306,4369,1159,541,20,739,127,11110
30,XX,XX,XXX,XX,03, Feni Zila,709,682,27,326,2,161,3,195,22,11110
75,XX,XX,XXX,XX,03, Noakhali Zila,11427,10078,1349,6117,767,614,102,3347,480,11110
29,XX,XX,XXX,XX,03, Faridpur Zila,7909,7536,373,5444,94,494,12,1598,267,11110
72,XX,XX,XXX,XX,03, Netrakona Zila,8254,7508,746,4894,207,199,47,2415,492,11110
39,XX,XX,XXX,XX,03, Jamalpur Zila,7539,6902,637,4389,154,249,34,2264,449,11110
59,XX,XX,XXX,XX,03, Munshiganj Zila,7678,6465,1213,1591,110,639,160,4235,943,11110
35,XX,XX,XXX,XX,03, Gopalganj Zila,3516,3313,203,2400,55,93,6,820,142,11110
82,XX,XX,XXX,XX,03, Rajbari Zila,3856,3691,165,2642,65,220,6,829,94,11110
61,XX,XX,XXX,XX,03, Mymensingh Zila,28006,25728,2278,11933,276,3165,537,10630,1465,11110
67,XX,XX,XXX,XX,03, Narayanganj Zila,4234,3727,507,1167,24,580,227,1980,256,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,1918,1536,382,365,9,250,164,921,209,11110
56,XX,XX,XXX,XX,03, Manikganj Zila,2720,2455,265,1464,64,373,50,618,151,11110
26,XX,XX,XXX,XX,03, Dhaka Zila,179375,134236,45139,9810,669,28028,15094,96398,29376,11110
86,XX,XX,XXX,XX,03, Shariatpur Zila,1244,1134,110,620,36,126,10,388,64,11110
54,XX,XX,XXX,XX,03, Madaripur Zila,3182,2955,227,2064,144,185,15,706,68,11110
93,XX,XX,XXX,XX,03, Tangail Zila,9301,8958,343,6363,145,472,32,2123,166,11110
