0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,check_var
5,04,09,00,00,00,  Barura Paurashava,0,19,9,1,   ,  ,       ,Ward No-01 Total,00000
0,00,00,00,00,00,  Chandina Paurashava,0,19,27,1,   ,  ,       ,Ward No-01 Total,00000
4,05,08,01,00,00,  Chauddagram Paurashava,0,19,31,1,   ,  ,       ,Ward No-01 Total,00000
4,05,02,00,00,07,  Daudkandi Paurashava,0,19,36,1,   ,  ,       ,Ward No-01 Total,00000
3,02,05,00,00,00,  Debidwar Paurashava,0,19,40,1,   ,  ,       ,Ward No-01 Total,00000
1,02,03,00,00,00,  Homna Paurashava,0,19,54,1,   ,  ,       ,Ward No-01 Total,00000
282,240,08,00,00,514,Comilla Paurashava,0,19,67,1,   ,  ,       ,Ward No-01 Total,00000
18,50,30,04,00,34,  Laksam Paurashava,0,19,72,1,   ,  ,       ,Ward No-01 Total,00000
0,00,00,00,00,00,  Nangalkot Paurashava,0,19,87,1,   ,  ,       ,Ward No-01 Total,00000
