ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,12,35,XXX,XX,03,  Batiaghata Union,1387,506,881,293,70,1,0,108,617.0,104,194,00110
47,30,27,XXX,XX,03,  Dumuria Union,4524,1935,2589,1576,165,8,4,17,1854.0,334,566,00110
47,53,55,XXX,XX,03,  Koyra Union,2540,1093,1447,847,90,17,2,10,1001.0,219,354,00110
47,69,38,XXX,XX,03,  Damodar Union,4728,1864,2864,1361,426,4,10,18,1662.0,481,766,00110
47,69,76,XXX,XX,03,  Phultala Union,751,351,400,280,157,0,1,0,142.0,71,100,00110
47,94,27,XXX,XX,03,  Barasat Union,996,469,527,392,21,4,2,11,419.0,62,85,00110
47,94,81,XXX,XX,03,  Terokhada Union,2101,1040,1061,758,12,47,8,7,813.0,228,228,00110
18,07,15,XXX,XX,03,  Baradi Union,284,132,152,118,0,0,0,0,136.0,14,16,00110
18,07,23,XXX,XX,03,  Bhangabaria Union,1469,722,747,623,20,1,0,9,650.0,89,77,00110
18,07,27,XXX,XX,03,  Chithla Union,1171,543,628,495,7,0,0,1,532.0,47,89,00110
18,07,47,XXX,XX,03,  Hardi Union,3874,1823,2051,1615,71,6,5,18,1740.0,184,235,00110
18,07,55,XXX,XX,03,  Jamjami Union,2203,1053,1150,976,10,1,2,3,1013.0,73,125,00110
18,07,63,XXX,XX,03,  Jehala Union,2918,1315,1603,1099,72,6,3,6,1255.0,204,273,00110
18,07,79,XXX,XX,03,  Khaskara Union,384,172,212,153,4,7,1,0,194.0,12,13,00110
18,07,87,XXX,XX,03,  Kumari Union,3009,1391,1618,1238,26,5,3,6,1397.0,142,192,00110
18,23,11,XXX,XX,03,  Alokdia Union,7061,3404,3657,2846,269,6,4,23,2765.0,529,619,00110
18,23,47,XXX,XX,03,  Kutubpur Union,854,390,464,349,5,1,1,8,402.0,32,56,00110
18,23,59,XXX,XX,03,  Mominpur Union,1687,739,948,650,46,0,0,2,748.0,87,154,00110
18,23,71,XXX,XX,03,  Shankar Chandra Union,1409,645,764,564,54,1,0,7,620.0,73,90,00110
18,23,83,XXX,XX,03,  Titudaha Union,1245,591,654,559,26,0,0,2,561.0,30,67,00110
18,31,11,XXX,XX,03,  Damurhuda Union,3591,1705,1886,1360,74,4,8,15,1388.0,326,416,00110
