ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,3743,2649,3209,3911,1704,817,5102,8112,324,129,6875,8459,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,3874,3137,2616,2954,1058,501,4725,7258,269,84,6424,7353,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,7210,5366,4648,6277,2425,1025,8707,14243,621,193,12598,15526,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,2896,2466,2928,2883,776,454,4115,5479,169,67,4913,5351,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,3902,3330,3777,4659,788,390,5814,9830,159,48,7481,9768,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,5774,4719,4599,5505,1493,651,7753,12200,345,89,10096,12330,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,2018,1733,1511,1743,611,404,2565,4109,134,51,3685,4516,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,3567,3517,4567,5135,1112,585,6363,9244,209,89,8049,9295,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,2205,1720,2603,2712,404,216,3450,5186,93,47,4240,5369,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,7095,5525,6772,6870,1731,791,10134,16484,344,111,15217,18923,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,6157,5351,7743,7887,1577,1049,10221,15027,284,121,13997,16546,01111
