ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
56,XX,XX,XXX,XX,03, Manikganj Zila,7165,2881,4284,2455,265,8,19,48,3362.0,370,638,11110
26,XX,XX,XXX,XX,03, Dhaka Zila,334504,164941,169563,134236,45139,1059,527,1080,89501.0,28566,34396,11110
86,XX,XX,XXX,XX,03, Shariatpur Zila,3276,1450,1826,1134,110,9,3,18,1345.0,289,368,11110
54,XX,XX,XXX,XX,03, Madaripur Zila,7799,3585,4214,2955,227,31,15,37,3319.0,562,653,11110
93,XX,XX,XXX,XX,03, Tangail Zila,24481,10671,13810,8958,343,77,16,157,11716.0,1479,1735,11110
48,XX,XX,XXX,XX,03, Kishoreganj Zila,31176,14970,16206,11829,632,129,41,162,12302.0,2850,3231,11110
89,XX,XX,XXX,XX,03, Sherpur Zila,1012,454,558,389,64,1,0,6,420.0,58,74,11110
68,XX,XX,XXX,XX,03, Narsingdi Zila,25876,12310,13566,9960,911,86,36,108,10239.0,2156,2380,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,3884,1834,2050,1536,382,23,11,20,1310.0,255,347,11110
90,XX,XX,XXX,XX,03, Sunamganj Zila,26461,12494,13967,9745,1027,105,66,177,9486.0,2467,3388,11110
36,XX,XX,XXX,XX,03, Habiganj Zila,21003,9396,11607,7110,513,126,70,151,8488.0,2009,2536,11110
91,XX,XX,XXX,XX,03, Sylhet Zila,34620,15667,18953,11488,1721,230,66,467,12580.0,3482,4586,11110
58,XX,XX,XXX,XX,03, Maulvibazar Zila,14494,6439,8055,4901,603,64,31,243,5502.0,1231,1919,11110
