ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
65.0,28.0,14.0,XXX,XX,01,  Boranal Eliasabad Union,952,2.4,7.6,89.9,0.1,60.0,27.9,10.3,1.8,00110
65.0,28.0,71.0,XXX,XX,01,  Mauli Union,3543,1.4,17.5,79.2,1.9,36.4,33.1,29.0,1.6,00110
65.0,28.0,87.0,XXX,XX,01,  Peruli Union,4549,2.3,36.1,61.2,0.5,23.7,37.7,34.8,3.8,00110
65.0,28.0,95.0,XXX,XX,01,  Salamabad Union,1267,5.0,22.7,71.7,0.6,53.2,37.1,8.4,1.3,00110
65.0,52.0,XX.0,XXX,XX,01,  Lohagara Upazila,45249,2.9,22.0,73.6,1.6,38.4,46.9,12.7,2.1,00110
65.0,76.0,XX.0,XXX,XX,01,  Narail Sadar Upazila,50764,4.8,23.1,71.3,0.8,21.5,35.7,37.9,5.0,00110
44.0,XX.0,XX.0,XXX,XX,01, Jhenaidah Zila,355164,11.5,28.6,55.7,4.2,20.8,34.2,39.2,5.8,00110
44.0,14.0,XX.0,XXX,XX,01,  Harinakundu Upazila,41232,6.9,38.2,52.7,2.2,28.8,28.3,36.7,6.2,00110
44.0,14.0,31.0,XXX,XX,01,  Daulatpur Union,4480,8.5,36.9,52.0,2.7,36.6,28.7,25.4,9.4,00110
44.0,19.0,XX.0,XXX,XX,01,  Jhenaidah Sadar Upazila,82720,9.3,33.7,51.5,5.5,18.3,32.1,42.9,6.6,00110
44.0,19.0,73.0,XXX,XX,01,  Paglakanai Union,3815,12.7,46.9,36.3,4.2,15.1,39.6,38.0,7.3,00110
44.0,33.0,XX.0,XXX,XX,01,  Kaliganj Upazila,57161,17.5,28.9,47.4,6.2,20.1,36.8,38.1,5.0,00110
44.0,42.0,XX.0,XXX,XX,01,  Kotchandpur Upazila,26299,17.2,28.0,53.0,1.9,39.0,29.8,26.2,5.0,00110
44.0,71.0,XX.0,XXX,XX,01,  Maheshpur Upazila,73045,13.1,20.4,61.4,5.1,18.6,34.1,40.3,7.1,00110
44.0,80.0,XX.0,XXX,XX,01,  Shailkupa Upazila,74707,8.5,25.8,63.7,2.0,15.4,39.3,40.9,4.4,00110
41.0,XX.0,XX.0,XXX,XX,01, Jessore Zila,535337,12.1,33.6,49.3,5.0,24.4,31.7,38.7,5.2,00110
41.0,4.0,XX.0,XXX,XX,01,  Abhaynagar Upazila,40893,7.9,37.2,52.7,2.1,21.6,42.5,31.9,4.0,00110
41.0,9.0,XX.0,XXX,XX,01,  Bagherpara Upazila,47917,5.1,31.1,60.4,3.4,29.1,27.9,37.4,5.6,00110
41.0,11.0,XX.0,XXX,XX,01,  Chaugachha Upazila,51248,11.6,34.3,48.7,5.5,17.9,28.5,48.9,4.7,00110
41.0,23.0,XX.0,XXX,XX,01,  Jhikargachha Upazila,62135,16.6,31.0,46.7,5.8,24.1,31.3,39.5,5.0,00110
41.0,23.0,25.0,XXX,XX,01,  Bankra Union,4841,14.0,39.8,42.4,3.7,23.4,44.9,30.5,1.3,00110
41.0,23.0,35.0,XXX,XX,01,  Gadkhali Union,5672,20.1,30.9,40.0,8.9,26.1,26.1,41.3,6.5,00110
41.0,23.0,47.0,XXX,XX,01,  Jhikargachha Union,6107,24.8,25.3,43.2,6.8,33.8,26.0,37.2,3.0,00110
41.0,23.0,71.0,XXX,XX,01,  Panisara Union,4773,19.2,31.6,41.7,7.5,18.4,36.9,37.6,7.0,00110
41.0,38.0,XX.0,XXX,XX,01,  Keshabpur Upazila,54059,10.0,35.4,52.8,1.8,25.4,29.0,39.5,6.0,00110
41.0,38.0,28.0,XXX,XX,01,  Keshabpur Union,3508,9.7,42.3,47.0,1.0,33.4,22.2,39.7,4.7,00110
41.0,38.0,38.0,XXX,XX,01,  Majidpur Union,5342,12.7,21.4,65.3,0.6,9.9,34.4,49.9,5.8,00110
41.0,47.0,XX.0,XXX,XX,01,  Jessore Sadar Upazila,112052,15.7,38.0,40.7,5.5,17.4,34.3,44.1,4.1,00110
41.0,47.0,23.0,XXX,XX,01,  Chanchra Union,7880,13.8,32.3,51.2,2.7,15.0,33.6,47.0,4.5,00110
41.0,47.0,41.0,XXX,XX,01,  Fathehpur Union,8891,11.5,38.7,43.4,6.4,25.1,34.8,35.3,4.8,00110
41.0,61.0,XX.0,XXX,XX,01,  Manirampur Upazila,94056,9.4,31.8,54.8,4.0,32.6,29.3,32.8,5.3,00110
41.0,90.0,XX.0,XXX,XX,01,  Sharsha Upazila,72977,14.9,29.1,46.4,9.5,27.1,31.5,34.3,7.1,00110
41.0,90.0,86.0,XXX,XX,01,  Sharsha Union,9351,22.4,35.2,24.9,17.6,39.6,23.5,32.4,4.4,00110
1.0,XX.0,XX.0,XXX,XX,01, Bagerhat Zila,305173,3.1,10.5,81.6,4.8,33.3,44.1,20.7,2.0,00110
1.0,8.0,XX.0,XXX,XX,01,  Bagerhat Sadar Upazila,51987,6.2,22.8,66.9,4.1,21.9,54.3,22.7,1.1,00110
1.0,14.0,XX.0,XXX,XX,01,  Chitalmari Upazila,29893,2.9,6.2,89.8,1.1,32.0,33.5,33.0,1.6,00110
1.0,14.0,31.0,XXX,XX,01,  Chitalmari Union,5771,2.1,5.0,91.1,1.7,3.6,15.3,78.5,2.5,00110
1.0,34.0,XX.0,XXX,XX,01,  Fakirhat Upazila,26624,5.8,27.0,63.3,3.8,36.8,46.9,14.7,1.5,00110
1.0,34.0,10.0,XXX,XX,01,  Bahirdia Mansa Union,1072,5.7,37.0,56.3,1.0,44.3,34.3,19.8,1.6,00110
1.0,34.0,31.0,XXX,XX,01,  Fakirhat Union,4373,4.4,46.6,47.7,1.2,43.7,51.8,2.7,1.8,00110
1.0,34.0,52.0,XXX,XX,01,  Mulghar Union,2255,5.1,12.9,81.7,0.2,61.0,29.5,7.1,2.3,00110
1.0,34.0,63.0,XXX,XX,01,  Naldha Maubhog Union,2659,3.3,21.5,74.1,1.1,26.4,47.6,23.1,2.9,00110
1.0,38.0,XX.0,XXX,XX,01,  Kachua Upazila,20869,1.9,6.2,89.3,2.6,43.8,45.9,9.1,1.2,00110
1.0,38.0,57.0,XXX,XX,01,  Kachua Union,1208,2.5,7.1,89.7,0.7,52.7,43.0,2.0,2.2,00110
1.0,56.0,XX.0,XXX,XX,01,  Mollahat Upazila,25775,3.0,9.2,86.5,1.3,52.7,36.6,9.1,1.7,00110
1.0,56.0,95.0,XXX,XX,01,  Udaypur Union,2150,3.9,12.7,81.0,2.4,57.8,34.7,5.9,1.7,00110
1.0,58.0,XX.0,XXX,XX,01,  Mongla Upazila,23297,1.5,3.8,89.2,5.5,43.0,37.3,14.6,5.1,00110
1.0,60.0,XX.0,XXX,XX,01,  Morrelganj Upazila,69188,1.7,5.6,86.2,6.5,27.0,44.2,27.3,1.5,00110
1.0,60.0,23.0,XXX,XX,01,  Baraikhali Union,5038,1.2,4.8,86.4,7.6,53.6,35.5,10.7,0.2,00110
1.0,73.0,XX.0,XXX,XX,01,  Rampal Upazila,37624,1.9,5.2,82.4,10.5,35.5,38.2,22.3,4.0,00110
1.0,73.0,83.0,XXX,XX,01,  Rampal Union,5432,2.5,4.0,82.3,11.2,53.2,34.8,9.1,2.9,00110
1.0,77.0,XX.0,XXX,XX,01,  Sarankhola Upazila,19916,1.7,4.3,91.0,3.0,30.6,55.8,12.8,0.9,00110
1.0,77.0,38.0,XXX,XX,01,  Khontakata Union,4817,2.3,8.7,85.5,3.5,31.1,57.6,10.3,0.9,00110
