ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Source of Drinking Water (%)-Tap,Source of Drinking Water (%)-Tube-Well,Source of Drinking Water (%)-Other,Electricity Connection (%),Housing Tenancy (%)-Owned,Housing Tenancy (%)-Rented,Housing Tenancy (%)-Rent free,check_var
47.0,XX.0,XX.0,XXX,XX,01, Khulna Zila,362083,0.6,79.2,20.2,50.4,88.7,7.5,3.8,00110
47.0,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,38757,0.1,96.2,3.7,39.0,85.7,8.1,6.2,00110
47.0,12.0,35.0,XXX,XX,01,  Batiaghata Union,2800,0.0,100.0,0.0,36.0,94.8,0.3,4.9,00110
47.0,17.0,XX.0,XXX,XX,01,  Dacope Upazila,32995,0.7,29.5,69.8,24.7,95.4,0.6,4.0,00110
47.0,21.0,XX.0,XXX,XX,01,  Daulatpur Thana,2899,0.4,99.6,0.0,88.7,76.5,19.4,4.1,00110
47.0,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,67210,0.1,99.1,0.8,57.5,94.7,1.8,3.5,00110
47.0,30.0,27.0,XXX,XX,01,  Dumuria Union,2125,0.0,100.0,0.0,59.1,97.7,0.5,1.8,00110
47.0,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,26601,1.4,97.8,0.9,63.1,78.0,18.4,3.6,00110
47.0,48.0,XX.0,XXX,XX,01,  Khan Jahan Ali Thana,17205,1.8,97.4,0.7,92.5,61.2,34.5,4.3,00110
47.0,53.0,XX.0,XXX,XX,01,  Koyra Upazila,42977,0.3,42.1,57.6,24.8,97.0,0.7,2.2,00110
47.0,53.0,55.0,XXX,XX,01,  Koyra Union,5090,0.0,96.7,3.3,27.8,94.9,2.3,2.8,00110
47.0,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,55945,1.1,60.8,38.1,43.2,96.1,1.3,2.6,00110
47.0,69.0,XX.0,XXX,XX,01,  Phultala Upazila,12158,0.1,97.6,2.3,77.8,91.9,2.8,5.3,00110
47.0,69.0,38.0,XXX,XX,01,  Damodar Union,1859,0.1,91.6,8.3,68.3,96.3,0.5,3.2,00110
47.0,69.0,76.0,XXX,XX,01,  Phultala Union,5884,0.2,97.9,2.0,80.0,86.0,5.0,9.0,00110
47.0,75.0,XX.0,XXX,XX,01,  Rupsa Upazila,41763,0.7,97.7,1.6,75.8,71.4,23.5,5.1,00110
47.0,94.0,XX.0,XXX,XX,01,  Terokhada Upazila,23573,0.1,96.4,3.5,39.3,97.1,0.2,2.6,00110
47.0,94.0,27.0,XXX,XX,01,  Barasat Union,3717,0.1,96.6,3.4,44.3,99.1,0.1,0.9,00110
47.0,94.0,81.0,XXX,XX,01,  Terokhada Union,3856,0.1,98.7,1.2,40.2,97.9,0.1,1.9,00110
18.0,XX.0,XX.0,XXX,XX,01, Chuadanga Zila,202606,0.6,97.1,2.3,56.6,97.6,0.4,1.9,00110
18.0,7.0,XX.0,XXX,XX,01,  Alamdanga Upazila,66892,0.2,98.0,1.8,57.7,98.2,0.4,1.4,00110
