   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:48
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jhikarghachha	7983	1774	597	1964	717	386	293	924	1217	6655	83.3646
Jessore Sadar	67241	20446	5873	14383	3477	4740	2610	3231	5841	54760	81.4384
Sarsa	5671	1873	420	1015	184	225	169	344	513	4230	74.5900
Keshobpur	9748	3471	349	2330	121	435	384	538	922	7628	78.2519
Bagherpara	14784	5429	880	2700	753	1284	408	897	1305	12351	83.5430
Monirampur	8065	2097	363	2559	40	409	366	902	1268	6736	83.5214
Abhaynagar	6226	1546	738	1605	162	150	195	413	608	4809	77.2406
Chowgachha	1169	440	71	294	51	20	17	97	114	990	84.6878

 
